name,azimuth,slope,array_capacity,time,gti,gti_low,gti_high,ghi
Blachford,347.0,8.0,88.2,2025-01-09 06:30:30+00:00,0.0,0.0,0.0,0.0
Blachford,347.0,8.0,88.2,2025-01-09 06:45:30+00:00,0.0,0.0,0.0,0.0
Blachford,347.0,8.0,88.2,2025-01-09 07:00:30+00:00,0.0,0.0,0.0,0.0
Blachford,347.0,8.0,88.2,2025-01-09 07:15:30+00:00,0.0,0.0,0.0,0.0
Blachford,347.0,8.0,88.2,2025-01-09 07:30:30+00:00,0.0,0.0,0.0,0.0
Blachford,347.0,8.0,88.2,2025-01-09 07:45:30+00:00,0.0,0.0,0.0,0.0
Blachford,347.0,8.0,88.2,2025-01-09 08:00:30+00:00,0.0,0.0,0.0,0.0
Blachford,347.0,8.0,88.2,2025-01-09 08:15:30+00:00,0.00025,0.0,0.00025,0.00025
Blachford,347.0,8.0,88.2,2025-01-09 08:30:30+00:00,0.00325,0.0005,0.004,0.00325
Blachford,347.0,8.0,88.2,2025-01-09 08:45:30+00:00,0.00475,0.0025,0.01,0.00475
Blachford,347.0,8.0,88.2,2025-01-09 09:00:30+00:00,0.00725,0.002,0.009,0.013
Blachford,347.0,8.0,88.2,2025-01-09 09:15:30+00:00,0.0095,0.00475,0.01375,0.01575
Blachford,347.0,8.0,88.2,2025-01-09 09:30:30+00:00,0.012,0.007,0.0165,0.0215
Blachford,347.0,8.0,88.2,2025-01-09 09:45:30+00:00,0.01525,0.0095,0.0185,0.0295
Blachford,347.0,8.0,88.2,2025-01-09 10:00:30+00:00,0.017,0.0115,0.022,0.032
Blachford,347.0,8.0,88.2,2025-01-09 10:15:30+00:00,0.01925,0.01375,0.02525,0.03425
Blachford,347.0,8.0,88.2,2025-01-09 10:30:30+00:00,0.022,0.016,0.028,0.0375
Blachford,347.0,8.0,88.2,2025-01-09 10:45:30+00:00,0.0245,0.01825,0.03025,0.0415
Blachford,347.0,8.0,88.2,2025-01-09 11:00:30+00:00,0.02675,0.0205,0.03275,0.0445
Blachford,347.0,8.0,88.2,2025-01-09 11:15:30+00:00,0.02875,0.02225,0.03475,0.047
Blachford,347.0,8.0,88.2,2025-01-09 11:30:30+00:00,0.03025,0.02375,0.03625,0.049
Blachford,347.0,8.0,88.2,2025-01-09 11:45:30+00:00,0.031,0.0245,0.037,0.04975
