,obs_gti_kWh,obs_ghi_kWh,pvgis_gti_kWhm2,pvgis_ghi_kWhm2,gti_diff_kWhm2,ghi_diff_kWhm2
2025-03-01 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-01 01:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-01 02:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-01 03:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-01 04:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-01 05:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-01 06:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-01 07:00:00+00:00,0.03225,0.04775,0.00099,0.001,-0.03126,-0.04675
2025-03-01 08:00:00+00:00,0.11524999999999999,0.15825,0.06352000000000001,0.067,-0.051729999999999984,-0.09125
2025-03-01 09:00:00+00:00,0.20350000000000001,0.25975,0.0767,0.077,-0.12680000000000002,-0.18274999999999997
2025-03-01 10:00:00+00:00,0.28175,0.35525,0.14231,0.144,-0.13944,-0.21125000000000002
2025-03-01 11:00:00+00:00,0.34099999999999997,0.42974999999999997,0.07171999999999999,0.072,-0.26927999999999996,-0.35774999999999996
2025-03-01 12:00:00+00:00,0.3545,0.43574999999999997,0.14742,0.148,-0.20708,-0.28774999999999995
2025-03-01 13:00:00+00:00,0.3265,0.39049999999999996,0.30549,0.343,-0.02101000000000003,-0.04749999999999993
2025-03-01 14:00:00+00:00,0.2695,0.3145,0.29234,0.34199,0.02283999999999997,0.027490000000000014
2025-03-01 15:00:00+00:00,0.19575,0.2255,0.11402,0.115,-0.08173000000000001,-0.1105
2025-03-01 16:00:00+00:00,0.09125,0.10075,0.11679,0.128,0.025540000000000007,0.027249999999999996
2025-03-01 17:00:00+00:00,0.014,0.01475,0.016550000000000002,0.016829999999999998,0.002550000000000002,0.0020799999999999985
2025-03-01 18:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-01 19:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-01 20:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-01 21:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-01 22:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-01 23:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-02 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-02 01:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-02 02:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-02 03:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-02 04:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-02 05:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-02 06:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-02 07:00:00+00:00,0.035500000000000004,0.055249999999999994,0.00099,0.001,-0.034510000000000006,-0.05424999999999999
2025-03-02 08:00:00+00:00,0.13075,0.18925,0.0713,0.076,-0.05945,-0.11325
2025-03-02 09:00:00+00:00,0.23275,0.3175,0.12786,0.132,-0.10489000000000001,-0.1855
2025-03-02 10:00:00+00:00,0.31825,0.41925,0.17348,0.178,-0.14476999999999998,-0.24125000000000002
2025-03-02 11:00:00+00:00,0.3755,0.48375,0.20539,0.21,-0.17011,-0.27375000000000005
2025-03-02 12:00:00+00:00,0.39625,0.501,0.08965000000000001,0.09,-0.3066,-0.41100000000000003
2025-03-02 13:00:00+00:00,0.37725,0.46825,0.11156,0.112,-0.26569,-0.35625
2025-03-02 14:00:00+00:00,0.322,0.39175,0.09662000000000001,0.097,-0.22538,-0.29474999999999996
2025-03-02 15:00:00+00:00,0.22925,0.27225,0.08467,0.085,-0.14458000000000001,-0.18724999999999997
2025-03-02 16:00:00+00:00,0.1145,0.1295,0.09487000000000001,0.098,-0.019629999999999995,-0.0315
2025-03-02 17:00:00+00:00,0.0195,0.020499999999999997,0.010960000000000001,0.011,-0.008539999999999999,-0.009499999999999998
2025-03-02 18:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-02 19:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-02 20:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-02 21:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-02 22:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-02 23:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-03 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-03 01:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-03 02:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-03 03:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-03 04:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-03 05:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-03 06:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-03 07:00:00+00:00,0.031,0.0335,0.00198,0.002,-0.02902,-0.0315
2025-03-03 08:00:00+00:00,0.11424999999999999,0.13674999999999998,0.06495999999999999,0.067,-0.04929,-0.06974999999999998
2025-03-03 09:00:00+00:00,0.1975,0.2355,0.08168,0.082,-0.11582,-0.15349999999999997
2025-03-03 10:00:00+00:00,0.28125,0.3405,0.11156,0.112,-0.16969,-0.22850000000000004
2025-03-03 11:00:00+00:00,0.33925,0.415,0.11256000000000001,0.113,-0.22669,-0.302
2025-03-03 12:00:00+00:00,0.35724999999999996,0.43274999999999997,0.05877,0.059,-0.29847999999999997,-0.37374999999999997
2025-03-03 13:00:00+00:00,0.3395,0.40425,0.14941,0.15,-0.19009000000000004,-0.25425
2025-03-03 14:00:00+00:00,0.2825,0.32825,0.12949000000000002,0.13,-0.15300999999999995,-0.19824999999999998
2025-03-03 15:00:00+00:00,0.196,0.221,0.14409,0.147,-0.05191000000000001,-0.07400000000000001
2025-03-03 16:00:00+00:00,0.0975,0.106,0.08799,0.09,-0.009510000000000005,-0.016
2025-03-03 17:00:00+00:00,0.016,0.01625,0.01295,0.013,-0.0030500000000000006,-0.003250000000000001
2025-03-03 18:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-03 19:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-03 20:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-03 21:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-03 22:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-03 23:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-04 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-04 01:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-04 02:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-04 03:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-04 04:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-04 05:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-04 06:00:00+00:00,0.0005,0.00075,0.0,0.0,-0.0005,-0.00075
