db,azimuth,slope,array_capacity,shift_h,metric,n_hours,mean_obs,mean_pvgis,bias,rmse,scaled_rmse,corr,obs_total,pvgis_total,scale_to_match_totals
PVGIS-SARAH3,347.0,8.0,88.2,-1,gti,743,0.10936137281292059,0.08373699865410497,-0.025624374158815615,0.11035333952420903,0.11850429682721329,0.7200195775194619,81.2555,62.21659,1.306010181528753
PVGIS-SARAH3,347.0,8.0,88.2,-1,ghi,743,0.12592664872139975,0.09131119784656795,-0.03461545087483176,0.13936647539224442,0.15235864931511958,0.6698650876151786,93.5635,67.84421999999999,1.3790931637212427
PVGIS-SARAH3,347.0,8.0,88.2,0,gti,744,0.1092143817204301,0.08362444892473118,-0.025589932795698923,0.10940893247096183,0.11736572738255105,0.7252108819517208,81.2555,62.21659,1.306010181528753
PVGIS-SARAH3,347.0,8.0,88.2,0,ghi,744,0.1257573924731183,0.0911884677419355,-0.034568924731182796,0.1390895671493191,0.15202507359241166,0.6710753316972815,93.5635,67.84422,1.3790931637212425
PVGIS-SARAH3,347.0,8.0,88.2,1,gti,743,0.10936137281292059,0.08373699865410497,-0.025624374158815605,0.12176306724185851,0.13229545019055,0.6506413391750374,81.2555,62.21659,1.306010181528753
PVGIS-SARAH3,347.0,8.0,88.2,1,ghi,743,0.12592664872139972,0.09131119784656798,-0.03461545087483176,0.15185231500909185,0.1680109936758919,0.5979333501468365,93.56349999999999,67.84422,1.3790931637212422
PVGIS-ERA5,347.0,8.0,88.2,-1,gti,743,0.10936137281292059,0.08176924629878869,-0.027592126514131902,0.11101616270296889,0.11775986938155635,0.7152208464087998,81.2555,60.75455,1.3374389243274782
PVGIS-ERA5,347.0,8.0,88.2,-1,ghi,743,0.12592664872139975,0.09176347240915209,-0.034163176312247634,0.13889278424263177,0.1494768402678419,0.6688363300377392,93.5635,68.18026,1.3722960282052312
PVGIS-ERA5,347.0,8.0,88.2,0,gti,744,0.1092143817204301,0.08165934139784946,-0.027555040322580646,0.10572011698258674,0.11106633175962646,0.7465605228240607,81.2555,60.75455,1.3374389243274782
PVGIS-ERA5,347.0,8.0,88.2,0,ghi,744,0.1257573924731183,0.09164013440860215,-0.03411725806451613,0.13393102018781305,0.14314753569044697,0.6961372340577427,93.5635,68.18026,1.3722960282052312
PVGIS-ERA5,347.0,8.0,88.2,1,gti,743,0.10936137281292059,0.08176924629878869,-0.027592126514131902,0.1151321670868561,0.12293214302856802,0.6896064696383964,81.2555,60.75455,1.3374389243274782
PVGIS-ERA5,347.0,8.0,88.2,1,ghi,743,0.12592664872139972,0.09176347240915209,-0.03416317631224765,0.14389370171134597,0.15583329449480166,0.6400016194286607,93.56349999999999,68.18026,1.372296028205231
PVGIS-SARAH3,167.0,6.0,81.0,-1,gti,743,0.1376086810228802,0.09638075370121128,-0.04122792732166891,0.1614687963367664,0.17871815844710578,0.634950434107152,102.24324999999999,71.61089999999999,1.4277609972783474
PVGIS-SARAH3,167.0,6.0,81.0,-1,ghi,743,0.12592664872139975,0.09131119784656795,-0.03461545087483176,0.13936647539224442,0.15235864931511958,0.6698650876151786,93.5635,67.84421999999999,1.3790931637212427
PVGIS-SARAH3,167.0,6.0,81.0,0,gti,744,0.13742372311827955,0.09625120967741933,-0.04117251344086021,0.16152936123086273,0.17881614452470523,0.6342626855234033,102.24324999999999,71.61089999999999,1.4277609972783474
PVGIS-SARAH3,167.0,6.0,81.0,0,ghi,744,0.1257573924731183,0.0911884677419355,-0.034568924731182796,0.1390895671493191,0.15202507359241166,0.6710753316972815,93.5635,67.84422,1.3790931637212425
PVGIS-SARAH3,167.0,6.0,81.0,1,gti,743,0.1376086810228802,0.09638075370121131,-0.04122792732166891,0.17451742876900678,0.19544747091906264,0.5626836839806484,102.24325,71.6109,1.4277609972783474
PVGIS-SARAH3,167.0,6.0,81.0,1,ghi,743,0.12592664872139972,0.09131119784656798,-0.03461545087483176,0.15185231500909185,0.1680109936758919,0.5979333501468365,93.56349999999999,67.84422,1.3790931637212422
PVGIS-ERA5,167.0,6.0,81.0,-1,gti,743,0.1376086810228802,0.0985906729475101,-0.03901800807537013,0.16013507911486002,0.17387814599244703,0.6367659907186433,102.24324999999999,73.25287,1.3957575996681084
PVGIS-ERA5,167.0,6.0,81.0,-1,ghi,743,0.12592664872139975,0.09176347240915209,-0.034163176312247634,0.13889278424263177,0.1494768402678419,0.6688363300377392,93.5635,68.18026,1.3722960282052312
PVGIS-ERA5,167.0,6.0,81.0,0,gti,744,0.13742372311827955,0.09845815860215054,-0.038965564516129036,0.1553437260258405,0.16772386376218623,0.6618406416284731,102.24324999999999,73.25287,1.3957575996681084
PVGIS-ERA5,167.0,6.0,81.0,0,ghi,744,0.1257573924731183,0.09164013440860215,-0.03411725806451613,0.13393102018781305,0.14314753569044697,0.6961372340577427,93.5635,68.18026,1.3722960282052312
PVGIS-ERA5,167.0,6.0,81.0,1,gti,743,0.1376086810228802,0.0985906729475101,-0.03901800807537013,0.16560231211284396,0.1808847410316062,0.6068243553830773,102.24325,73.25287,1.3957575996681086
PVGIS-ERA5,167.0,6.0,81.0,1,ghi,743,0.12592664872139972,0.09176347240915209,-0.03416317631224765,0.14389370171134597,0.15583329449480166,0.6400016194286607,93.56349999999999,68.18026,1.372296028205231
PVGIS-SARAH3,167.0,8.0,163.8,-1,gti,743,0.14124528936742933,0.09794165545087484,-0.04330363391655451,0.16855012379474768,0.18730403845356303,0.6243150211389448,104.94524999999999,72.77065,1.4421370428874825
PVGIS-SARAH3,167.0,8.0,163.8,-1,ghi,743,0.12592664872139975,0.09131119784656795,-0.03461545087483176,0.13936647539224442,0.15235864931511958,0.6698650876151786,93.5635,67.84421999999999,1.3790931637212427
PVGIS-SARAH3,167.0,8.0,163.8,0,gti,744,0.1410554435483871,0.09781001344086022,-0.04324543010752688,0.16870029496487715,0.18752000695106325,0.6231439552732205,104.94524999999999,72.77065,1.4421370428874825
PVGIS-SARAH3,167.0,8.0,163.8,0,ghi,744,0.1257573924731183,0.0911884677419355,-0.034568924731182796,0.1390895671493191,0.15202507359241166,0.6710753316972815,93.5635,67.84422,1.3790931637212425
PVGIS-SARAH3,167.0,8.0,163.8,1,gti,743,0.14124528936742933,0.09794165545087484,-0.04330363391655451,0.18175363264469405,0.20433558415547992,0.55212241954048,104.94525,72.77065,1.4421370428874827
PVGIS-SARAH3,167.0,8.0,163.8,1,ghi,743,0.12592664872139972,0.09131119784656798,-0.03461545087483176,0.15185231500909185,0.1680109936758919,0.5979333501468365,93.56349999999999,67.84422,1.3790931637212422
PVGIS-ERA5,167.0,8.0,163.8,-1,gti,743,0.14124528936742933,0.1007222341857335,-0.04052305518169583,0.166920333998448,0.18174191604135603,0.627124053531675,104.94524999999999,74.83662,1.4023248243974673
PVGIS-ERA5,167.0,8.0,163.8,-1,ghi,743,0.12592664872139975,0.09176347240915209,-0.034163176312247634,0.13889278424263177,0.1494768402678419,0.6688363300377392,93.5635,68.18026,1.3722960282052312
PVGIS-ERA5,167.0,8.0,163.8,0,gti,744,0.1410554435483871,0.10058685483870965,-0.040468588709677414,0.16217515233644597,0.17563698222271884,0.6515615038175874,104.94524999999999,74.83661999999998,1.4023248243974675
PVGIS-ERA5,167.0,8.0,163.8,0,ghi,744,0.1257573924731183,0.09164013440860215,-0.03411725806451613,0.13393102018781305,0.14314753569044697,0.6961372340577427,93.5635,68.18026,1.3722960282052312
PVGIS-ERA5,167.0,8.0,163.8,1,gti,743,0.14124528936742933,0.10072223418573349,-0.04052305518169583,0.1725230143084784,0.18893664273940322,0.59693610288669,104.94525,74.83661999999998,1.4023248243974678
PVGIS-ERA5,167.0,8.0,163.8,1,ghi,743,0.12592664872139972,0.09176347240915209,-0.03416317631224765,0.14389370171134597,0.15583329449480166,0.6400016194286607,93.56349999999999,68.18026,1.372296028205231
