name,azimuth,slope,array_capacity,time,gti,gti_low,gti_high,ghi
City Football Group Phase 1,350.0,5.0,136.6,2025-05-01 00:00:30+00:00,0.0,0.0,0.0,0.0
City Football Group Phase 1,350.0,5.0,136.6,2025-05-01 00:15:30+00:00,0.0,0.0,0.0,0.0
City Football Group Phase 1,350.0,5.0,136.6,2025-05-01 00:30:30+00:00,0.0,0.0,0.0,0.0
City Football Group Phase 1,350.0,5.0,136.6,2025-05-01 00:45:30+00:00,0.0,0.0,0.0,0.0
City Football Group Phase 1,350.0,5.0,136.6,2025-05-01 01:00:30+00:00,0.0,0.0,0.0,0.0
City Football Group Phase 1,350.0,5.0,136.6,2025-05-01 01:15:30+00:00,0.0,0.0,0.0,0.0
City Football Group Phase 1,350.0,5.0,136.6,2025-05-01 01:30:30+00:00,0.0,0.0,0.0,0.0
City Football Group Phase 1,350.0,5.0,136.6,2025-05-01 01:45:30+00:00,0.0,0.0,0.0,0.0
City Football Group Phase 1,350.0,5.0,136.6,2025-05-01 02:00:30+00:00,0.0,0.0,0.0,0.0
City Football Group Phase 1,350.0,5.0,136.6,2025-05-01 02:15:30+00:00,0.0,0.0,0.0,0.0
City Football Group Phase 1,350.0,5.0,136.6,2025-05-01 02:30:30+00:00,0.0,0.0,0.0,0.0
City Football Group Phase 1,350.0,5.0,136.6,2025-05-01 02:45:30+00:00,0.0,0.0,0.0,0.0
City Football Group Phase 1,350.0,5.0,136.6,2025-05-01 03:00:30+00:00,0.0,0.0,0.0,0.0
City Football Group Phase 1,350.0,5.0,136.6,2025-05-01 03:15:30+00:00,0.0,0.0,0.0,0.0
City Football Group Phase 1,350.0,5.0,136.6,2025-05-01 03:30:30+00:00,0.0,0.0,0.0,0.0
City Football Group Phase 1,350.0,5.0,136.6,2025-05-01 03:45:30+00:00,0.0,0.0,0.0,0.0
City Football Group Phase 1,350.0,5.0,136.6,2025-05-01 04:00:30+00:00,0.0,0.0,0.0,0.0
City Football Group Phase 1,350.0,5.0,136.6,2025-05-01 04:15:30+00:00,0.0,0.0,0.0,0.0
City Football Group Phase 1,350.0,5.0,136.6,2025-05-01 04:30:30+00:00,0.0,0.0,0.0,0.0
City Football Group Phase 1,350.0,5.0,136.6,2025-05-01 04:45:30+00:00,0.0025,0.002,0.0035,0.0025
City Football Group Phase 1,350.0,5.0,136.6,2025-05-01 05:00:30+00:00,0.00775,0.00525,0.01025,0.00725
City Football Group Phase 1,350.0,5.0,136.6,2025-05-01 05:15:30+00:00,0.01475,0.01,0.0185,0.01425
City Football Group Phase 1,350.0,5.0,136.6,2025-05-01 05:30:30+00:00,0.02275,0.01625,0.02725,0.02225
City Football Group Phase 1,350.0,5.0,136.6,2025-05-01 05:45:30+00:00,0.031,0.0235,0.03625,0.03075
City Football Group Phase 1,350.0,5.0,136.6,2025-05-01 06:00:30+00:00,0.0395,0.03175,0.0455,0.03975
City Football Group Phase 1,350.0,5.0,136.6,2025-05-01 06:15:30+00:00,0.04825,0.04025,0.055,0.049
City Football Group Phase 1,350.0,5.0,136.6,2025-05-01 06:30:30+00:00,0.05675,0.0495,0.0645,0.05825
City Football Group Phase 1,350.0,5.0,136.6,2025-05-01 06:45:30+00:00,0.066,0.059,0.073,0.06825
City Football Group Phase 1,350.0,5.0,136.6,2025-05-01 07:00:30+00:00,0.075,0.069,0.08125,0.078
City Football Group Phase 1,350.0,5.0,136.6,2025-05-01 07:15:30+00:00,0.084,0.07875,0.0895,0.08775
City Football Group Phase 1,350.0,5.0,136.6,2025-05-01 07:30:30+00:00,0.093,0.088,0.098,0.09775
City Football Group Phase 1,350.0,5.0,136.6,2025-05-01 07:45:30+00:00,0.10175,0.09675,0.107,0.10725
City Football Group Phase 1,350.0,5.0,136.6,2025-05-01 08:00:30+00:00,0.11025,0.10475,0.116,0.11675
City Football Group Phase 1,350.0,5.0,136.6,2025-05-01 08:15:30+00:00,0.119,0.113,0.12475,0.126
City Football Group Phase 1,350.0,5.0,136.6,2025-05-01 08:30:30+00:00,0.12725,0.121,0.13325,0.13525
City Football Group Phase 1,350.0,5.0,136.6,2025-05-01 08:45:30+00:00,0.135,0.12875,0.14125,0.144
City Football Group Phase 1,350.0,5.0,136.6,2025-05-01 09:00:30+00:00,0.1425,0.1365,0.14825,0.15225
City Football Group Phase 1,350.0,5.0,136.6,2025-05-01 09:15:30+00:00,0.14925,0.14325,0.155,0.1595
City Football Group Phase 1,350.0,5.0,136.6,2025-05-01 09:30:30+00:00,0.1555,0.14925,0.1615,0.16625
City Football Group Phase 1,350.0,5.0,136.6,2025-05-01 09:45:30+00:00,0.16125,0.15475,0.16775,0.1725
City Football Group Phase 1,350.0,5.0,136.6,2025-05-01 10:00:30+00:00,0.167,0.15975,0.17375,0.17875
City Football Group Phase 1,350.0,5.0,136.6,2025-05-01 10:15:30+00:00,0.172,0.1645,0.17925,0.18425
City Football Group Phase 1,350.0,5.0,136.6,2025-05-01 10:30:30+00:00,0.17675,0.169,0.184,0.18925
City Football Group Phase 1,350.0,5.0,136.6,2025-05-01 10:45:30+00:00,0.18075,0.17325,0.1875,0.1935
City Football Group Phase 1,350.0,5.0,136.6,2025-05-01 11:00:30+00:00,0.18375,0.17625,0.1905,0.19675
City Football Group Phase 1,350.0,5.0,136.6,2025-05-01 11:15:30+00:00,0.18575,0.17875,0.193,0.19875
City Football Group Phase 1,350.0,5.0,136.6,2025-05-01 11:30:30+00:00,0.18775,0.18025,0.19475,0.20075
City Football Group Phase 1,350.0,5.0,136.6,2025-05-01 11:45:30+00:00,0.189,0.18125,0.19625,0.20175
City Football Group Phase 1,350.0,5.0,136.6,2025-05-01 12:00:30+00:00,0.189,0.181,0.19675,0.20175
City Football Group Phase 1,350.0,5.0,136.6,2025-05-01 12:15:30+00:00,0.1885,0.18025,0.1965,0.201
City Football Group Phase 1,350.0,5.0,136.6,2025-05-01 12:30:30+00:00,0.1875,0.17875,0.1955,0.1995
City Football Group Phase 1,350.0,5.0,136.6,2025-05-01 12:45:30+00:00,0.1855,0.17675,0.194,0.197
City Football Group Phase 1,350.0,5.0,136.6,2025-05-01 13:00:30+00:00,0.183,0.174,0.1915,0.194
City Football Group Phase 1,350.0,5.0,136.6,2025-05-01 13:15:30+00:00,0.18,0.171,0.188,0.19025
City Football Group Phase 1,350.0,5.0,136.6,2025-05-01 13:30:30+00:00,0.17575,0.1675,0.18375,0.18525
City Football Group Phase 1,350.0,5.0,136.6,2025-05-01 13:45:30+00:00,0.17125,0.16375,0.17925,0.18025
City Football Group Phase 1,350.0,5.0,136.6,2025-05-01 14:00:30+00:00,0.1675,0.1575,0.177,0.1755
City Football Group Phase 1,350.0,5.0,136.6,2025-05-01 14:15:30+00:00,0.163,0.1495,0.17525,0.1705
City Football Group Phase 1,350.0,5.0,136.6,2025-05-01 14:30:30+00:00,0.1565,0.13875,0.1705,0.163
City Football Group Phase 1,350.0,5.0,136.6,2025-05-01 14:45:30+00:00,0.144,0.129,0.1615,0.149
City Football Group Phase 1,350.0,5.0,136.6,2025-05-01 15:00:30+00:00,0.1345,0.12275,0.15275,0.1385
City Football Group Phase 1,350.0,5.0,136.6,2025-05-01 15:15:30+00:00,0.13425,0.119,0.14625,0.13775
City Football Group Phase 1,350.0,5.0,136.6,2025-05-01 15:30:30+00:00,0.129,0.117,0.13875,0.132
City Football Group Phase 1,350.0,5.0,136.6,2025-05-01 15:45:30+00:00,0.1205,0.1125,0.12875,0.1225
City Football Group Phase 1,350.0,5.0,136.6,2025-05-01 16:00:30+00:00,0.11225,0.10675,0.11775,0.1135
City Football Group Phase 1,350.0,5.0,136.6,2025-05-01 16:15:30+00:00,0.104,0.099,0.10875,0.10425
City Football Group Phase 1,350.0,5.0,136.6,2025-05-01 16:30:30+00:00,0.09525,0.09,0.1005,0.095
