name,azimuth,slope,array_capacity,time,gti,gti_low,gti_high,ghi
Metro Centre,286.0,10.0,369.765,2025-05-01 00:00:30+00:00,0.0,0.0,0.0,0.0
Metro Centre,286.0,10.0,369.765,2025-05-01 00:15:30+00:00,0.0,0.0,0.0,0.0
Metro Centre,286.0,10.0,369.765,2025-05-01 00:30:30+00:00,0.0,0.0,0.0,0.0
Metro Centre,286.0,10.0,369.765,2025-05-01 00:45:30+00:00,0.0,0.0,0.0,0.0
Metro Centre,286.0,10.0,369.765,2025-05-01 01:00:30+00:00,0.0,0.0,0.0,0.0
Metro Centre,286.0,10.0,369.765,2025-05-01 01:15:30+00:00,0.0,0.0,0.0,0.0
Metro Centre,286.0,10.0,369.765,2025-05-01 01:30:30+00:00,0.0,0.0,0.0,0.0
Metro Centre,286.0,10.0,369.765,2025-05-01 01:45:30+00:00,0.0,0.0,0.0,0.0
Metro Centre,286.0,10.0,369.765,2025-05-01 02:00:30+00:00,0.0,0.0,0.0,0.0
Metro Centre,286.0,10.0,369.765,2025-05-01 02:15:30+00:00,0.0,0.0,0.0,0.0
Metro Centre,286.0,10.0,369.765,2025-05-01 02:30:30+00:00,0.0,0.0,0.0,0.0
Metro Centre,286.0,10.0,369.765,2025-05-01 02:45:30+00:00,0.0,0.0,0.0,0.0
Metro Centre,286.0,10.0,369.765,2025-05-01 03:00:30+00:00,0.0,0.0,0.0,0.0
Metro Centre,286.0,10.0,369.765,2025-05-01 03:15:30+00:00,0.0,0.0,0.0,0.0
Metro Centre,286.0,10.0,369.765,2025-05-01 03:30:30+00:00,0.0,0.0,0.0,0.0
Metro Centre,286.0,10.0,369.765,2025-05-01 03:45:30+00:00,0.0,0.0,0.0,0.0
Metro Centre,286.0,10.0,369.765,2025-05-01 04:00:30+00:00,0.0,0.0,0.0,0.0
Metro Centre,286.0,10.0,369.765,2025-05-01 04:15:30+00:00,0.0,0.0,0.0,0.0
Metro Centre,286.0,10.0,369.765,2025-05-01 04:30:30+00:00,0.001,0.00075,0.00125,0.001
Metro Centre,286.0,10.0,369.765,2025-05-01 04:45:30+00:00,0.004,0.00275,0.0055,0.004
Metro Centre,286.0,10.0,369.765,2025-05-01 05:00:30+00:00,0.00675,0.004,0.00875,0.0095
Metro Centre,286.0,10.0,369.765,2025-05-01 05:15:30+00:00,0.00925,0.00625,0.01175,0.01625
Metro Centre,286.0,10.0,369.765,2025-05-01 05:30:30+00:00,0.0115,0.00825,0.01375,0.02425
Metro Centre,286.0,10.0,369.765,2025-05-01 05:45:30+00:00,0.017,0.013,0.01975,0.0325
Metro Centre,286.0,10.0,369.765,2025-05-01 06:00:30+00:00,0.02325,0.01875,0.0265,0.0415
Metro Centre,286.0,10.0,369.765,2025-05-01 06:15:30+00:00,0.03,0.02525,0.03375,0.05075
Metro Centre,286.0,10.0,369.765,2025-05-01 06:30:30+00:00,0.03725,0.0325,0.04175,0.06
Metro Centre,286.0,10.0,369.765,2025-05-01 06:45:30+00:00,0.045,0.0405,0.0495,0.069
Metro Centre,286.0,10.0,369.765,2025-05-01 07:00:30+00:00,0.053,0.049,0.057,0.0785
Metro Centre,286.0,10.0,369.765,2025-05-01 07:15:30+00:00,0.06125,0.0575,0.065,0.088
Metro Centre,286.0,10.0,369.765,2025-05-01 07:30:30+00:00,0.06975,0.066,0.07325,0.0975
Metro Centre,286.0,10.0,369.765,2025-05-01 07:45:30+00:00,0.07825,0.0745,0.082,0.10675
Metro Centre,286.0,10.0,369.765,2025-05-01 08:00:30+00:00,0.08675,0.08275,0.09075,0.11575
Metro Centre,286.0,10.0,369.765,2025-05-01 08:15:30+00:00,0.095,0.0905,0.099,0.12475
Metro Centre,286.0,10.0,369.765,2025-05-01 08:30:30+00:00,0.10325,0.09875,0.10775,0.13325
Metro Centre,286.0,10.0,369.765,2025-05-01 08:45:30+00:00,0.11175,0.107,0.1165,0.14125
Metro Centre,286.0,10.0,369.765,2025-05-01 09:00:30+00:00,0.12,0.115,0.12475,0.14925
Metro Centre,286.0,10.0,369.765,2025-05-01 09:15:30+00:00,0.128,0.12275,0.133,0.1565
Metro Centre,286.0,10.0,369.765,2025-05-01 09:30:30+00:00,0.13575,0.13025,0.141,0.163
Metro Centre,286.0,10.0,369.765,2025-05-01 09:45:30+00:00,0.143,0.13725,0.1485,0.16925
Metro Centre,286.0,10.0,369.765,2025-05-01 10:00:30+00:00,0.15025,0.144,0.156,0.175
Metro Centre,286.0,10.0,369.765,2025-05-01 10:15:30+00:00,0.15675,0.1505,0.163,0.18
Metro Centre,286.0,10.0,369.765,2025-05-01 10:30:30+00:00,0.163,0.1565,0.16925,0.1845
Metro Centre,286.0,10.0,369.765,2025-05-01 10:45:30+00:00,0.16875,0.16175,0.175,0.1885
Metro Centre,286.0,10.0,369.765,2025-05-01 11:00:30+00:00,0.1735,0.1665,0.1805,0.191
Metro Centre,286.0,10.0,369.765,2025-05-01 11:15:30+00:00,0.178,0.1705,0.18575,0.19325
Metro Centre,286.0,10.0,369.765,2025-05-01 11:30:30+00:00,0.18275,0.17225,0.192,0.19575
Metro Centre,286.0,10.0,369.765,2025-05-01 11:45:30+00:00,0.1855,0.17025,0.1995,0.196
Metro Centre,286.0,10.0,369.765,2025-05-01 12:00:30+00:00,0.18625,0.166,0.203,0.19425
Metro Centre,286.0,10.0,369.765,2025-05-01 12:15:30+00:00,0.18325,0.158,0.20525,0.1885
Metro Centre,286.0,10.0,369.765,2025-05-01 12:30:30+00:00,0.177,0.153,0.20475,0.17975
Metro Centre,286.0,10.0,369.765,2025-05-01 12:45:30+00:00,0.17575,0.145,0.2015,0.17625
Metro Centre,286.0,10.0,369.765,2025-05-01 13:00:30+00:00,0.1665,0.121,0.20675,0.165
Metro Centre,286.0,10.0,369.765,2025-05-01 13:15:30+00:00,0.1645,0.10275,0.2055,0.16125
Metro Centre,286.0,10.0,369.765,2025-05-01 13:30:30+00:00,0.185,0.06075,0.2025,0.18
Metro Centre,286.0,10.0,369.765,2025-05-01 13:45:30+00:00,0.09775,0.02875,0.1965,0.0955
Metro Centre,286.0,10.0,369.765,2025-05-01 14:00:30+00:00,0.062,0.01375,0.15,0.062
Metro Centre,286.0,10.0,369.765,2025-05-01 14:15:30+00:00,0.044,0.01325,0.12725,0.04425
Metro Centre,286.0,10.0,369.765,2025-05-01 14:30:30+00:00,0.03675,0.01275,0.141,0.03675
Metro Centre,286.0,10.0,369.765,2025-05-01 14:45:30+00:00,0.1205,0.024,0.17975,0.11125
Metro Centre,286.0,10.0,369.765,2025-05-01 15:00:30+00:00,0.15225,0.0725,0.17675,0.13625
Metro Centre,286.0,10.0,369.765,2025-05-01 15:15:30+00:00,0.148,0.0945,0.1705,0.13
Metro Centre,286.0,10.0,369.765,2025-05-01 15:30:30+00:00,0.13825,0.09375,0.16225,0.12
Metro Centre,286.0,10.0,369.765,2025-05-01 15:45:30+00:00,0.14,0.075,0.15325,0.12025
Metro Centre,286.0,10.0,369.765,2025-05-01 16:00:30+00:00,0.10375,0.03875,0.1385,0.09175
Metro Centre,286.0,10.0,369.765,2025-05-01 16:15:30+00:00,0.05525,0.01225,0.1185,0.05175
Metro Centre,286.0,10.0,369.765,2025-05-01 16:30:30+00:00,0.0405,0.008,0.08425,0.03975
Metro Centre,286.0,10.0,369.765,2025-05-01 16:45:30+00:00,0.03575,0.007,0.07,0.035
Metro Centre,286.0,10.0,369.765,2025-05-01 17:00:30+00:00,0.0235,0.006,0.0635,0.0235
Metro Centre,286.0,10.0,369.765,2025-05-01 17:15:30+00:00,0.04325,0.0085,0.07975,0.03725
Metro Centre,286.0,10.0,369.765,2025-05-01 17:30:30+00:00,0.062,0.02025,0.081,0.0475
Metro Centre,286.0,10.0,369.765,2025-05-01 17:45:30+00:00,0.063,0.02325,0.071,0.0465
Metro Centre,286.0,10.0,369.765,2025-05-01 18:00:30+00:00,0.0385,0.01225,0.055,0.03
Metro Centre,286.0,10.0,369.765,2025-05-01 18:15:30+00:00,0.013,0.00275,0.0345,0.012
Metro Centre,286.0,10.0,369.765,2025-05-01 18:30:30+00:00,0.0055,0.00175,0.021,0.0055
Metro Centre,286.0,10.0,369.765,2025-05-01 18:45:30+00:00,0.013,0.0025,0.021,0.01
Metro Centre,286.0,10.0,369.765,2025-05-01 19:00:30+00:00,0.009,0.002,0.01175,0.00675
Metro Centre,286.0,10.0,369.765,2025-05-01 19:15:30+00:00,0.00225,0.00125,0.00325,0.00225
Metro Centre,286.0,10.0,369.765,2025-05-01 19:30:30+00:00,0.00075,0.0005,0.001,0.00075
Metro Centre,286.0,10.0,369.765,2025-05-01 19:45:30+00:00,0.0,0.0,0.0,0.0
Metro Centre,286.0,10.0,369.765,2025-05-01 20:00:30+00:00,0.0,0.0,0.0,0.0
Metro Centre,286.0,10.0,369.765,2025-05-01 20:15:30+00:00,0.0,0.0,0.0,0.0
Metro Centre,286.0,10.0,369.765,2025-05-01 20:30:30+00:00,0.0,0.0,0.0,0.0
Metro Centre,286.0,10.0,369.765,2025-05-01 20:45:30+00:00,0.0,0.0,0.0,0.0
Metro Centre,286.0,10.0,369.765,2025-05-01 21:00:30+00:00,0.0,0.0,0.0,0.0
Metro Centre,286.0,10.0,369.765,2025-05-01 21:15:30+00:00,0.0,0.0,0.0,0.0
Metro Centre,286.0,10.0,369.765,2025-05-01 21:30:30+00:00,0.0,0.0,0.0,0.0
Metro Centre,286.0,10.0,369.765,2025-05-01 21:45:30+00:00,0.0,0.0,0.0,0.0
Metro Centre,286.0,10.0,369.765,2025-05-01 22:00:30+00:00,0.0,0.0,0.0,0.0
Metro Centre,286.0,10.0,369.765,2025-05-01 22:15:30+00:00,0.0,0.0,0.0,0.0
Metro Centre,286.0,10.0,369.765,2025-05-01 22:30:30+00:00,0.0,0.0,0.0,0.0
Metro Centre,286.0,10.0,369.765,2025-05-01 22:45:30+00:00,0.0,0.0,0.0,0.0
Metro Centre,286.0,10.0,369.765,2025-05-01 23:00:30+00:00,0.0,0.0,0.0,0.0
Metro Centre,286.0,10.0,369.765,2025-05-01 23:15:30+00:00,0.0,0.0,0.0,0.0
Metro Centre,286.0,10.0,369.765,2025-05-01 23:30:30+00:00,0.0,0.0,0.0,0.0
Metro Centre,286.0,10.0,369.765,2025-05-01 23:45:30+00:00,0.0,0.0,0.0,0.0
Metro Centre,286.0,10.0,369.765,2025-05-02 00:00:30+00:00,0.0,0.0,0.0,0.0
Metro Centre,286.0,10.0,369.765,2025-05-02 00:15:30+00:00,0.0,0.0,0.0,0.0
