name,azimuth,slope,array_capacity,time,gti,gti_low,gti_high,ghi
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 00:00:30+00:00,0.0,0.0,0.0,0.0
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 00:15:30+00:00,0.0,0.0,0.0,0.0
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 00:30:30+00:00,0.0,0.0,0.0,0.0
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 00:45:30+00:00,0.0,0.0,0.0,0.0
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 01:00:30+00:00,0.0,0.0,0.0,0.0
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 01:15:30+00:00,0.0,0.0,0.0,0.0
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 01:30:30+00:00,0.0,0.0,0.0,0.0
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 01:45:30+00:00,0.0,0.0,0.0,0.0
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 02:00:30+00:00,0.0,0.0,0.0,0.0
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 02:15:30+00:00,0.0,0.0,0.0,0.0
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 02:30:30+00:00,0.0,0.0,0.0,0.0
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 02:45:30+00:00,0.0,0.0,0.0,0.0
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 03:00:30+00:00,0.0,0.0,0.0,0.0
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 03:15:30+00:00,0.0,0.0,0.0,0.0
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 03:30:30+00:00,0.00025,0.00025,0.0005,0.00025
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 03:45:30+00:00,0.001,0.00075,0.00175,0.001
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 04:00:30+00:00,0.003,0.0015,0.00525,0.00325
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 04:15:30+00:00,0.00625,0.0035,0.011,0.0065
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 04:30:30+00:00,0.01175,0.00625,0.01625,0.013
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 04:45:30+00:00,0.018,0.0115,0.02325,0.01975
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 05:00:30+00:00,0.025,0.018,0.0315,0.027
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 05:15:30+00:00,0.033,0.02575,0.04025,0.03475
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 05:30:30+00:00,0.04125,0.034,0.049,0.043
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 05:45:30+00:00,0.0505,0.04325,0.058,0.0515
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 06:00:30+00:00,0.06025,0.0535,0.067,0.0605
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 06:15:30+00:00,0.06975,0.06375,0.07625,0.0695
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 06:30:30+00:00,0.08025,0.07425,0.08625,0.079
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 06:45:30+00:00,0.0905,0.0845,0.097,0.08825
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 07:00:30+00:00,0.1015,0.09475,0.1085,0.09825
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 07:15:30+00:00,0.1125,0.10525,0.11975,0.10825
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 07:30:30+00:00,0.12325,0.11575,0.13075,0.11775
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 07:45:30+00:00,0.1345,0.127,0.14225,0.127
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 08:00:30+00:00,0.14525,0.1375,0.15275,0.1365
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 08:15:30+00:00,0.15525,0.14675,0.1635,0.14525
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 08:30:30+00:00,0.16475,0.1535,0.174,0.1535
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 08:45:30+00:00,0.171,0.159,0.18325,0.159
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 09:00:30+00:00,0.17775,0.1625,0.191,0.165
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 09:15:30+00:00,0.1815,0.16825,0.2,0.1685
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 09:30:30+00:00,0.1935,0.17575,0.21075,0.179
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 09:45:30+00:00,0.20475,0.18675,0.22075,0.189
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 10:00:30+00:00,0.2125,0.19725,0.226,0.19575
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 10:15:30+00:00,0.217,0.20525,0.2285,0.20025
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 10:30:30+00:00,0.221,0.21075,0.23225,0.20375
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 10:45:30+00:00,0.227,0.2155,0.2375,0.20875
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 11:00:30+00:00,0.23075,0.2195,0.24125,0.21225
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 11:15:30+00:00,0.233,0.2225,0.243,0.21475
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 11:30:30+00:00,0.23425,0.22475,0.24325,0.21625
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 11:45:30+00:00,0.2345,0.22525,0.24325,0.21675
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 12:00:30+00:00,0.23375,0.22475,0.24275,0.21675
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 12:15:30+00:00,0.2325,0.22325,0.2415,0.216
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 12:30:30+00:00,0.23075,0.22125,0.23925,0.215
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 12:45:30+00:00,0.22725,0.218,0.236,0.2125
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 13:00:30+00:00,0.223,0.21375,0.232,0.20925
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 13:15:30+00:00,0.218,0.2085,0.22675,0.2055
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 13:30:30+00:00,0.21175,0.20225,0.2205,0.201
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 13:45:30+00:00,0.205,0.1955,0.214,0.1955
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 14:00:30+00:00,0.19775,0.18825,0.20675,0.1895
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 14:15:30+00:00,0.18975,0.1805,0.1985,0.18325
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 14:30:30+00:00,0.18075,0.17225,0.1895,0.1755
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 14:45:30+00:00,0.172,0.164,0.17975,0.16825
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 15:00:30+00:00,0.163,0.15525,0.17025,0.16075
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 15:15:30+00:00,0.15325,0.146,0.1605,0.1525
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 15:30:30+00:00,0.14325,0.13625,0.15,0.14375
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 15:45:30+00:00,0.1325,0.1265,0.13925,0.1345
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 16:00:30+00:00,0.12275,0.117,0.128,0.12575
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 16:15:30+00:00,0.11225,0.1075,0.1175,0.1165
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 16:30:30+00:00,0.102,0.09725,0.10675,0.1075
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 16:45:30+00:00,0.09175,0.087,0.0965,0.098
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 17:00:30+00:00,0.0815,0.0765,0.0865,0.08825
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 17:15:30+00:00,0.07125,0.064,0.07875,0.07875
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 17:30:30+00:00,0.06125,0.04675,0.07075,0.06875
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 17:45:30+00:00,0.05175,0.02975,0.06025,0.0595
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 18:00:30+00:00,0.03925,0.01225,0.05175,0.045
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 18:15:30+00:00,0.0175,0.00625,0.04675,0.0185
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 18:30:30+00:00,0.02075,0.00425,0.0345,0.02425
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 18:45:30+00:00,0.01925,0.00725,0.02675,0.023
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 19:00:30+00:00,0.01375,0.0075,0.02025,0.016
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 19:15:30+00:00,0.0095,0.006,0.01375,0.01075
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 19:30:30+00:00,0.00625,0.00375,0.009,0.0065
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 19:45:30+00:00,0.00275,0.002,0.004,0.00275
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 20:00:30+00:00,0.001,0.00075,0.0015,0.001
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 20:15:30+00:00,0.0,0.0,0.0,0.0
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 20:30:30+00:00,0.0,0.0,0.0,0.0
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 20:45:30+00:00,0.0,0.0,0.0,0.0
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 21:00:30+00:00,0.0,0.0,0.0,0.0
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 21:15:30+00:00,0.0,0.0,0.0,0.0
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 21:30:30+00:00,0.0,0.0,0.0,0.0
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 21:45:30+00:00,0.0,0.0,0.0,0.0
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 22:00:30+00:00,0.0,0.0,0.0,0.0
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 22:15:30+00:00,0.0,0.0,0.0,0.0
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 22:30:30+00:00,0.0,0.0,0.0,0.0
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 22:45:30+00:00,0.0,0.0,0.0,0.0
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 23:00:30+00:00,0.0,0.0,0.0,0.0
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 23:15:30+00:00,0.0,0.0,0.0,0.0
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 23:30:30+00:00,0.0,0.0,0.0,0.0
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-11 23:45:30+00:00,0.0,0.0,0.0,0.0
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-12 00:00:30+00:00,0.0,0.0,0.0,0.0
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-12 00:15:30+00:00,0.0,0.0,0.0,0.0
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-12 00:30:30+00:00,0.0,0.0,0.0,0.0
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-12 00:45:30+00:00,0.0,0.0,0.0,0.0
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-12 01:00:30+00:00,0.0,0.0,0.0,0.0
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-12 01:15:30+00:00,0.0,0.0,0.0,0.0
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-12 01:30:30+00:00,0.0,0.0,0.0,0.0
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-12 01:45:30+00:00,0.0,0.0,0.0,0.0
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-12 02:00:30+00:00,0.0,0.0,0.0,0.0
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-12 02:15:30+00:00,0.0,0.0,0.0,0.0
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-12 02:30:30+00:00,0.0,0.0,0.0,0.0
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-12 02:45:30+00:00,0.0,0.0,0.0,0.0
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-12 03:00:30+00:00,0.0,0.0,0.0,0.0
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-12 03:15:30+00:00,0.0,0.0,0.0,0.0
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-12 03:30:30+00:00,0.00025,0.0,0.0005,0.00025
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-12 03:45:30+00:00,0.00075,0.0005,0.00175,0.00075
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-12 04:00:30+00:00,0.0025,0.001,0.0045,0.0025
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-12 04:15:30+00:00,0.005,0.00225,0.00825,0.00525
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-12 04:30:30+00:00,0.00825,0.0035,0.01325,0.0085
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-12 04:45:30+00:00,0.01175,0.00475,0.01925,0.012
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-12 05:00:30+00:00,0.016,0.00625,0.0295,0.01625
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-12 05:15:30+00:00,0.02525,0.0095,0.041,0.02625
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-12 05:30:30+00:00,0.03475,0.019,0.05025,0.03575
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-12 05:45:30+00:00,0.04975,0.02825,0.06025,0.05075
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-12 06:00:30+00:00,0.0525,0.0345,0.069,0.053
Oasis - Henderson Avenue,167.0,10.0,75.06,2025-06-12 06:15:30+00:00,0.0525,0.03775,0.07075,0.05275
