name,azimuth,slope,array_capacity,time,gti,gti_low,gti_high,ghi
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 00:00:30+00:00,0.0,0.0,0.0,0.0
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 00:15:30+00:00,0.0,0.0,0.0,0.0
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 00:30:30+00:00,0.0,0.0,0.0,0.0
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 00:45:30+00:00,0.0,0.0,0.0,0.0
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 01:00:30+00:00,0.0,0.0,0.0,0.0
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 01:15:30+00:00,0.0,0.0,0.0,0.0
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 01:30:30+00:00,0.0,0.0,0.0,0.0
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 01:45:30+00:00,0.0,0.0,0.0,0.0
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 02:00:30+00:00,0.0,0.0,0.0,0.0
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 02:15:30+00:00,0.0,0.0,0.0,0.0
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 02:30:30+00:00,0.0,0.0,0.0,0.0
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 02:45:30+00:00,0.0,0.0,0.0,0.0
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 03:00:30+00:00,0.0,0.0,0.0,0.0
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 03:15:30+00:00,0.0,0.0,0.0,0.0
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 03:30:30+00:00,0.0005,0.00025,0.00075,0.0005
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 03:45:30+00:00,0.0015,0.001,0.00225,0.0015
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 04:00:30+00:00,0.00425,0.00225,0.00675,0.00425
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 04:15:30+00:00,0.00825,0.005,0.01325,0.00825
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 04:30:30+00:00,0.0145,0.0085,0.02075,0.01425
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 04:45:30+00:00,0.0215,0.01375,0.02875,0.02175
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 05:00:30+00:00,0.02925,0.0205,0.037,0.02975
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 05:15:30+00:00,0.0375,0.02825,0.04575,0.0385
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 05:30:30+00:00,0.0455,0.03675,0.05475,0.04725
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 05:45:30+00:00,0.05425,0.04575,0.06325,0.0565
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 06:00:30+00:00,0.0635,0.0555,0.0715,0.0665
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 06:15:30+00:00,0.0725,0.06525,0.07975,0.0765
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 06:30:30+00:00,0.0815,0.075,0.08825,0.08625
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 06:45:30+00:00,0.0905,0.08425,0.09725,0.096
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 07:00:30+00:00,0.10025,0.0935,0.10675,0.1065
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 07:15:30+00:00,0.1095,0.10275,0.11625,0.1165
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 07:30:30+00:00,0.11875,0.11225,0.125,0.1265
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 07:45:30+00:00,0.1275,0.12125,0.133,0.136
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 08:00:30+00:00,0.13525,0.12825,0.1425,0.1445
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 08:15:30+00:00,0.143,0.133,0.153,0.15275
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 08:30:30+00:00,0.1505,0.12425,0.1655,0.16075
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 08:45:30+00:00,0.15375,0.11975,0.17425,0.1635
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 09:00:30+00:00,0.17125,0.0995,0.18225,0.1815
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 09:15:30+00:00,0.1305,0.0965,0.19175,0.13675
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 09:30:30+00:00,0.14925,0.1005,0.19775,0.15675
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 09:45:30+00:00,0.17525,0.117,0.2025,0.18525
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 10:00:30+00:00,0.16725,0.1205,0.2085,0.176
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 10:15:30+00:00,0.151,0.12375,0.20875,0.15775
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 10:30:30+00:00,0.17775,0.1095,0.2085,0.18675
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 10:45:30+00:00,0.14975,0.10875,0.21875,0.156
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 11:00:30+00:00,0.1615,0.08375,0.21,0.16825
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 11:15:30+00:00,0.1295,0.09175,0.22875,0.13375
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 11:30:30+00:00,0.18525,0.092,0.22925,0.19325
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 11:45:30+00:00,0.17925,0.1035,0.231,0.186
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 12:00:30+00:00,0.201,0.08025,0.23075,0.20875
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 12:15:30+00:00,0.1415,0.04475,0.232,0.14575
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 12:30:30+00:00,0.0965,0.02225,0.2055,0.09825
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 12:45:30+00:00,0.1005,0.027,0.20825,0.10225
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 13:00:30+00:00,0.1535,0.0365,0.21375,0.157
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 13:15:30+00:00,0.12125,0.024,0.20575,0.12325
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 13:30:30+00:00,0.04425,0.01625,0.1665,0.04475
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 13:45:30+00:00,0.03875,0.01575,0.15525,0.039
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 14:00:30+00:00,0.12075,0.024,0.195,0.122
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 14:15:30+00:00,0.147,0.05275,0.2035,0.148
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 14:30:30+00:00,0.12725,0.04575,0.197,0.12775
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 14:45:30+00:00,0.091,0.0295,0.1735,0.09125
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 15:00:30+00:00,0.08525,0.017,0.143,0.08525
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 15:15:30+00:00,0.0455,0.01275,0.12075,0.0455
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 15:30:30+00:00,0.041,0.012,0.10775,0.04125
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 15:45:30+00:00,0.05575,0.01125,0.12975,0.05575
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 16:00:30+00:00,0.093,0.02475,0.1475,0.09125
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 16:15:30+00:00,0.12125,0.04275,0.1395,0.11725
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 16:30:30+00:00,0.097,0.03425,0.12925,0.0935
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 16:45:30+00:00,0.05375,0.01125,0.11425,0.05275
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 17:00:30+00:00,0.038,0.00775,0.085,0.03775
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 17:15:30+00:00,0.02325,0.00675,0.071,0.02325
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 17:30:30+00:00,0.02775,0.006,0.0715,0.0275
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 17:45:30+00:00,0.0545,0.0125,0.078,0.05075
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 18:00:30+00:00,0.0605,0.0225,0.06925,0.0545
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 18:15:30+00:00,0.03575,0.021,0.05725,0.03275
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 18:30:30+00:00,0.03225,0.01825,0.04775,0.029
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 18:45:30+00:00,0.0335,0.0185,0.04025,0.02825
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 19:00:30+00:00,0.0265,0.01675,0.03125,0.0215
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 19:15:30+00:00,0.01775,0.012,0.02225,0.014
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 19:30:30+00:00,0.01025,0.007,0.01325,0.008
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 19:45:30+00:00,0.00375,0.003,0.005,0.0035
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 20:00:30+00:00,0.00125,0.001,0.00175,0.00125
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 20:15:30+00:00,0.0,0.0,0.0,0.0
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 20:30:30+00:00,0.0,0.0,0.0,0.0
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 20:45:30+00:00,0.0,0.0,0.0,0.0
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 21:00:30+00:00,0.0,0.0,0.0,0.0
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 21:15:30+00:00,0.0,0.0,0.0,0.0
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 21:30:30+00:00,0.0,0.0,0.0,0.0
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 21:45:30+00:00,0.0,0.0,0.0,0.0
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 22:00:30+00:00,0.0,0.0,0.0,0.0
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 22:15:30+00:00,0.0,0.0,0.0,0.0
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 22:30:30+00:00,0.0,0.0,0.0,0.0
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 22:45:30+00:00,0.0,0.0,0.0,0.0
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 23:00:30+00:00,0.0,0.0,0.0,0.0
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 23:15:30+00:00,0.0,0.0,0.0,0.0
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 23:30:30+00:00,0.0,0.0,0.0,0.0
Oasis - Immingham,333.0,5.0,63.0,2025-06-01 23:45:30+00:00,0.0,0.0,0.0,0.0
Oasis - Immingham,333.0,5.0,63.0,2025-06-02 00:00:30+00:00,0.0,0.0,0.0,0.0
Oasis - Immingham,333.0,5.0,63.0,2025-06-02 00:15:30+00:00,0.0,0.0,0.0,0.0
Oasis - Immingham,333.0,5.0,63.0,2025-06-02 00:30:30+00:00,0.0,0.0,0.0,0.0
Oasis - Immingham,333.0,5.0,63.0,2025-06-02 00:45:30+00:00,0.0,0.0,0.0,0.0
Oasis - Immingham,333.0,5.0,63.0,2025-06-02 01:00:30+00:00,0.0,0.0,0.0,0.0
Oasis - Immingham,333.0,5.0,63.0,2025-06-02 01:15:30+00:00,0.0,0.0,0.0,0.0
Oasis - Immingham,333.0,5.0,63.0,2025-06-02 01:30:30+00:00,0.0,0.0,0.0,0.0
Oasis - Immingham,333.0,5.0,63.0,2025-06-02 01:45:30+00:00,0.0,0.0,0.0,0.0
Oasis - Immingham,333.0,5.0,63.0,2025-06-02 02:00:30+00:00,0.0,0.0,0.0,0.0
Oasis - Immingham,333.0,5.0,63.0,2025-06-02 02:15:30+00:00,0.0,0.0,0.0,0.0
Oasis - Immingham,333.0,5.0,63.0,2025-06-02 02:30:30+00:00,0.0,0.0,0.0,0.0
Oasis - Immingham,333.0,5.0,63.0,2025-06-02 02:45:30+00:00,0.0,0.0,0.0,0.0
Oasis - Immingham,333.0,5.0,63.0,2025-06-02 03:00:30+00:00,0.0,0.0,0.0,0.0
Oasis - Immingham,333.0,5.0,63.0,2025-06-02 03:15:30+00:00,0.0,0.0,0.0,0.0
Oasis - Immingham,333.0,5.0,63.0,2025-06-02 03:30:30+00:00,0.00025,0.0,0.00075,0.00025
Oasis - Immingham,333.0,5.0,63.0,2025-06-02 03:45:30+00:00,0.00075,0.00025,0.00225,0.00075
Oasis - Immingham,333.0,5.0,63.0,2025-06-02 04:00:30+00:00,0.0025,0.0005,0.005,0.0025
Oasis - Immingham,333.0,5.0,63.0,2025-06-02 04:15:30+00:00,0.0045,0.001,0.00875,0.00475
Oasis - Immingham,333.0,5.0,63.0,2025-06-02 04:30:30+00:00,0.007,0.0015,0.013,0.007
Oasis - Immingham,333.0,5.0,63.0,2025-06-02 04:45:30+00:00,0.0075,0.00225,0.0185,0.0075
Oasis - Immingham,333.0,5.0,63.0,2025-06-02 05:00:30+00:00,0.013,0.00275,0.02675,0.01325
Oasis - Immingham,333.0,5.0,63.0,2025-06-02 05:15:30+00:00,0.02275,0.005,0.034,0.023
