name,azimuth,slope,array_capacity,time,gti,gti_low,gti_high,ghi
Oasis - Parkwood,180.0,10.0,5.67,2025-06-10 00:00:30+00:00,0.0015,0.0005,0.00375,0.0015
Oasis - Parkwood,180.0,10.0,5.67,2025-06-10 00:15:30+00:00,0.0005,0.00025,0.001,0.0005
Oasis - Parkwood,180.0,10.0,5.67,2025-06-10 00:30:30+00:00,0.0,0.0,0.0,0.0
Oasis - Parkwood,180.0,10.0,5.67,2025-06-10 00:45:30+00:00,0.0,0.0,0.0,0.0
Oasis - Parkwood,180.0,10.0,5.67,2025-06-10 01:00:30+00:00,0.0,0.0,0.0,0.0
Oasis - Parkwood,180.0,10.0,5.67,2025-06-10 01:15:30+00:00,0.0,0.0,0.0,0.0
Oasis - Parkwood,180.0,10.0,5.67,2025-06-10 01:30:30+00:00,0.0,0.0,0.0,0.0
Oasis - Parkwood,180.0,10.0,5.67,2025-06-10 01:45:30+00:00,0.0,0.0,0.0,0.0
Oasis - Parkwood,180.0,10.0,5.67,2025-06-10 02:00:30+00:00,0.0,0.0,0.0,0.0
Oasis - Parkwood,180.0,10.0,5.67,2025-06-10 02:15:30+00:00,0.0,0.0,0.0,0.0
Oasis - Parkwood,180.0,10.0,5.67,2025-06-10 02:30:30+00:00,0.0,0.0,0.0,0.0
Oasis - Parkwood,180.0,10.0,5.67,2025-06-10 02:45:30+00:00,0.0,0.0,0.0,0.0
Oasis - Parkwood,180.0,10.0,5.67,2025-06-10 03:00:30+00:00,0.0,0.0,0.0,0.0
Oasis - Parkwood,180.0,10.0,5.67,2025-06-10 03:15:30+00:00,0.0,0.0,0.0,0.0
Oasis - Parkwood,180.0,10.0,5.67,2025-06-10 03:30:30+00:00,0.0,0.0,0.0,0.0
Oasis - Parkwood,180.0,10.0,5.67,2025-06-10 03:45:30+00:00,0.0,0.0,0.0,0.0
Oasis - Parkwood,180.0,10.0,5.67,2025-06-10 04:00:30+00:00,0.0,0.0,0.0,0.0
Oasis - Parkwood,180.0,10.0,5.67,2025-06-10 04:15:30+00:00,0.0,0.0,0.0,0.0
Oasis - Parkwood,180.0,10.0,5.67,2025-06-10 04:30:30+00:00,0.0,0.0,0.0,0.0
Oasis - Parkwood,180.0,10.0,5.67,2025-06-10 04:45:30+00:00,0.0,0.0,0.0,0.0
Oasis - Parkwood,180.0,10.0,5.67,2025-06-10 05:00:30+00:00,0.0,0.0,0.0,0.0
Oasis - Parkwood,180.0,10.0,5.67,2025-06-10 05:15:30+00:00,0.0,0.0,0.0,0.0
Oasis - Parkwood,180.0,10.0,5.67,2025-06-10 05:30:30+00:00,0.0,0.0,0.0,0.0
Oasis - Parkwood,180.0,10.0,5.67,2025-06-10 05:45:30+00:00,0.0,0.0,0.0,0.0
Oasis - Parkwood,180.0,10.0,5.67,2025-06-10 06:00:30+00:00,0.0,0.0,0.0,0.0
Oasis - Parkwood,180.0,10.0,5.67,2025-06-10 06:15:30+00:00,0.0,0.0,0.0,0.0
