name,azimuth,slope,array_capacity,time,gti,gti_low,gti_high,ghi
Finlay Beverages,57.0,6.0,797.4,2025-07-01 00:00:30+00:00,0.0,0.0,0.0,0.0
Finlay Beverages,57.0,6.0,797.4,2025-07-01 00:15:30+00:00,0.0,0.0,0.0,0.0
Finlay Beverages,57.0,6.0,797.4,2025-07-01 00:30:30+00:00,0.0,0.0,0.0,0.0
Finlay Beverages,57.0,6.0,797.4,2025-07-01 00:45:30+00:00,0.0,0.0,0.0,0.0
Finlay Beverages,57.0,6.0,797.4,2025-07-01 01:00:30+00:00,0.0,0.0,0.0,0.0
Finlay Beverages,57.0,6.0,797.4,2025-07-01 01:15:30+00:00,0.0,0.0,0.0,0.0
Finlay Beverages,57.0,6.0,797.4,2025-07-01 01:30:30+00:00,0.0,0.0,0.0,0.0
Finlay Beverages,57.0,6.0,797.4,2025-07-01 01:45:30+00:00,0.0,0.0,0.0,0.0
Finlay Beverages,57.0,6.0,797.4,2025-07-01 02:00:30+00:00,0.0,0.0,0.0,0.0
Finlay Beverages,57.0,6.0,797.4,2025-07-01 02:15:30+00:00,0.0,0.0,0.0,0.0
Finlay Beverages,57.0,6.0,797.4,2025-07-01 02:30:30+00:00,0.0,0.0,0.0,0.0
Finlay Beverages,57.0,6.0,797.4,2025-07-01 02:45:30+00:00,0.0,0.0,0.0,0.0
Finlay Beverages,57.0,6.0,797.4,2025-07-01 03:00:30+00:00,0.0,0.0,0.0,0.0
Finlay Beverages,57.0,6.0,797.4,2025-07-01 03:15:30+00:00,0.0,0.0,0.0,0.0
Finlay Beverages,57.0,6.0,797.4,2025-07-01 03:30:30+00:00,0.0,0.0,0.0,0.0
Finlay Beverages,57.0,6.0,797.4,2025-07-01 03:45:30+00:00,0.00075,0.00025,0.001,0.00075
Finlay Beverages,57.0,6.0,797.4,2025-07-01 04:00:30+00:00,0.003,0.00125,0.00425,0.003
Finlay Beverages,57.0,6.0,797.4,2025-07-01 04:15:30+00:00,0.0095,0.002,0.0115,0.008
Finlay Beverages,57.0,6.0,797.4,2025-07-01 04:30:30+00:00,0.00425,0.00125,0.01375,0.004
Finlay Beverages,57.0,6.0,797.4,2025-07-01 04:45:30+00:00,0.0015,0.001,0.00625,0.0015
Finlay Beverages,57.0,6.0,797.4,2025-07-01 05:00:30+00:00,0.002,0.00125,0.0085,0.002
Finlay Beverages,57.0,6.0,797.4,2025-07-01 05:15:30+00:00,0.01025,0.00275,0.01775,0.0105
Finlay Beverages,57.0,6.0,797.4,2025-07-01 05:30:30+00:00,0.006,0.0035,0.02175,0.006
Finlay Beverages,57.0,6.0,797.4,2025-07-01 05:45:30+00:00,0.0035,0.00225,0.014,0.0035
Finlay Beverages,57.0,6.0,797.4,2025-07-01 06:00:30+00:00,0.012,0.005,0.03925,0.012
Finlay Beverages,57.0,6.0,797.4,2025-07-01 06:15:30+00:00,0.0285,0.00575,0.0515,0.0275
Finlay Beverages,57.0,6.0,797.4,2025-07-01 06:30:30+00:00,0.02175,0.0065,0.06325,0.02175
Finlay Beverages,57.0,6.0,797.4,2025-07-01 06:45:30+00:00,0.045,0.009,0.0785,0.0435
Finlay Beverages,57.0,6.0,797.4,2025-07-01 07:00:30+00:00,0.05725,0.02225,0.09025,0.055
Finlay Beverages,57.0,6.0,797.4,2025-07-01 07:15:30+00:00,0.06575,0.0385,0.09825,0.06325
Finlay Beverages,57.0,6.0,797.4,2025-07-01 07:30:30+00:00,0.0825,0.0505,0.0965,0.07875
Finlay Beverages,57.0,6.0,797.4,2025-07-01 07:45:30+00:00,0.07025,0.0535,0.09925,0.06825
Finlay Beverages,57.0,6.0,797.4,2025-07-01 08:00:30+00:00,0.07725,0.05,0.1005,0.075
Finlay Beverages,57.0,6.0,797.4,2025-07-01 08:15:30+00:00,0.0775,0.05125,0.11225,0.07575
Finlay Beverages,57.0,6.0,797.4,2025-07-01 08:30:30+00:00,0.0905,0.04375,0.11575,0.0885
Finlay Beverages,57.0,6.0,797.4,2025-07-01 08:45:30+00:00,0.06975,0.032,0.11575,0.069
Finlay Beverages,57.0,6.0,797.4,2025-07-01 09:00:30+00:00,0.061,0.02575,0.10875,0.06075
Finlay Beverages,57.0,6.0,797.4,2025-07-01 09:15:30+00:00,0.0715,0.02525,0.1055,0.07125
Finlay Beverages,57.0,6.0,797.4,2025-07-01 09:30:30+00:00,0.06275,0.02275,0.098,0.06275
Finlay Beverages,57.0,6.0,797.4,2025-07-01 09:45:30+00:00,0.0465,0.015,0.09325,0.04675
Finlay Beverages,57.0,6.0,797.4,2025-07-01 10:00:30+00:00,0.05275,0.01525,0.089,0.053
Finlay Beverages,57.0,6.0,797.4,2025-07-01 10:15:30+00:00,0.04925,0.0155,0.08525,0.0495
Finlay Beverages,57.0,6.0,797.4,2025-07-01 10:30:30+00:00,0.033,0.01575,0.07425,0.033
