name,azimuth,slope,array_capacity,time,gti,gti_low,gti_high,ghi
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 00:00:30+00:00,0.0,0.0,0.0,0.0
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 00:15:30+00:00,0.0,0.0,0.0,0.0
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 00:30:30+00:00,0.0,0.0,0.0,0.0
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 00:45:30+00:00,0.0,0.0,0.0,0.0
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 01:00:30+00:00,0.0,0.0,0.0,0.0
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 01:15:30+00:00,0.0,0.0,0.0,0.0
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 01:30:30+00:00,0.0,0.0,0.0,0.0
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 01:45:30+00:00,0.0,0.0,0.0,0.0
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 02:00:30+00:00,0.0,0.0,0.0,0.0
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 02:15:30+00:00,0.0,0.0,0.0,0.0
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 02:30:30+00:00,0.0,0.0,0.0,0.0
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 02:45:30+00:00,0.0,0.0,0.0,0.0
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 03:00:30+00:00,0.0,0.0,0.0,0.0
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 03:15:30+00:00,0.0,0.0,0.0,0.0
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 03:30:30+00:00,0.0,0.0,0.0,0.0
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 03:45:30+00:00,0.00075,0.00025,0.00225,0.00075
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 04:00:30+00:00,0.00275,0.0005,0.00475,0.00275
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 04:15:30+00:00,0.0025,0.001,0.0085,0.0025
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 04:30:30+00:00,0.005,0.00125,0.014,0.005
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 04:45:30+00:00,0.01225,0.0025,0.023,0.0115
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 05:00:30+00:00,0.01975,0.0055,0.0295,0.01775
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 05:15:30+00:00,0.0185,0.00825,0.03075,0.0175
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 05:30:30+00:00,0.02075,0.01125,0.033,0.0205
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 05:45:30+00:00,0.02775,0.0165,0.04,0.02675
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 06:00:30+00:00,0.03625,0.0235,0.0485,0.034
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 06:15:30+00:00,0.04275,0.0275,0.05525,0.04
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 06:30:30+00:00,0.044,0.02575,0.06025,0.04175
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 06:45:30+00:00,0.04125,0.01825,0.06525,0.04025
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 07:00:30+00:00,0.04075,0.0125,0.0675,0.04
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 07:15:30+00:00,0.038,0.00875,0.064,0.0375
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 07:30:30+00:00,0.027,0.00925,0.05675,0.02725
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 07:45:30+00:00,0.02825,0.01,0.05675,0.02825
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 08:00:30+00:00,0.04175,0.01625,0.06525,0.04175
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 08:15:30+00:00,0.052,0.02625,0.07225,0.0515
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 08:30:30+00:00,0.0535,0.03,0.073,0.05325
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 08:45:30+00:00,0.049,0.0305,0.06975,0.04875
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 09:00:30+00:00,0.04775,0.03,0.0675,0.048
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 09:15:30+00:00,0.04925,0.032,0.06725,0.0495
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 09:30:30+00:00,0.0515,0.03525,0.06925,0.05175
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 09:45:30+00:00,0.05525,0.03475,0.07125,0.0555
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 10:00:30+00:00,0.05175,0.03375,0.072,0.052
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 10:15:30+00:00,0.05125,0.0335,0.07225,0.0515
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 10:30:30+00:00,0.05525,0.03525,0.07525,0.0555
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 10:45:30+00:00,0.059,0.03775,0.0775,0.0595
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 11:00:30+00:00,0.058,0.04025,0.08025,0.0585
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 11:15:30+00:00,0.06325,0.04025,0.0805,0.064
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 11:30:30+00:00,0.059,0.0395,0.08125,0.05975
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 11:45:30+00:00,0.05875,0.0395,0.08375,0.05925
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 12:00:30+00:00,0.067,0.04075,0.086,0.068
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 12:15:30+00:00,0.06425,0.04525,0.08875,0.065
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 12:30:30+00:00,0.0695,0.04525,0.0865,0.0705
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 12:45:30+00:00,0.06375,0.0445,0.0875,0.06475
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 13:00:30+00:00,0.0645,0.03825,0.09275,0.0655
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 13:15:30+00:00,0.06775,0.03725,0.10175,0.069
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 13:30:30+00:00,0.07575,0.042,0.1115,0.07725
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 13:45:30+00:00,0.08575,0.0435,0.11125,0.08825
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 14:00:30+00:00,0.07125,0.0355,0.1085,0.073
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 14:15:30+00:00,0.058,0.0255,0.09775,0.059
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 14:30:30+00:00,0.055,0.02,0.086,0.05625
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 14:45:30+00:00,0.046,0.019,0.07575,0.04675
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 15:00:30+00:00,0.04075,0.0165,0.06575,0.0415
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 15:15:30+00:00,0.03625,0.0135,0.058,0.03675
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 15:30:30+00:00,0.03,0.0135,0.05125,0.0305
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 15:45:30+00:00,0.03025,0.0125,0.046,0.03075
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 16:00:30+00:00,0.02725,0.01125,0.0435,0.02775
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 16:15:30+00:00,0.02325,0.0105,0.04,0.02375
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 16:30:30+00:00,0.02125,0.01,0.03575,0.0215
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 16:45:30+00:00,0.01625,0.00925,0.031,0.0165
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 17:00:30+00:00,0.0145,0.0085,0.02725,0.0145
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 17:15:30+00:00,0.01275,0.008,0.02475,0.013
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 17:30:30+00:00,0.01125,0.00725,0.03125,0.01125
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 17:45:30+00:00,0.0065,0.00425,0.02575,0.0065
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 18:00:30+00:00,0.00575,0.00375,0.02325,0.00575
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 18:15:30+00:00,0.03425,0.00675,0.0515,0.03875
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 18:30:30+00:00,0.0305,0.00625,0.04975,0.034
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 18:45:30+00:00,0.0195,0.0075,0.04075,0.02025
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 19:00:30+00:00,0.019,0.008,0.02875,0.0205
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 19:15:30+00:00,0.017,0.0075,0.0255,0.0185
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 19:30:30+00:00,0.01325,0.005,0.01975,0.015
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 19:45:30+00:00,0.008,0.0025,0.016,0.00825
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 20:00:30+00:00,0.0055,0.00125,0.01175,0.0055
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 20:15:30+00:00,0.0045,0.001,0.00925,0.00475
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 20:30:30+00:00,0.00375,0.00075,0.00675,0.004
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 20:45:30+00:00,0.00225,0.0005,0.004,0.00225
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 21:00:30+00:00,0.0,0.0,0.0,0.0
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 21:15:30+00:00,0.0,0.0,0.0,0.0
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 21:30:30+00:00,0.0,0.0,0.0,0.0
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 21:45:30+00:00,0.0,0.0,0.0,0.0
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 22:00:30+00:00,0.0,0.0,0.0,0.0
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 22:15:30+00:00,0.0,0.0,0.0,0.0
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 22:30:30+00:00,0.0,0.0,0.0,0.0
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 22:45:30+00:00,0.0,0.0,0.0,0.0
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 23:00:30+00:00,0.0,0.0,0.0,0.0
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 23:15:30+00:00,0.0,0.0,0.0,0.0
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 23:30:30+00:00,0.0,0.0,0.0,0.0
Hibernian Stadium,64.0,7.0,116.64,2025-07-01 23:45:30+00:00,0.0,0.0,0.0,0.0
Hibernian Stadium,64.0,7.0,116.64,2025-07-02 00:00:30+00:00,0.0,0.0,0.0,0.0
Hibernian Stadium,64.0,7.0,116.64,2025-07-02 00:15:30+00:00,0.0,0.0,0.0,0.0
Hibernian Stadium,64.0,7.0,116.64,2025-07-02 00:30:30+00:00,0.0,0.0,0.0,0.0
Hibernian Stadium,64.0,7.0,116.64,2025-07-02 00:45:30+00:00,0.0,0.0,0.0,0.0
