name,azimuth,slope,array_capacity,time,gti,gti_low,gti_high,ghi
Merry Hill,180.0,10.0,92.25,2025-07-01 00:00:30+00:00,0.0,0.0,0.0,0.0
Merry Hill,180.0,10.0,92.25,2025-07-01 00:15:30+00:00,0.0,0.0,0.0,0.0
Merry Hill,180.0,10.0,92.25,2025-07-01 00:30:30+00:00,0.0,0.0,0.0,0.0
Merry Hill,180.0,10.0,92.25,2025-07-01 00:45:30+00:00,0.0,0.0,0.0,0.0
Merry Hill,180.0,10.0,92.25,2025-07-01 01:00:30+00:00,0.0,0.0,0.0,0.0
Merry Hill,180.0,10.0,92.25,2025-07-01 01:15:30+00:00,0.0,0.0,0.0,0.0
Merry Hill,180.0,10.0,92.25,2025-07-01 01:30:30+00:00,0.0,0.0,0.0,0.0
Merry Hill,180.0,10.0,92.25,2025-07-01 01:45:30+00:00,0.0,0.0,0.0,0.0
Merry Hill,180.0,10.0,92.25,2025-07-01 02:00:30+00:00,0.0,0.0,0.0,0.0
Merry Hill,180.0,10.0,92.25,2025-07-01 02:15:30+00:00,0.0,0.0,0.0,0.0
Merry Hill,180.0,10.0,92.25,2025-07-01 02:30:30+00:00,0.0,0.0,0.0,0.0
Merry Hill,180.0,10.0,92.25,2025-07-01 02:45:30+00:00,0.0,0.0,0.0,0.0
Merry Hill,180.0,10.0,92.25,2025-07-01 03:00:30+00:00,0.0,0.0,0.0,0.0
Merry Hill,180.0,10.0,92.25,2025-07-01 03:15:30+00:00,0.0,0.0,0.0,0.0
Merry Hill,180.0,10.0,92.25,2025-07-01 03:30:30+00:00,0.0,0.0,0.0,0.0
Merry Hill,180.0,10.0,92.25,2025-07-01 03:45:30+00:00,0.0,0.0,0.0005,0.00025
Merry Hill,180.0,10.0,92.25,2025-07-01 04:00:30+00:00,0.00025,0.00025,0.00125,0.00025
Merry Hill,180.0,10.0,92.25,2025-07-01 04:15:30+00:00,0.001,0.0005,0.0035,0.001
Merry Hill,180.0,10.0,92.25,2025-07-01 04:30:30+00:00,0.002,0.00075,0.0075,0.002
Merry Hill,180.0,10.0,92.25,2025-07-01 04:45:30+00:00,0.00425,0.0015,0.014,0.0045
Merry Hill,180.0,10.0,92.25,2025-07-01 05:00:30+00:00,0.00975,0.002,0.02375,0.01
Merry Hill,180.0,10.0,92.25,2025-07-01 05:15:30+00:00,0.01825,0.0035,0.0275,0.01975
Merry Hill,180.0,10.0,92.25,2025-07-01 05:30:30+00:00,0.0095,0.003,0.031,0.00975
Merry Hill,180.0,10.0,92.25,2025-07-01 05:45:30+00:00,0.005,0.00375,0.02,0.005
Merry Hill,180.0,10.0,92.25,2025-07-01 06:00:30+00:00,0.005,0.0045,0.0205,0.00525
Merry Hill,180.0,10.0,92.25,2025-07-01 06:15:30+00:00,0.0105,0.00525,0.042,0.01075
Merry Hill,180.0,10.0,92.25,2025-07-01 06:30:30+00:00,0.046,0.00925,0.06725,0.04775
Merry Hill,180.0,10.0,92.25,2025-07-01 06:45:30+00:00,0.0385,0.00775,0.08275,0.03925
Merry Hill,180.0,10.0,92.25,2025-07-01 07:00:30+00:00,0.04725,0.0095,0.0885,0.04825
Merry Hill,180.0,10.0,92.25,2025-07-01 07:15:30+00:00,0.057,0.02525,0.10775,0.05775
Merry Hill,180.0,10.0,92.25,2025-07-01 07:30:30+00:00,0.09575,0.04425,0.1235,0.096
Merry Hill,180.0,10.0,92.25,2025-07-01 07:45:30+00:00,0.10425,0.05325,0.13325,0.10425
Merry Hill,180.0,10.0,92.25,2025-07-01 08:00:30+00:00,0.0785,0.04325,0.136,0.0785
Merry Hill,180.0,10.0,92.25,2025-07-01 08:15:30+00:00,0.08625,0.04225,0.13125,0.086
Merry Hill,180.0,10.0,92.25,2025-07-01 08:30:30+00:00,0.095,0.0305,0.1375,0.09425
Merry Hill,180.0,10.0,92.25,2025-07-01 08:45:30+00:00,0.06925,0.03125,0.141,0.069
Merry Hill,180.0,10.0,92.25,2025-07-01 09:00:30+00:00,0.0945,0.035,0.16975,0.0935
Merry Hill,180.0,10.0,92.25,2025-07-01 09:15:30+00:00,0.1455,0.048,0.195,0.13975
Merry Hill,180.0,10.0,92.25,2025-07-01 09:30:30+00:00,0.12925,0.04675,0.20125,0.12525
Merry Hill,180.0,10.0,92.25,2025-07-01 09:45:30+00:00,0.11725,0.02325,0.1975,0.11375
Merry Hill,180.0,10.0,92.25,2025-07-01 10:00:30+00:00,0.0705,0.0155,0.16575,0.07
Merry Hill,180.0,10.0,92.25,2025-07-01 10:15:30+00:00,0.051,0.0155,0.1305,0.0515
Merry Hill,180.0,10.0,92.25,2025-07-01 10:30:30+00:00,0.05175,0.016,0.119,0.052
Merry Hill,180.0,10.0,92.25,2025-07-01 10:45:30+00:00,0.0725,0.022,0.1285,0.0725
Merry Hill,180.0,10.0,92.25,2025-07-01 11:00:30+00:00,0.102,0.03625,0.13825,0.1
Merry Hill,180.0,10.0,92.25,2025-07-01 11:15:30+00:00,0.08375,0.03825,0.1325,0.0835
Merry Hill,180.0,10.0,92.25,2025-07-01 11:30:30+00:00,0.0705,0.0355,0.1125,0.0705
Merry Hill,180.0,10.0,92.25,2025-07-01 11:45:30+00:00,0.06775,0.023,0.12125,0.06775
Merry Hill,180.0,10.0,92.25,2025-07-01 12:00:30+00:00,0.0775,0.01725,0.13275,0.07725
Merry Hill,180.0,10.0,92.25,2025-07-01 12:15:30+00:00,0.07275,0.01725,0.1755,0.0725
Merry Hill,180.0,10.0,92.25,2025-07-01 12:30:30+00:00,0.141,0.028,0.19725,0.13475
Merry Hill,180.0,10.0,92.25,2025-07-01 12:45:30+00:00,0.10925,0.056,0.216,0.10525
Merry Hill,180.0,10.0,92.25,2025-07-01 13:00:30+00:00,0.16075,0.07,0.20875,0.15175
Merry Hill,180.0,10.0,92.25,2025-07-01 13:15:30+00:00,0.1425,0.08225,0.212,0.1365
Merry Hill,180.0,10.0,92.25,2025-07-01 13:30:30+00:00,0.13875,0.06275,0.2155,0.13325
Merry Hill,180.0,10.0,92.25,2025-07-01 13:45:30+00:00,0.13525,0.02925,0.204,0.13
Merry Hill,180.0,10.0,92.25,2025-07-01 14:00:30+00:00,0.07275,0.01575,0.171,0.07175
Merry Hill,180.0,10.0,92.25,2025-07-01 14:15:30+00:00,0.04625,0.015,0.1395,0.04675
Merry Hill,180.0,10.0,92.25,2025-07-01 14:30:30+00:00,0.05525,0.0145,0.14875,0.0555
Merry Hill,180.0,10.0,92.25,2025-07-01 14:45:30+00:00,0.1125,0.0225,0.168,0.10925
Merry Hill,180.0,10.0,92.25,2025-07-01 15:00:30+00:00,0.111,0.03425,0.16175,0.1085
Merry Hill,180.0,10.0,92.25,2025-07-01 15:15:30+00:00,0.0685,0.0205,0.13625,0.06825
Merry Hill,180.0,10.0,92.25,2025-07-01 15:30:30+00:00,0.05625,0.01225,0.11775,0.05675
Merry Hill,180.0,10.0,92.25,2025-07-01 15:45:30+00:00,0.06125,0.0155,0.13,0.06175
Merry Hill,180.0,10.0,92.25,2025-07-01 16:00:30+00:00,0.1015,0.03175,0.1365,0.1005
Merry Hill,180.0,10.0,92.25,2025-07-01 16:15:30+00:00,0.08725,0.03925,0.129,0.087
Merry Hill,180.0,10.0,92.25,2025-07-01 16:30:30+00:00,0.063,0.03425,0.1055,0.0635
Merry Hill,180.0,10.0,92.25,2025-07-01 16:45:30+00:00,0.0595,0.02875,0.0835,0.06025
Merry Hill,180.0,10.0,92.25,2025-07-01 17:00:30+00:00,0.04575,0.0285,0.072,0.0465
Merry Hill,180.0,10.0,92.25,2025-07-01 17:15:30+00:00,0.0455,0.0285,0.06525,0.0465
Merry Hill,180.0,10.0,92.25,2025-07-01 17:30:30+00:00,0.04875,0.026,0.06675,0.05
Merry Hill,180.0,10.0,92.25,2025-07-01 17:45:30+00:00,0.04475,0.0195,0.06175,0.0465
Merry Hill,180.0,10.0,92.25,2025-07-01 18:00:30+00:00,0.02875,0.007,0.054,0.02975
Merry Hill,180.0,10.0,92.25,2025-07-01 18:15:30+00:00,0.01725,0.00425,0.042,0.0175
Merry Hill,180.0,10.0,92.25,2025-07-01 18:30:30+00:00,0.01525,0.0035,0.03275,0.0155
Merry Hill,180.0,10.0,92.25,2025-07-01 18:45:30+00:00,0.009,0.003,0.02975,0.009
Merry Hill,180.0,10.0,92.25,2025-07-01 19:00:30+00:00,0.0155,0.003,0.0235,0.017
Merry Hill,180.0,10.0,92.25,2025-07-01 19:15:30+00:00,0.00825,0.00175,0.01975,0.00875
Merry Hill,180.0,10.0,92.25,2025-07-01 19:30:30+00:00,0.002,0.00125,0.008,0.002
Merry Hill,180.0,10.0,92.25,2025-07-01 19:45:30+00:00,0.001,0.00075,0.004,0.001
Merry Hill,180.0,10.0,92.25,2025-07-01 20:00:30+00:00,0.00075,0.0005,0.00325,0.001
Merry Hill,180.0,10.0,92.25,2025-07-01 20:15:30+00:00,0.0005,0.00025,0.0015,0.0005
Merry Hill,180.0,10.0,92.25,2025-07-01 20:30:30+00:00,0.0,0.0,0.0,0.0
Merry Hill,180.0,10.0,92.25,2025-07-01 20:45:30+00:00,0.0,0.0,0.0,0.0
Merry Hill,180.0,10.0,92.25,2025-07-01 21:00:30+00:00,0.0,0.0,0.0,0.0
Merry Hill,180.0,10.0,92.25,2025-07-01 21:15:30+00:00,0.0,0.0,0.0,0.0
Merry Hill,180.0,10.0,92.25,2025-07-01 21:30:30+00:00,0.0,0.0,0.0,0.0
Merry Hill,180.0,10.0,92.25,2025-07-01 21:45:30+00:00,0.0,0.0,0.0,0.0
Merry Hill,180.0,10.0,92.25,2025-07-01 22:00:30+00:00,0.0,0.0,0.0,0.0
Merry Hill,180.0,10.0,92.25,2025-07-01 22:15:30+00:00,0.0,0.0,0.0,0.0
Merry Hill,180.0,10.0,92.25,2025-07-01 22:30:30+00:00,0.0,0.0,0.0,0.0
Merry Hill,180.0,10.0,92.25,2025-07-01 22:45:30+00:00,0.0,0.0,0.0,0.0
Merry Hill,180.0,10.0,92.25,2025-07-01 23:00:30+00:00,0.0,0.0,0.0,0.0
