name,azimuth,slope,array_capacity,time,gti,gti_low,gti_high,ghi
Oasis - Connaught,173.0,25.0,35.64,2025-07-01 00:00:30+00:00,0.0,0.0,0.0,0.0
Oasis - Connaught,173.0,25.0,35.64,2025-07-01 00:15:30+00:00,0.0,0.0,0.0,0.0
Oasis - Connaught,173.0,25.0,35.64,2025-07-01 00:30:30+00:00,0.0,0.0,0.0,0.0
Oasis - Connaught,173.0,25.0,35.64,2025-07-01 00:45:30+00:00,0.0,0.0,0.0,0.0
Oasis - Connaught,173.0,25.0,35.64,2025-07-01 01:00:30+00:00,0.0,0.0,0.0,0.0
Oasis - Connaught,173.0,25.0,35.64,2025-07-01 01:15:30+00:00,0.0,0.0,0.0,0.0
Oasis - Connaught,173.0,25.0,35.64,2025-07-01 01:30:30+00:00,0.0,0.0,0.0,0.0
Oasis - Connaught,173.0,25.0,35.64,2025-07-01 01:45:30+00:00,0.0,0.0,0.0,0.0
Oasis - Connaught,173.0,25.0,35.64,2025-07-01 02:00:30+00:00,0.0,0.0,0.0,0.0
Oasis - Connaught,173.0,25.0,35.64,2025-07-01 02:15:30+00:00,0.0,0.0,0.0,0.0
Oasis - Connaught,173.0,25.0,35.64,2025-07-01 02:30:30+00:00,0.0,0.0,0.0,0.0
Oasis - Connaught,173.0,25.0,35.64,2025-07-01 02:45:30+00:00,0.0,0.0,0.0,0.0
Oasis - Connaught,173.0,25.0,35.64,2025-07-01 03:00:30+00:00,0.0,0.0,0.0,0.0
Oasis - Connaught,173.0,25.0,35.64,2025-07-01 03:15:30+00:00,0.0,0.0,0.0,0.0
Oasis - Connaught,173.0,25.0,35.64,2025-07-01 03:30:30+00:00,0.0,0.0,0.0,0.0
Oasis - Connaught,173.0,25.0,35.64,2025-07-01 03:45:30+00:00,0.0,0.0,0.0,0.0
Oasis - Connaught,173.0,25.0,35.64,2025-07-01 04:00:30+00:00,0.0,0.0,0.00025,0.0
Oasis - Connaught,173.0,25.0,35.64,2025-07-01 04:15:30+00:00,0.00075,0.00025,0.0025,0.00075
Oasis - Connaught,173.0,25.0,35.64,2025-07-01 04:30:30+00:00,0.0015,0.00075,0.00575,0.0015
Oasis - Connaught,173.0,25.0,35.64,2025-07-01 04:45:30+00:00,0.00825,0.0015,0.01125,0.0105
Oasis - Connaught,173.0,25.0,35.64,2025-07-01 05:00:30+00:00,0.004,0.0015,0.01575,0.00475
Oasis - Connaught,173.0,25.0,35.64,2025-07-01 05:15:30+00:00,0.00575,0.00225,0.02275,0.006
Oasis - Connaught,173.0,25.0,35.64,2025-07-01 05:30:30+00:00,0.01675,0.00325,0.02575,0.01925
Oasis - Connaught,173.0,25.0,35.64,2025-07-01 05:45:30+00:00,0.0145,0.0035,0.03025,0.01575
Oasis - Connaught,173.0,25.0,35.64,2025-07-01 06:00:30+00:00,0.015,0.00425,0.0375,0.016
Oasis - Connaught,173.0,25.0,35.64,2025-07-01 06:15:30+00:00,0.028,0.0055,0.04375,0.03075
Oasis - Connaught,173.0,25.0,35.64,2025-07-01 06:30:30+00:00,0.0255,0.01025,0.0585,0.0275
Oasis - Connaught,173.0,25.0,35.64,2025-07-01 06:45:30+00:00,0.049,0.00975,0.067,0.0525
Oasis - Connaught,173.0,25.0,35.64,2025-07-01 07:00:30+00:00,0.039,0.01125,0.08025,0.0415
Oasis - Connaught,173.0,25.0,35.64,2025-07-01 07:15:30+00:00,0.0485,0.0145,0.0995,0.05125
Oasis - Connaught,173.0,25.0,35.64,2025-07-01 07:30:30+00:00,0.08525,0.03325,0.12375,0.0865
Oasis - Connaught,173.0,25.0,35.64,2025-07-01 07:45:30+00:00,0.104,0.05775,0.13775,0.10275
Oasis - Connaught,173.0,25.0,35.64,2025-07-01 08:00:30+00:00,0.1055,0.074,0.14525,0.104
Oasis - Connaught,173.0,25.0,35.64,2025-07-01 08:15:30+00:00,0.12225,0.094,0.15775,0.1175
Oasis - Connaught,173.0,25.0,35.64,2025-07-01 08:30:30+00:00,0.15125,0.1015,0.17775,0.1405
Oasis - Connaught,173.0,25.0,35.64,2025-07-01 08:45:30+00:00,0.16725,0.09075,0.18975,0.15375
Oasis - Connaught,173.0,25.0,35.64,2025-07-01 09:00:30+00:00,0.1435,0.0575,0.196,0.13425
Oasis - Connaught,173.0,25.0,35.64,2025-07-01 09:15:30+00:00,0.1045,0.02825,0.18825,0.10275
Oasis - Connaught,173.0,25.0,35.64,2025-07-01 09:30:30+00:00,0.08075,0.02825,0.15425,0.081
Oasis - Connaught,173.0,25.0,35.64,2025-07-01 09:45:30+00:00,0.09,0.04225,0.13075,0.0895
Oasis - Connaught,173.0,25.0,35.64,2025-07-01 10:00:30+00:00,0.08725,0.0605,0.12025,0.087
Oasis - Connaught,173.0,25.0,35.64,2025-07-01 10:15:30+00:00,0.09425,0.059,0.11475,0.09325
Oasis - Connaught,173.0,25.0,35.64,2025-07-01 10:30:30+00:00,0.07575,0.0545,0.109,0.0775
Oasis - Connaught,173.0,25.0,35.64,2025-07-01 10:45:30+00:00,0.078,0.05225,0.10825,0.07975
Oasis - Connaught,173.0,25.0,35.64,2025-07-01 11:00:30+00:00,0.08725,0.055,0.114,0.08875
Oasis - Connaught,173.0,25.0,35.64,2025-07-01 11:15:30+00:00,0.08725,0.053,0.13125,0.08875
