name,azimuth,slope,array_capacity,time,gti,gti_low,gti_high,ghi
Oasis - New Oak,139.0,32.4,32.4,2025-07-01 00:00:30+00:00,0.0,0.0,0.0,0.0
Oasis - New Oak,139.0,32.4,32.4,2025-07-01 00:15:30+00:00,0.0,0.0,0.0,0.0
Oasis - New Oak,139.0,32.4,32.4,2025-07-01 00:30:30+00:00,0.0,0.0,0.0,0.0
Oasis - New Oak,139.0,32.4,32.4,2025-07-01 00:45:30+00:00,0.0,0.0,0.0,0.0
Oasis - New Oak,139.0,32.4,32.4,2025-07-01 01:00:30+00:00,0.0,0.0,0.0,0.0
Oasis - New Oak,139.0,32.4,32.4,2025-07-01 01:15:30+00:00,0.0,0.0,0.0,0.0
Oasis - New Oak,139.0,32.4,32.4,2025-07-01 01:30:30+00:00,0.0,0.0,0.0,0.0
Oasis - New Oak,139.0,32.4,32.4,2025-07-01 01:45:30+00:00,0.0,0.0,0.0,0.0
Oasis - New Oak,139.0,32.4,32.4,2025-07-01 02:00:30+00:00,0.0,0.0,0.0,0.0
Oasis - New Oak,139.0,32.4,32.4,2025-07-01 02:15:30+00:00,0.0,0.0,0.0,0.0
Oasis - New Oak,139.0,32.4,32.4,2025-07-01 02:30:30+00:00,0.0,0.0,0.0,0.0
Oasis - New Oak,139.0,32.4,32.4,2025-07-01 02:45:30+00:00,0.0,0.0,0.0,0.0
Oasis - New Oak,139.0,32.4,32.4,2025-07-01 03:00:30+00:00,0.0,0.0,0.0,0.0
Oasis - New Oak,139.0,32.4,32.4,2025-07-01 03:15:30+00:00,0.0,0.0,0.0,0.0
Oasis - New Oak,139.0,32.4,32.4,2025-07-01 03:30:30+00:00,0.0,0.0,0.0,0.0
Oasis - New Oak,139.0,32.4,32.4,2025-07-01 03:45:30+00:00,0.0,0.0,0.0,0.0
Oasis - New Oak,139.0,32.4,32.4,2025-07-01 04:00:30+00:00,0.0,0.0,0.00025,0.0
Oasis - New Oak,139.0,32.4,32.4,2025-07-01 04:15:30+00:00,0.0005,0.00025,0.00175,0.0005
Oasis - New Oak,139.0,32.4,32.4,2025-07-01 04:30:30+00:00,0.001,0.00075,0.0035,0.001
Oasis - New Oak,139.0,32.4,32.4,2025-07-01 04:45:30+00:00,0.00975,0.002,0.0145,0.00925
Oasis - New Oak,139.0,32.4,32.4,2025-07-01 05:00:30+00:00,0.0045,0.00175,0.0175,0.0045
Oasis - New Oak,139.0,32.4,32.4,2025-07-01 05:15:30+00:00,0.006,0.00225,0.0205,0.0065
Oasis - New Oak,139.0,32.4,32.4,2025-07-01 05:30:30+00:00,0.01675,0.00325,0.02775,0.01725
Oasis - New Oak,139.0,32.4,32.4,2025-07-01 05:45:30+00:00,0.015,0.0035,0.03,0.01625
Oasis - New Oak,139.0,32.4,32.4,2025-07-01 06:00:30+00:00,0.0145,0.00425,0.03825,0.016
Oasis - New Oak,139.0,32.4,32.4,2025-07-01 06:15:30+00:00,0.03575,0.007,0.052,0.034
Oasis - New Oak,139.0,32.4,32.4,2025-07-01 06:30:30+00:00,0.0245,0.00925,0.06425,0.02525
Oasis - New Oak,139.0,32.4,32.4,2025-07-01 06:45:30+00:00,0.06275,0.0125,0.086,0.05425
Oasis - New Oak,139.0,32.4,32.4,2025-07-01 07:00:30+00:00,0.04725,0.01325,0.08975,0.04525
Oasis - New Oak,139.0,32.4,32.4,2025-07-01 07:15:30+00:00,0.04975,0.01675,0.1035,0.0485
Oasis - New Oak,139.0,32.4,32.4,2025-07-01 07:30:30+00:00,0.0965,0.03825,0.1455,0.0815
Oasis - New Oak,139.0,32.4,32.4,2025-07-01 07:45:30+00:00,0.128,0.06625,0.17025,0.10225
Oasis - New Oak,139.0,32.4,32.4,2025-07-01 08:00:30+00:00,0.1195,0.08075,0.1715,0.1005
Oasis - New Oak,139.0,32.4,32.4,2025-07-01 08:15:30+00:00,0.14175,0.10375,0.1875,0.115
Oasis - New Oak,139.0,32.4,32.4,2025-07-01 08:30:30+00:00,0.1785,0.121,0.21375,0.13825
Oasis - New Oak,139.0,32.4,32.4,2025-07-01 08:45:30+00:00,0.19725,0.10975,0.22525,0.153
Oasis - New Oak,139.0,32.4,32.4,2025-07-01 09:00:30+00:00,0.1645,0.07325,0.22225,0.1355
Oasis - New Oak,139.0,32.4,32.4,2025-07-01 09:15:30+00:00,0.127,0.0345,0.21475,0.1125
Oasis - New Oak,139.0,32.4,32.4,2025-07-01 09:30:30+00:00,0.0845,0.029,0.1695,0.082
Oasis - New Oak,139.0,32.4,32.4,2025-07-01 09:45:30+00:00,0.09675,0.03775,0.1425,0.09325
Oasis - New Oak,139.0,32.4,32.4,2025-07-01 10:00:30+00:00,0.08575,0.05425,0.1285,0.0845
Oasis - New Oak,139.0,32.4,32.4,2025-07-01 10:15:30+00:00,0.094,0.055,0.11725,0.09225
Oasis - New Oak,139.0,32.4,32.4,2025-07-01 10:30:30+00:00,0.074,0.05275,0.10925,0.0765
Oasis - New Oak,139.0,32.4,32.4,2025-07-01 10:45:30+00:00,0.07975,0.056,0.108,0.08275
Oasis - New Oak,139.0,32.4,32.4,2025-07-01 11:00:30+00:00,0.0955,0.061,0.1175,0.0955
Oasis - New Oak,139.0,32.4,32.4,2025-07-01 11:15:30+00:00,0.085,0.05325,0.126,0.0885
Oasis - New Oak,139.0,32.4,32.4,2025-07-01 11:30:30+00:00,0.09425,0.0485,0.14425,0.09525
Oasis - New Oak,139.0,32.4,32.4,2025-07-01 11:45:30+00:00,0.10775,0.05875,0.1695,0.1085
Oasis - New Oak,139.0,32.4,32.4,2025-07-01 12:00:30+00:00,0.144,0.08075,0.1845,0.14
Oasis - New Oak,139.0,32.4,32.4,2025-07-01 12:15:30+00:00,0.13925,0.10425,0.17875,0.13725
Oasis - New Oak,139.0,32.4,32.4,2025-07-01 12:30:30+00:00,0.14125,0.1135,0.1665,0.14125
Oasis - New Oak,139.0,32.4,32.4,2025-07-01 12:45:30+00:00,0.1385,0.11975,0.159,0.1405
Oasis - New Oak,139.0,32.4,32.4,2025-07-01 13:00:30+00:00,0.13775,0.10225,0.163,0.142
Oasis - New Oak,139.0,32.4,32.4,2025-07-01 13:15:30+00:00,0.121,0.08,0.17375,0.12675
Oasis - New Oak,139.0,32.4,32.4,2025-07-01 13:30:30+00:00,0.1215,0.0495,0.16975,0.1295
Oasis - New Oak,139.0,32.4,32.4,2025-07-01 13:45:30+00:00,0.0855,0.0245,0.152,0.09375
Oasis - New Oak,139.0,32.4,32.4,2025-07-01 14:00:30+00:00,0.059,0.0145,0.143,0.06575
Oasis - New Oak,139.0,32.4,32.4,2025-07-01 14:15:30+00:00,0.07875,0.01575,0.15625,0.08825
Oasis - New Oak,139.0,32.4,32.4,2025-07-01 14:30:30+00:00,0.10275,0.02975,0.17775,0.1185
Oasis - New Oak,139.0,32.4,32.4,2025-07-01 14:45:30+00:00,0.134,0.057,0.1595,0.1665
Oasis - New Oak,139.0,32.4,32.4,2025-07-01 15:00:30+00:00,0.12925,0.08325,0.14475,0.16975
Oasis - New Oak,139.0,32.4,32.4,2025-07-01 15:15:30+00:00,0.116,0.095,0.13125,0.161
Oasis - New Oak,139.0,32.4,32.4,2025-07-01 15:30:30+00:00,0.1045,0.09675,0.1115,0.15525
Oasis - New Oak,139.0,32.4,32.4,2025-07-01 15:45:30+00:00,0.0925,0.08775,0.09725,0.14775
Oasis - New Oak,139.0,32.4,32.4,2025-07-01 16:00:30+00:00,0.0805,0.07675,0.08425,0.13925
Oasis - New Oak,139.0,32.4,32.4,2025-07-01 16:15:30+00:00,0.0685,0.065,0.07225,0.1305
Oasis - New Oak,139.0,32.4,32.4,2025-07-01 16:30:30+00:00,0.05775,0.051,0.064,0.1215
Oasis - New Oak,139.0,32.4,32.4,2025-07-01 16:45:30+00:00,0.04675,0.03825,0.05175,0.1125
Oasis - New Oak,139.0,32.4,32.4,2025-07-01 17:00:30+00:00,0.04175,0.02825,0.04425,0.107
Oasis - New Oak,139.0,32.4,32.4,2025-07-01 17:15:30+00:00,0.0365,0.03075,0.04925,0.0765
Oasis - New Oak,139.0,32.4,32.4,2025-07-01 17:30:30+00:00,0.0305,0.02125,0.03475,0.0815
Oasis - New Oak,139.0,32.4,32.4,2025-07-01 17:45:30+00:00,0.026,0.0195,0.0295,0.0725
Oasis - New Oak,139.0,32.4,32.4,2025-07-01 18:00:30+00:00,0.02075,0.016,0.02475,0.06
Oasis - New Oak,139.0,32.4,32.4,2025-07-01 18:15:30+00:00,0.02025,0.0145,0.02525,0.04975
Oasis - New Oak,139.0,32.4,32.4,2025-07-01 18:30:30+00:00,0.01875,0.01225,0.026,0.0375
Oasis - New Oak,139.0,32.4,32.4,2025-07-01 18:45:30+00:00,0.01625,0.009,0.02275,0.03
Oasis - New Oak,139.0,32.4,32.4,2025-07-01 19:00:30+00:00,0.01575,0.0045,0.018,0.029
Oasis - New Oak,139.0,32.4,32.4,2025-07-01 19:15:30+00:00,0.00875,0.00225,0.018,0.012
Oasis - New Oak,139.0,32.4,32.4,2025-07-01 19:30:30+00:00,0.0045,0.001,0.013,0.005
Oasis - New Oak,139.0,32.4,32.4,2025-07-01 19:45:30+00:00,0.00275,0.0005,0.00725,0.003
Oasis - New Oak,139.0,32.4,32.4,2025-07-01 20:00:30+00:00,0.002,0.0005,0.004,0.00225
Oasis - New Oak,139.0,32.4,32.4,2025-07-01 20:15:30+00:00,0.001,0.00025,0.002,0.00125
Oasis - New Oak,139.0,32.4,32.4,2025-07-01 20:30:30+00:00,0.0,0.0,0.0,0.0
