name,azimuth,slope,array_capacity,time,gti,gti_low,gti_high,ghi
Smithys Mushrooms,148.0,25.0,224.4,2025-08-01 00:00:30+00:00,0.0,0.0,0.0,0.0
Smithys Mushrooms,148.0,25.0,224.4,2025-08-01 00:15:30+00:00,0.0,0.0,0.0,0.0
Smithys Mushrooms,148.0,25.0,224.4,2025-08-01 00:30:30+00:00,0.0,0.0,0.0,0.0
Smithys Mushrooms,148.0,25.0,224.4,2025-08-01 00:45:30+00:00,0.0,0.0,0.0,0.0
Smithys Mushrooms,148.0,25.0,224.4,2025-08-01 01:00:30+00:00,0.0,0.0,0.0,0.0
Smithys Mushrooms,148.0,25.0,224.4,2025-08-01 01:15:30+00:00,0.0,0.0,0.0,0.0
Smithys Mushrooms,148.0,25.0,224.4,2025-08-01 01:30:30+00:00,0.0,0.0,0.0,0.0
Smithys Mushrooms,148.0,25.0,224.4,2025-08-01 01:45:30+00:00,0.0,0.0,0.0,0.0
Smithys Mushrooms,148.0,25.0,224.4,2025-08-01 02:00:30+00:00,0.0,0.0,0.0,0.0
Smithys Mushrooms,148.0,25.0,224.4,2025-08-01 02:15:30+00:00,0.0,0.0,0.0,0.0
Smithys Mushrooms,148.0,25.0,224.4,2025-08-01 02:30:30+00:00,0.0,0.0,0.0,0.0
Smithys Mushrooms,148.0,25.0,224.4,2025-08-01 02:45:30+00:00,0.0,0.0,0.0,0.0
Smithys Mushrooms,148.0,25.0,224.4,2025-08-01 03:00:30+00:00,0.0,0.0,0.0,0.0
Smithys Mushrooms,148.0,25.0,224.4,2025-08-01 03:15:30+00:00,0.0,0.0,0.0,0.0
Smithys Mushrooms,148.0,25.0,224.4,2025-08-01 03:30:30+00:00,0.0,0.0,0.0,0.0
Smithys Mushrooms,148.0,25.0,224.4,2025-08-01 03:45:30+00:00,0.0,0.0,0.0,0.0
Smithys Mushrooms,148.0,25.0,224.4,2025-08-01 04:00:30+00:00,0.0,0.0,0.0,0.0
Smithys Mushrooms,148.0,25.0,224.4,2025-08-01 04:15:30+00:00,0.0,0.0,0.0,0.0
Smithys Mushrooms,148.0,25.0,224.4,2025-08-01 04:30:30+00:00,0.00025,0.0,0.00075,0.00025
Smithys Mushrooms,148.0,25.0,224.4,2025-08-01 04:45:30+00:00,0.001,0.00025,0.003,0.001
Smithys Mushrooms,148.0,25.0,224.4,2025-08-01 05:00:30+00:00,0.00225,0.00075,0.006,0.0025
Smithys Mushrooms,148.0,25.0,224.4,2025-08-01 05:15:30+00:00,0.00475,0.00125,0.011,0.005
Smithys Mushrooms,148.0,25.0,224.4,2025-08-01 05:30:30+00:00,0.00775,0.002,0.01725,0.00825
Smithys Mushrooms,148.0,25.0,224.4,2025-08-01 05:45:30+00:00,0.01175,0.0025,0.0265,0.0125
Smithys Mushrooms,148.0,25.0,224.4,2025-08-01 06:00:30+00:00,0.023,0.00575,0.0395,0.02225
Smithys Mushrooms,148.0,25.0,224.4,2025-08-01 06:15:30+00:00,0.03325,0.01625,0.05075,0.03075
Smithys Mushrooms,148.0,25.0,224.4,2025-08-01 06:30:30+00:00,0.0445,0.02525,0.05975,0.04
Smithys Mushrooms,148.0,25.0,224.4,2025-08-01 06:45:30+00:00,0.04775,0.03,0.06425,0.0435
Smithys Mushrooms,148.0,25.0,224.4,2025-08-01 07:00:30+00:00,0.048,0.027,0.0675,0.0445
Smithys Mushrooms,148.0,25.0,224.4,2025-08-01 07:15:30+00:00,0.045,0.025,0.06825,0.043
Smithys Mushrooms,148.0,25.0,224.4,2025-08-01 07:30:30+00:00,0.04675,0.02475,0.065,0.0465
Smithys Mushrooms,148.0,25.0,224.4,2025-08-01 07:45:30+00:00,0.04325,0.02675,0.06225,0.0435
Smithys Mushrooms,148.0,25.0,224.4,2025-08-01 08:00:30+00:00,0.04375,0.03175,0.06225,0.0445
Smithys Mushrooms,148.0,25.0,224.4,2025-08-01 08:15:30+00:00,0.055,0.035,0.069,0.05475
Smithys Mushrooms,148.0,25.0,224.4,2025-08-01 08:30:30+00:00,0.05625,0.03975,0.077,0.05625
Smithys Mushrooms,148.0,25.0,224.4,2025-08-01 08:45:30+00:00,0.06425,0.03925,0.091,0.0635
Smithys Mushrooms,148.0,25.0,224.4,2025-08-01 09:00:30+00:00,0.07725,0.03575,0.11925,0.073
Smithys Mushrooms,148.0,25.0,224.4,2025-08-01 09:15:30+00:00,0.089,0.01775,0.13375,0.0825
Smithys Mushrooms,148.0,25.0,224.4,2025-08-01 09:30:30+00:00,0.0545,0.01375,0.12225,0.0535
Smithys Mushrooms,148.0,25.0,224.4,2025-08-01 09:45:30+00:00,0.027,0.01325,0.0895,0.02825
Smithys Mushrooms,148.0,25.0,224.4,2025-08-01 10:00:30+00:00,0.0275,0.01375,0.077,0.029
Smithys Mushrooms,148.0,25.0,224.4,2025-08-01 10:15:30+00:00,0.03325,0.01425,0.08525,0.03475
Smithys Mushrooms,148.0,25.0,224.4,2025-08-01 10:30:30+00:00,0.03975,0.01475,0.1175,0.04125
Smithys Mushrooms,148.0,25.0,224.4,2025-08-01 10:45:30+00:00,0.07125,0.016,0.16825,0.06925
