name,azimuth,slope,array_capacity,time,gti,gti_low,gti_high,ghi
Hazelwick School,182.0,10.0,46.0,2025-09-01 00:00:30+00:00,0.0,0.0,0.0,0.0
Hazelwick School,182.0,10.0,46.0,2025-09-01 00:15:30+00:00,0.0,0.0,0.0,0.0
Hazelwick School,182.0,10.0,46.0,2025-09-01 00:30:30+00:00,0.0,0.0,0.0,0.0
Hazelwick School,182.0,10.0,46.0,2025-09-01 00:45:30+00:00,0.0,0.0,0.0,0.0
Hazelwick School,182.0,10.0,46.0,2025-09-01 01:00:30+00:00,0.0,0.0,0.0,0.0
Hazelwick School,182.0,10.0,46.0,2025-09-01 01:15:30+00:00,0.0,0.0,0.0,0.0
Hazelwick School,182.0,10.0,46.0,2025-09-01 01:30:30+00:00,0.0,0.0,0.0,0.0
Hazelwick School,182.0,10.0,46.0,2025-09-01 01:45:30+00:00,0.0,0.0,0.0,0.0
Hazelwick School,182.0,10.0,46.0,2025-09-01 02:00:30+00:00,0.0,0.0,0.0,0.0
Hazelwick School,182.0,10.0,46.0,2025-09-01 02:15:30+00:00,0.0,0.0,0.0,0.0
Hazelwick School,182.0,10.0,46.0,2025-09-01 02:30:30+00:00,0.0,0.0,0.0,0.0
Hazelwick School,182.0,10.0,46.0,2025-09-01 02:45:30+00:00,0.0,0.0,0.0,0.0
Hazelwick School,182.0,10.0,46.0,2025-09-01 03:00:30+00:00,0.0,0.0,0.0,0.0
Hazelwick School,182.0,10.0,46.0,2025-09-01 03:15:30+00:00,0.0,0.0,0.0,0.0
Hazelwick School,182.0,10.0,46.0,2025-09-01 03:30:30+00:00,0.0,0.0,0.0,0.0
Hazelwick School,182.0,10.0,46.0,2025-09-01 03:45:30+00:00,0.0,0.0,0.0,0.0
Hazelwick School,182.0,10.0,46.0,2025-09-01 04:00:30+00:00,0.0,0.0,0.0,0.0
Hazelwick School,182.0,10.0,46.0,2025-09-01 04:15:30+00:00,0.0,0.0,0.0,0.0
Hazelwick School,182.0,10.0,46.0,2025-09-01 04:30:30+00:00,0.0,0.0,0.0,0.0
Hazelwick School,182.0,10.0,46.0,2025-09-01 04:45:30+00:00,0.0,0.0,0.0,0.0
Hazelwick School,182.0,10.0,46.0,2025-09-01 05:00:30+00:00,0.0,0.0,0.0,0.0
Hazelwick School,182.0,10.0,46.0,2025-09-01 05:15:30+00:00,0.001,0.0005,0.001,0.001
Hazelwick School,182.0,10.0,46.0,2025-09-01 05:30:30+00:00,0.00425,0.00325,0.005,0.0055
Hazelwick School,182.0,10.0,46.0,2025-09-01 05:45:30+00:00,0.011,0.00775,0.01275,0.013
Hazelwick School,182.0,10.0,46.0,2025-09-01 06:00:30+00:00,0.01925,0.01425,0.0225,0.021
Hazelwick School,182.0,10.0,46.0,2025-09-01 06:15:30+00:00,0.03,0.0205,0.0335,0.031
Hazelwick School,182.0,10.0,46.0,2025-09-01 06:30:30+00:00,0.037,0.0245,0.045,0.03725
Hazelwick School,182.0,10.0,46.0,2025-09-01 06:45:30+00:00,0.05225,0.024,0.057,0.05125
Hazelwick School,182.0,10.0,46.0,2025-09-01 07:00:30+00:00,0.051,0.0135,0.0685,0.04975
Hazelwick School,182.0,10.0,46.0,2025-09-01 07:15:30+00:00,0.02925,0.0095,0.07825,0.02925
Hazelwick School,182.0,10.0,46.0,2025-09-01 07:30:30+00:00,0.0555,0.018,0.0915,0.05375
Hazelwick School,182.0,10.0,46.0,2025-09-01 07:45:30+00:00,0.09225,0.0185,0.105,0.0875
Hazelwick School,182.0,10.0,46.0,2025-09-01 08:00:30+00:00,0.03375,0.0085,0.096,0.032
Hazelwick School,182.0,10.0,46.0,2025-09-01 08:15:30+00:00,0.0075,0.00475,0.03,0.0075
Hazelwick School,182.0,10.0,46.0,2025-09-01 08:30:30+00:00,0.09525,0.019,0.122,0.08875
Hazelwick School,182.0,10.0,46.0,2025-09-01 08:45:30+00:00,0.07525,0.0185,0.14625,0.07175
Hazelwick School,182.0,10.0,46.0,2025-09-01 09:00:30+00:00,0.07925,0.01575,0.1305,0.0755
Hazelwick School,182.0,10.0,46.0,2025-09-01 09:15:30+00:00,0.0285,0.01175,0.11425,0.028
Hazelwick School,182.0,10.0,46.0,2025-09-01 09:30:30+00:00,0.02725,0.012,0.1095,0.0275
Hazelwick School,182.0,10.0,46.0,2025-09-01 09:45:30+00:00,0.14975,0.02975,0.187,0.137
Hazelwick School,182.0,10.0,46.0,2025-09-01 10:00:30+00:00,0.1535,0.07475,0.19475,0.14
Hazelwick School,182.0,10.0,46.0,2025-09-01 10:15:30+00:00,0.16575,0.08325,0.2045,0.1485
Hazelwick School,182.0,10.0,46.0,2025-09-01 10:30:30+00:00,0.16725,0.06625,0.2075,0.1515
Hazelwick School,182.0,10.0,46.0,2025-09-01 10:45:30+00:00,0.0955,0.05975,0.2055,0.0895
Hazelwick School,182.0,10.0,46.0,2025-09-01 11:00:30+00:00,0.17025,0.0415,0.21575,0.1545
Hazelwick School,182.0,10.0,46.0,2025-09-01 11:15:30+00:00,0.1245,0.02475,0.20925,0.1135
Hazelwick School,182.0,10.0,46.0,2025-09-01 11:30:30+00:00,0.04175,0.015,0.16725,0.04075
Hazelwick School,182.0,10.0,46.0,2025-09-01 11:45:30+00:00,0.073,0.01575,0.1645,0.06825
Hazelwick School,182.0,10.0,46.0,2025-09-01 12:00:30+00:00,0.08925,0.01775,0.195,0.084
Hazelwick School,182.0,10.0,46.0,2025-09-01 12:15:30+00:00,0.14375,0.03125,0.21975,0.13075
Hazelwick School,182.0,10.0,46.0,2025-09-01 12:30:30+00:00,0.14575,0.06275,0.21525,0.13425
Hazelwick School,182.0,10.0,46.0,2025-09-01 12:45:30+00:00,0.17625,0.08325,0.2195,0.15725
Hazelwick School,182.0,10.0,46.0,2025-09-01 13:00:30+00:00,0.18375,0.0745,0.21575,0.164
Hazelwick School,182.0,10.0,46.0,2025-09-01 13:15:30+00:00,0.10175,0.05125,0.20225,0.09475
Hazelwick School,182.0,10.0,46.0,2025-09-01 13:30:30+00:00,0.1035,0.0485,0.18425,0.097
Hazelwick School,182.0,10.0,46.0,2025-09-01 13:45:30+00:00,0.1485,0.0665,0.18725,0.1345
Hazelwick School,182.0,10.0,46.0,2025-09-01 14:00:30+00:00,0.12175,0.071,0.16975,0.113
Hazelwick School,182.0,10.0,46.0,2025-09-01 14:15:30+00:00,0.092,0.06425,0.1455,0.08675
Hazelwick School,182.0,10.0,46.0,2025-09-01 14:30:30+00:00,0.103,0.05875,0.13575,0.09625
Hazelwick School,182.0,10.0,46.0,2025-09-01 14:45:30+00:00,0.095,0.067,0.13125,0.08925
Hazelwick School,182.0,10.0,46.0,2025-09-01 15:00:30+00:00,0.1005,0.069,0.132,0.09375
Hazelwick School,182.0,10.0,46.0,2025-09-01 15:15:30+00:00,0.10675,0.07825,0.12675,0.098
Hazelwick School,182.0,10.0,46.0,2025-09-01 15:30:30+00:00,0.098,0.081,0.11625,0.0905
Hazelwick School,182.0,10.0,46.0,2025-09-01 15:45:30+00:00,0.091,0.08,0.102,0.08425
Hazelwick School,182.0,10.0,46.0,2025-09-01 16:00:30+00:00,0.084,0.07575,0.09075,0.078
Hazelwick School,182.0,10.0,46.0,2025-09-01 16:15:30+00:00,0.07475,0.06625,0.08325,0.06975
Hazelwick School,182.0,10.0,46.0,2025-09-01 16:30:30+00:00,0.066,0.0565,0.07625,0.0615
Hazelwick School,182.0,10.0,46.0,2025-09-01 16:45:30+00:00,0.05775,0.0475,0.069,0.054
Hazelwick School,182.0,10.0,46.0,2025-09-01 17:00:30+00:00,0.0505,0.0395,0.06,0.048
Hazelwick School,182.0,10.0,46.0,2025-09-01 17:15:30+00:00,0.04075,0.03175,0.04775,0.03925
Hazelwick School,182.0,10.0,46.0,2025-09-01 17:30:30+00:00,0.031,0.0235,0.03575,0.03075
Hazelwick School,182.0,10.0,46.0,2025-09-01 17:45:30+00:00,0.02125,0.0155,0.0245,0.02175
Hazelwick School,182.0,10.0,46.0,2025-09-01 18:00:30+00:00,0.01225,0.00875,0.0145,0.01325
Hazelwick School,182.0,10.0,46.0,2025-09-01 18:15:30+00:00,0.0055,0.0045,0.0065,0.006
Hazelwick School,182.0,10.0,46.0,2025-09-01 18:30:30+00:00,0.0025,0.00175,0.00275,0.0025
Hazelwick School,182.0,10.0,46.0,2025-09-01 18:45:30+00:00,0.0,0.0,0.0,0.0
Hazelwick School,182.0,10.0,46.0,2025-09-01 19:00:30+00:00,0.0,0.0,0.0,0.0
Hazelwick School,182.0,10.0,46.0,2025-09-01 19:15:30+00:00,0.0,0.0,0.0,0.0
Hazelwick School,182.0,10.0,46.0,2025-09-01 19:30:30+00:00,0.0,0.0,0.0,0.0
Hazelwick School,182.0,10.0,46.0,2025-09-01 19:45:30+00:00,0.0,0.0,0.0,0.0
Hazelwick School,182.0,10.0,46.0,2025-09-01 20:00:30+00:00,0.0,0.0,0.0,0.0
Hazelwick School,182.0,10.0,46.0,2025-09-01 20:15:30+00:00,0.0,0.0,0.0,0.0
Hazelwick School,182.0,10.0,46.0,2025-09-01 20:30:30+00:00,0.0,0.0,0.0,0.0
Hazelwick School,182.0,10.0,46.0,2025-09-01 20:45:30+00:00,0.0,0.0,0.0,0.0
Hazelwick School,182.0,10.0,46.0,2025-09-01 21:00:30+00:00,0.0,0.0,0.0,0.0
Hazelwick School,182.0,10.0,46.0,2025-09-01 21:15:30+00:00,0.0,0.0,0.0,0.0
Hazelwick School,182.0,10.0,46.0,2025-09-01 21:30:30+00:00,0.0,0.0,0.0,0.0
Hazelwick School,182.0,10.0,46.0,2025-09-01 21:45:30+00:00,0.0,0.0,0.0,0.0
Hazelwick School,182.0,10.0,46.0,2025-09-01 22:00:30+00:00,0.0,0.0,0.0,0.0
Hazelwick School,182.0,10.0,46.0,2025-09-01 22:15:30+00:00,0.0,0.0,0.0,0.0
Hazelwick School,182.0,10.0,46.0,2025-09-01 22:30:30+00:00,0.0,0.0,0.0,0.0
Hazelwick School,182.0,10.0,46.0,2025-09-01 22:45:30+00:00,0.0,0.0,0.0,0.0
Hazelwick School,182.0,10.0,46.0,2025-09-01 23:00:30+00:00,0.0,0.0,0.0,0.0
Hazelwick School,182.0,10.0,46.0,2025-09-01 23:15:30+00:00,0.0,0.0,0.0,0.0
Hazelwick School,182.0,10.0,46.0,2025-09-01 23:30:30+00:00,0.0,0.0,0.0,0.0
Hazelwick School,182.0,10.0,46.0,2025-09-01 23:45:30+00:00,0.0,0.0,0.0,0.0
Hazelwick School,182.0,10.0,46.0,2025-09-02 00:00:30+00:00,0.0,0.0,0.0,0.0
