name,azimuth,slope,array_capacity,time,gti,gti_low,gti_high,ghi
Oasis - Isle of Sheppey East,185.0,15.0,99.36,2025-09-01 00:00:30+00:00,0.0,0.0,0.0,0.0
Oasis - Isle of Sheppey East,185.0,15.0,99.36,2025-09-01 00:15:30+00:00,0.0,0.0,0.0,0.0
Oasis - Isle of Sheppey East,185.0,15.0,99.36,2025-09-01 00:30:30+00:00,0.0,0.0,0.0,0.0
Oasis - Isle of Sheppey East,185.0,15.0,99.36,2025-09-01 00:45:30+00:00,0.0,0.0,0.0,0.0
Oasis - Isle of Sheppey East,185.0,15.0,99.36,2025-09-01 01:00:30+00:00,0.0,0.0,0.0,0.0
Oasis - Isle of Sheppey East,185.0,15.0,99.36,2025-09-01 01:15:30+00:00,0.0,0.0,0.0,0.0
Oasis - Isle of Sheppey East,185.0,15.0,99.36,2025-09-01 01:30:30+00:00,0.0,0.0,0.0,0.0
Oasis - Isle of Sheppey East,185.0,15.0,99.36,2025-09-01 01:45:30+00:00,0.0,0.0,0.0,0.0
Oasis - Isle of Sheppey East,185.0,15.0,99.36,2025-09-01 02:00:30+00:00,0.0,0.0,0.0,0.0
Oasis - Isle of Sheppey East,185.0,15.0,99.36,2025-09-01 02:15:30+00:00,0.0,0.0,0.0,0.0
Oasis - Isle of Sheppey East,185.0,15.0,99.36,2025-09-01 02:30:30+00:00,0.0,0.0,0.0,0.0
Oasis - Isle of Sheppey East,185.0,15.0,99.36,2025-09-01 02:45:30+00:00,0.0,0.0,0.0,0.0
Oasis - Isle of Sheppey East,185.0,15.0,99.36,2025-09-01 03:00:30+00:00,0.0,0.0,0.0,0.0
Oasis - Isle of Sheppey East,185.0,15.0,99.36,2025-09-01 03:15:30+00:00,0.0,0.0,0.0,0.0
Oasis - Isle of Sheppey East,185.0,15.0,99.36,2025-09-01 03:30:30+00:00,0.0,0.0,0.0,0.0
Oasis - Isle of Sheppey East,185.0,15.0,99.36,2025-09-01 03:45:30+00:00,0.0,0.0,0.0,0.0
Oasis - Isle of Sheppey East,185.0,15.0,99.36,2025-09-01 04:00:30+00:00,0.0,0.0,0.0,0.0
Oasis - Isle of Sheppey East,185.0,15.0,99.36,2025-09-01 04:15:30+00:00,0.0,0.0,0.0,0.0
Oasis - Isle of Sheppey East,185.0,15.0,99.36,2025-09-01 04:30:30+00:00,0.0,0.0,0.0,0.0
Oasis - Isle of Sheppey East,185.0,15.0,99.36,2025-09-01 04:45:30+00:00,0.0,0.0,0.0,0.0
Oasis - Isle of Sheppey East,185.0,15.0,99.36,2025-09-01 05:00:30+00:00,0.0,0.0,0.0,0.0
Oasis - Isle of Sheppey East,185.0,15.0,99.36,2025-09-01 05:15:30+00:00,0.00225,0.002,0.0025,0.00225
Oasis - Isle of Sheppey East,185.0,15.0,99.36,2025-09-01 05:30:30+00:00,0.00425,0.00325,0.005,0.0075
Oasis - Isle of Sheppey East,185.0,15.0,99.36,2025-09-01 05:45:30+00:00,0.01075,0.00775,0.01225,0.0155
Oasis - Isle of Sheppey East,185.0,15.0,99.36,2025-09-01 06:00:30+00:00,0.01975,0.015,0.02225,0.024
Oasis - Isle of Sheppey East,185.0,15.0,99.36,2025-09-01 06:15:30+00:00,0.02975,0.0235,0.0335,0.03325
Oasis - Isle of Sheppey East,185.0,15.0,99.36,2025-09-01 06:30:30+00:00,0.04075,0.0335,0.04575,0.04275
Oasis - Isle of Sheppey East,185.0,15.0,99.36,2025-09-01 06:45:30+00:00,0.05225,0.0445,0.0585,0.05225
Oasis - Isle of Sheppey East,185.0,15.0,99.36,2025-09-01 07:00:30+00:00,0.06375,0.0565,0.0715,0.062
Oasis - Isle of Sheppey East,185.0,15.0,99.36,2025-09-01 07:15:30+00:00,0.07575,0.069,0.08275,0.07175
Oasis - Isle of Sheppey East,185.0,15.0,99.36,2025-09-01 07:30:30+00:00,0.088,0.079,0.09625,0.0815
Oasis - Isle of Sheppey East,185.0,15.0,99.36,2025-09-01 07:45:30+00:00,0.09925,0.08575,0.11125,0.0905
Oasis - Isle of Sheppey East,185.0,15.0,99.36,2025-09-01 08:00:30+00:00,0.11025,0.08725,0.124,0.0995
Oasis - Isle of Sheppey East,185.0,15.0,99.36,2025-09-01 08:15:30+00:00,0.10875,0.0865,0.13225,0.0985
Oasis - Isle of Sheppey East,185.0,15.0,99.36,2025-09-01 08:30:30+00:00,0.11,0.09425,0.13925,0.099
Oasis - Isle of Sheppey East,185.0,15.0,99.36,2025-09-01 08:45:30+00:00,0.1325,0.1025,0.14975,0.11775
Oasis - Isle of Sheppey East,185.0,15.0,99.36,2025-09-01 09:00:30+00:00,0.13475,0.10825,0.1575,0.1195
Oasis - Isle of Sheppey East,185.0,15.0,99.36,2025-09-01 09:15:30+00:00,0.12925,0.11325,0.167,0.11575
Oasis - Isle of Sheppey East,185.0,15.0,99.36,2025-09-01 09:30:30+00:00,0.16225,0.121,0.18675,0.1415
Oasis - Isle of Sheppey East,185.0,15.0,99.36,2025-09-01 09:45:30+00:00,0.1675,0.11775,0.198,0.145
Oasis - Isle of Sheppey East,185.0,15.0,99.36,2025-09-01 10:00:30+00:00,0.17325,0.11125,0.206,0.1495
Oasis - Isle of Sheppey East,185.0,15.0,99.36,2025-09-01 10:15:30+00:00,0.19475,0.082,0.2115,0.16875
Oasis - Isle of Sheppey East,185.0,15.0,99.36,2025-09-01 10:30:30+00:00,0.1165,0.06625,0.20675,0.10575
Oasis - Isle of Sheppey East,185.0,15.0,99.36,2025-09-01 10:45:30+00:00,0.13825,0.053,0.217,0.122
Oasis - Isle of Sheppey East,185.0,15.0,99.36,2025-09-01 11:00:30+00:00,0.159,0.0605,0.222,0.1395
Oasis - Isle of Sheppey East,185.0,15.0,99.36,2025-09-01 11:15:30+00:00,0.158,0.03325,0.2245,0.13875
Oasis - Isle of Sheppey East,185.0,15.0,99.36,2025-09-01 11:30:30+00:00,0.06975,0.01575,0.18425,0.06475
Oasis - Isle of Sheppey East,185.0,15.0,99.36,2025-09-01 11:45:30+00:00,0.04425,0.0145,0.15225,0.0445
Oasis - Isle of Sheppey East,185.0,15.0,99.36,2025-09-01 12:00:30+00:00,0.08875,0.01775,0.1855,0.084
Oasis - Isle of Sheppey East,185.0,15.0,99.36,2025-09-01 12:15:30+00:00,0.15325,0.0455,0.2275,0.1335
Oasis - Isle of Sheppey East,185.0,15.0,99.36,2025-09-01 12:30:30+00:00,0.19225,0.08375,0.23275,0.162
Oasis - Isle of Sheppey East,185.0,15.0,99.36,2025-09-01 12:45:30+00:00,0.2005,0.10425,0.2325,0.16675
Oasis - Isle of Sheppey East,185.0,15.0,99.36,2025-09-01 13:00:30+00:00,0.202,0.07925,0.225,0.17075
Oasis - Isle of Sheppey East,185.0,15.0,99.36,2025-09-01 13:15:30+00:00,0.10875,0.0595,0.20675,0.09775
Oasis - Isle of Sheppey East,185.0,15.0,99.36,2025-09-01 13:30:30+00:00,0.14725,0.02925,0.19875,0.12875
Oasis - Isle of Sheppey East,185.0,15.0,99.36,2025-09-01 13:45:30+00:00,0.0585,0.02125,0.18925,0.054
Oasis - Isle of Sheppey East,185.0,15.0,99.36,2025-09-01 14:00:30+00:00,0.122,0.02775,0.19275,0.10675
Oasis - Isle of Sheppey East,185.0,15.0,99.36,2025-09-01 14:15:30+00:00,0.15875,0.07325,0.19025,0.13475
Oasis - Isle of Sheppey East,185.0,15.0,99.36,2025-09-01 14:30:30+00:00,0.1525,0.10675,0.182,0.129
Oasis - Isle of Sheppey East,185.0,15.0,99.36,2025-09-01 14:45:30+00:00,0.1485,0.12525,0.1685,0.1245
Oasis - Isle of Sheppey East,185.0,15.0,99.36,2025-09-01 15:00:30+00:00,0.1365,0.12775,0.14675,0.11575
Oasis - Isle of Sheppey East,185.0,15.0,99.36,2025-09-01 15:15:30+00:00,0.12775,0.118,0.1375,0.10875
Oasis - Isle of Sheppey East,185.0,15.0,99.36,2025-09-01 15:30:30+00:00,0.11975,0.11075,0.12975,0.10125
Oasis - Isle of Sheppey East,185.0,15.0,99.36,2025-09-01 15:45:30+00:00,0.11225,0.10225,0.119,0.095
Oasis - Isle of Sheppey East,185.0,15.0,99.36,2025-09-01 16:00:30+00:00,0.0995,0.0925,0.108,0.085
Oasis - Isle of Sheppey East,185.0,15.0,99.36,2025-09-01 16:15:30+00:00,0.089,0.08075,0.09675,0.0765
Oasis - Isle of Sheppey East,185.0,15.0,99.36,2025-09-01 16:30:30+00:00,0.0775,0.069,0.086,0.06725
Oasis - Isle of Sheppey East,185.0,15.0,99.36,2025-09-01 16:45:30+00:00,0.06575,0.05675,0.07375,0.05775
Oasis - Isle of Sheppey East,185.0,15.0,99.36,2025-09-01 17:00:30+00:00,0.05375,0.045,0.0605,0.048
Oasis - Isle of Sheppey East,185.0,15.0,99.36,2025-09-01 17:15:30+00:00,0.042,0.034,0.0475,0.0385
Oasis - Isle of Sheppey East,185.0,15.0,99.36,2025-09-01 17:30:30+00:00,0.03075,0.02375,0.035,0.029
