name,azimuth,slope,array_capacity,time,gti,gti_low,gti_high,ghi
Oasis - John Williams,279.0,2.0,49.53,2025-09-01 00:00:30+00:00,0.0,0.0,0.0,0.0
Oasis - John Williams,279.0,2.0,49.53,2025-09-01 00:15:30+00:00,0.0,0.0,0.0,0.0
Oasis - John Williams,279.0,2.0,49.53,2025-09-01 00:30:30+00:00,0.0,0.0,0.0,0.0
Oasis - John Williams,279.0,2.0,49.53,2025-09-01 00:45:30+00:00,0.0,0.0,0.0,0.0
Oasis - John Williams,279.0,2.0,49.53,2025-09-01 01:00:30+00:00,0.0,0.0,0.0,0.0
Oasis - John Williams,279.0,2.0,49.53,2025-09-01 01:15:30+00:00,0.0,0.0,0.0,0.0
Oasis - John Williams,279.0,2.0,49.53,2025-09-01 01:30:30+00:00,0.0,0.0,0.0,0.0
Oasis - John Williams,279.0,2.0,49.53,2025-09-01 01:45:30+00:00,0.0,0.0,0.0,0.0
Oasis - John Williams,279.0,2.0,49.53,2025-09-01 02:00:30+00:00,0.0,0.0,0.0,0.0
Oasis - John Williams,279.0,2.0,49.53,2025-09-01 02:15:30+00:00,0.0,0.0,0.0,0.0
Oasis - John Williams,279.0,2.0,49.53,2025-09-01 02:30:30+00:00,0.0,0.0,0.0,0.0
Oasis - John Williams,279.0,2.0,49.53,2025-09-01 02:45:30+00:00,0.0,0.0,0.0,0.0
Oasis - John Williams,279.0,2.0,49.53,2025-09-01 03:00:30+00:00,0.0,0.0,0.0,0.0
Oasis - John Williams,279.0,2.0,49.53,2025-09-01 03:15:30+00:00,0.0,0.0,0.0,0.0
Oasis - John Williams,279.0,2.0,49.53,2025-09-01 03:30:30+00:00,0.0,0.0,0.0,0.0
Oasis - John Williams,279.0,2.0,49.53,2025-09-01 03:45:30+00:00,0.0,0.0,0.0,0.0
Oasis - John Williams,279.0,2.0,49.53,2025-09-01 04:00:30+00:00,0.0,0.0,0.0,0.0
Oasis - John Williams,279.0,2.0,49.53,2025-09-01 04:15:30+00:00,0.0,0.0,0.0,0.0
Oasis - John Williams,279.0,2.0,49.53,2025-09-01 04:30:30+00:00,0.0,0.0,0.0,0.0
Oasis - John Williams,279.0,2.0,49.53,2025-09-01 04:45:30+00:00,0.0,0.0,0.0,0.0
Oasis - John Williams,279.0,2.0,49.53,2025-09-01 05:00:30+00:00,0.0,0.0,0.0,0.0
Oasis - John Williams,279.0,2.0,49.53,2025-09-01 05:15:30+00:00,0.0,0.0,0.0,0.0
Oasis - John Williams,279.0,2.0,49.53,2025-09-01 05:30:30+00:00,0.00175,0.00125,0.00325,0.00175
Oasis - John Williams,279.0,2.0,49.53,2025-09-01 05:45:30+00:00,0.0055,0.003,0.00875,0.0055
