name,azimuth,slope,array_capacity,time,gti,gti_low,gti_high,ghi
Oasis - Pinewood,177.0,10.0,14.31,2025-09-01 00:00:30+00:00,0.0,0.0,0.0,0.0
Oasis - Pinewood,177.0,10.0,14.31,2025-09-01 00:15:30+00:00,0.0,0.0,0.0,0.0
Oasis - Pinewood,177.0,10.0,14.31,2025-09-01 00:30:30+00:00,0.0,0.0,0.0,0.0
Oasis - Pinewood,177.0,10.0,14.31,2025-09-01 00:45:30+00:00,0.0,0.0,0.0,0.0
Oasis - Pinewood,177.0,10.0,14.31,2025-09-01 01:00:30+00:00,0.0,0.0,0.0,0.0
Oasis - Pinewood,177.0,10.0,14.31,2025-09-01 01:15:30+00:00,0.0,0.0,0.0,0.0
Oasis - Pinewood,177.0,10.0,14.31,2025-09-01 01:30:30+00:00,0.0,0.0,0.0,0.0
Oasis - Pinewood,177.0,10.0,14.31,2025-09-01 01:45:30+00:00,0.0,0.0,0.0,0.0
Oasis - Pinewood,177.0,10.0,14.31,2025-09-01 02:00:30+00:00,0.0,0.0,0.0,0.0
Oasis - Pinewood,177.0,10.0,14.31,2025-09-01 02:15:30+00:00,0.0,0.0,0.0,0.0
Oasis - Pinewood,177.0,10.0,14.31,2025-09-01 02:30:30+00:00,0.0,0.0,0.0,0.0
Oasis - Pinewood,177.0,10.0,14.31,2025-09-01 02:45:30+00:00,0.0,0.0,0.0,0.0
Oasis - Pinewood,177.0,10.0,14.31,2025-09-01 03:00:30+00:00,0.0,0.0,0.0,0.0
Oasis - Pinewood,177.0,10.0,14.31,2025-09-01 03:15:30+00:00,0.0,0.0,0.0,0.0
Oasis - Pinewood,177.0,10.0,14.31,2025-09-01 03:30:30+00:00,0.0,0.0,0.0,0.0
Oasis - Pinewood,177.0,10.0,14.31,2025-09-01 03:45:30+00:00,0.0,0.0,0.0,0.0
Oasis - Pinewood,177.0,10.0,14.31,2025-09-01 04:00:30+00:00,0.0,0.0,0.0,0.0
Oasis - Pinewood,177.0,10.0,14.31,2025-09-01 04:15:30+00:00,0.0,0.0,0.0,0.0
Oasis - Pinewood,177.0,10.0,14.31,2025-09-01 04:30:30+00:00,0.0,0.0,0.0,0.0
Oasis - Pinewood,177.0,10.0,14.31,2025-09-01 04:45:30+00:00,0.0,0.0,0.0,0.0
Oasis - Pinewood,177.0,10.0,14.31,2025-09-01 05:00:30+00:00,0.0,0.0,0.0,0.0
Oasis - Pinewood,177.0,10.0,14.31,2025-09-01 05:15:30+00:00,0.0015,0.001,0.0015,0.0015
Oasis - Pinewood,177.0,10.0,14.31,2025-09-01 05:30:30+00:00,0.0055,0.00425,0.0065,0.0065
Oasis - Pinewood,177.0,10.0,14.31,2025-09-01 05:45:30+00:00,0.013,0.0095,0.015,0.014
Oasis - Pinewood,177.0,10.0,14.31,2025-09-01 06:00:30+00:00,0.0225,0.01675,0.02525,0.02275
Oasis - Pinewood,177.0,10.0,14.31,2025-09-01 06:15:30+00:00,0.0325,0.02575,0.03675,0.03175
Oasis - Pinewood,177.0,10.0,14.31,2025-09-01 06:30:30+00:00,0.0435,0.0355,0.0485,0.04125
Oasis - Pinewood,177.0,10.0,14.31,2025-09-01 06:45:30+00:00,0.0545,0.046,0.061,0.051
Oasis - Pinewood,177.0,10.0,14.31,2025-09-01 07:00:30+00:00,0.06575,0.055,0.0735,0.0605
Oasis - Pinewood,177.0,10.0,14.31,2025-09-01 07:15:30+00:00,0.07625,0.06325,0.086,0.0695
Oasis - Pinewood,177.0,10.0,14.31,2025-09-01 07:30:30+00:00,0.085,0.06775,0.097,0.07775
