name,azimuth,slope,array_capacity,time,gti,gti_low,gti_high,ghi
Sofina Haverhill,148.0,20.0,589.31,2025-09-01 00:00:30+00:00,0.0,0.0,0.0,0.0
Sofina Haverhill,148.0,20.0,589.31,2025-09-01 00:15:30+00:00,0.0,0.0,0.0,0.0
Sofina Haverhill,148.0,20.0,589.31,2025-09-01 00:30:30+00:00,0.0,0.0,0.0,0.0
Sofina Haverhill,148.0,20.0,589.31,2025-09-01 00:45:30+00:00,0.0,0.0,0.0,0.0
Sofina Haverhill,148.0,20.0,589.31,2025-09-01 01:00:30+00:00,0.0,0.0,0.0,0.0
Sofina Haverhill,148.0,20.0,589.31,2025-09-01 01:15:30+00:00,0.0,0.0,0.0,0.0
Sofina Haverhill,148.0,20.0,589.31,2025-09-01 01:30:30+00:00,0.0,0.0,0.0,0.0
Sofina Haverhill,148.0,20.0,589.31,2025-09-01 01:45:30+00:00,0.0,0.0,0.0,0.0
Sofina Haverhill,148.0,20.0,589.31,2025-09-01 02:00:30+00:00,0.0,0.0,0.0,0.0
Sofina Haverhill,148.0,20.0,589.31,2025-09-01 02:15:30+00:00,0.0,0.0,0.0,0.0
Sofina Haverhill,148.0,20.0,589.31,2025-09-01 02:30:30+00:00,0.0,0.0,0.0,0.0
Sofina Haverhill,148.0,20.0,589.31,2025-09-01 02:45:30+00:00,0.0,0.0,0.0,0.0
Sofina Haverhill,148.0,20.0,589.31,2025-09-01 03:00:30+00:00,0.0,0.0,0.0,0.0
Sofina Haverhill,148.0,20.0,589.31,2025-09-01 03:15:30+00:00,0.0,0.0,0.0,0.0
Sofina Haverhill,148.0,20.0,589.31,2025-09-01 03:30:30+00:00,0.0,0.0,0.0,0.0
Sofina Haverhill,148.0,20.0,589.31,2025-09-01 03:45:30+00:00,0.0,0.0,0.0,0.0
Sofina Haverhill,148.0,20.0,589.31,2025-09-01 04:00:30+00:00,0.0,0.0,0.0,0.0
Sofina Haverhill,148.0,20.0,589.31,2025-09-01 04:15:30+00:00,0.0,0.0,0.0,0.0
Sofina Haverhill,148.0,20.0,589.31,2025-09-01 04:30:30+00:00,0.0,0.0,0.0,0.0
Sofina Haverhill,148.0,20.0,589.31,2025-09-01 04:45:30+00:00,0.0,0.0,0.0,0.0
Sofina Haverhill,148.0,20.0,589.31,2025-09-01 05:00:30+00:00,0.0,0.0,0.0,0.0
Sofina Haverhill,148.0,20.0,589.31,2025-09-01 05:15:30+00:00,0.00225,0.002,0.0025,0.00225
Sofina Haverhill,148.0,20.0,589.31,2025-09-01 05:30:30+00:00,0.014,0.01075,0.0165,0.00725
Sofina Haverhill,148.0,20.0,589.31,2025-09-01 05:45:30+00:00,0.02875,0.021,0.03275,0.015
Sofina Haverhill,148.0,20.0,589.31,2025-09-01 06:00:30+00:00,0.0425,0.032,0.0475,0.02375
Sofina Haverhill,148.0,20.0,589.31,2025-09-01 06:15:30+00:00,0.056,0.04425,0.06225,0.03275
Sofina Haverhill,148.0,20.0,589.31,2025-09-01 06:30:30+00:00,0.06925,0.057,0.077,0.04225
Sofina Haverhill,148.0,20.0,589.31,2025-09-01 06:45:30+00:00,0.0825,0.07025,0.09175,0.05175
Sofina Haverhill,148.0,20.0,589.31,2025-09-01 07:00:30+00:00,0.0955,0.08375,0.10625,0.0615
Sofina Haverhill,148.0,20.0,589.31,2025-09-01 07:15:30+00:00,0.10825,0.09625,0.12025,0.071
Sofina Haverhill,148.0,20.0,589.31,2025-09-01 07:30:30+00:00,0.1205,0.10725,0.13225,0.0805
Sofina Haverhill,148.0,20.0,589.31,2025-09-01 07:45:30+00:00,0.1295,0.1095,0.14625,0.0885
Sofina Haverhill,148.0,20.0,589.31,2025-09-01 08:00:30+00:00,0.1305,0.1105,0.1545,0.09275
Sofina Haverhill,148.0,20.0,589.31,2025-09-01 08:15:30+00:00,0.14275,0.106,0.16375,0.1035
Sofina Haverhill,148.0,20.0,589.31,2025-09-01 08:30:30+00:00,0.12475,0.10375,0.16275,0.09675
Sofina Haverhill,148.0,20.0,589.31,2025-09-01 08:45:30+00:00,0.14175,0.1025,0.166,0.10975
Sofina Haverhill,148.0,20.0,589.31,2025-09-01 09:00:30+00:00,0.132,0.09175,0.18,0.10525
Sofina Haverhill,148.0,20.0,589.31,2025-09-01 09:15:30+00:00,0.13625,0.08175,0.18525,0.1095
Sofina Haverhill,148.0,20.0,589.31,2025-09-01 09:30:30+00:00,0.1265,0.05625,0.1785,0.106
