name,azimuth,slope,array_capacity,time,gti,gti_low,gti_high,ghi
BAE Fylde,180.0,18.0,391.23,2025-11-01 00:00:30+00:00,0.0,0.0,0.0,0.0
BAE Fylde,180.0,18.0,391.23,2025-11-01 00:15:30+00:00,0.0,0.0,0.0,0.0
BAE Fylde,180.0,18.0,391.23,2025-11-01 00:30:30+00:00,0.0,0.0,0.0,0.0
BAE Fylde,180.0,18.0,391.23,2025-11-01 00:45:30+00:00,0.0,0.0,0.0,0.0
BAE Fylde,180.0,18.0,391.23,2025-11-01 01:00:30+00:00,0.0,0.0,0.0,0.0
BAE Fylde,180.0,18.0,391.23,2025-11-01 01:15:30+00:00,0.0,0.0,0.0,0.0
BAE Fylde,180.0,18.0,391.23,2025-11-01 01:30:30+00:00,0.0,0.0,0.0,0.0
BAE Fylde,180.0,18.0,391.23,2025-11-01 01:45:30+00:00,0.0,0.0,0.0,0.0
BAE Fylde,180.0,18.0,391.23,2025-11-01 02:00:30+00:00,0.0,0.0,0.0,0.0
BAE Fylde,180.0,18.0,391.23,2025-11-01 02:15:30+00:00,0.0,0.0,0.0,0.0
BAE Fylde,180.0,18.0,391.23,2025-11-01 02:30:30+00:00,0.0,0.0,0.0,0.0
BAE Fylde,180.0,18.0,391.23,2025-11-01 02:45:30+00:00,0.0,0.0,0.0,0.0
BAE Fylde,180.0,18.0,391.23,2025-11-01 03:00:30+00:00,0.0,0.0,0.0,0.0
BAE Fylde,180.0,18.0,391.23,2025-11-01 03:15:30+00:00,0.0,0.0,0.0,0.0
BAE Fylde,180.0,18.0,391.23,2025-11-01 03:30:30+00:00,0.0,0.0,0.0,0.0
BAE Fylde,180.0,18.0,391.23,2025-11-01 03:45:30+00:00,0.0,0.0,0.0,0.0
BAE Fylde,180.0,18.0,391.23,2025-11-01 04:00:30+00:00,0.0,0.0,0.0,0.0
BAE Fylde,180.0,18.0,391.23,2025-11-01 04:15:30+00:00,0.0,0.0,0.0,0.0
BAE Fylde,180.0,18.0,391.23,2025-11-01 04:30:30+00:00,0.0,0.0,0.0,0.0
BAE Fylde,180.0,18.0,391.23,2025-11-01 04:45:30+00:00,0.0,0.0,0.0,0.0
BAE Fylde,180.0,18.0,391.23,2025-11-01 05:00:30+00:00,0.0,0.0,0.0,0.0
BAE Fylde,180.0,18.0,391.23,2025-11-01 05:15:30+00:00,0.0,0.0,0.0,0.0
BAE Fylde,180.0,18.0,391.23,2025-11-01 05:30:30+00:00,0.0,0.0,0.0,0.0
BAE Fylde,180.0,18.0,391.23,2025-11-01 05:45:30+00:00,0.0,0.0,0.0,0.0
BAE Fylde,180.0,18.0,391.23,2025-11-01 06:00:30+00:00,0.0,0.0,0.0,0.0
BAE Fylde,180.0,18.0,391.23,2025-11-01 06:15:30+00:00,0.0,0.0,0.0,0.0
BAE Fylde,180.0,18.0,391.23,2025-11-01 06:30:30+00:00,0.0,0.0,0.0,0.0
BAE Fylde,180.0,18.0,391.23,2025-11-01 06:45:30+00:00,0.0,0.0,0.0,0.0
BAE Fylde,180.0,18.0,391.23,2025-11-01 07:00:30+00:00,0.0,0.0,0.0,0.0
BAE Fylde,180.0,18.0,391.23,2025-11-01 07:15:30+00:00,0.00075,0.00075,0.00125,0.00075
BAE Fylde,180.0,18.0,391.23,2025-11-01 07:30:30+00:00,0.00575,0.00325,0.009,0.004
BAE Fylde,180.0,18.0,391.23,2025-11-01 07:45:30+00:00,0.01375,0.00725,0.0195,0.0085
BAE Fylde,180.0,18.0,391.23,2025-11-01 08:00:30+00:00,0.01875,0.00925,0.0285,0.0125
BAE Fylde,180.0,18.0,391.23,2025-11-01 08:15:30+00:00,0.0245,0.01225,0.038,0.017
BAE Fylde,180.0,18.0,391.23,2025-11-01 08:30:30+00:00,0.03225,0.0085,0.0465,0.02225
BAE Fylde,180.0,18.0,391.23,2025-11-01 08:45:30+00:00,0.02025,0.004,0.0435,0.01775
BAE Fylde,180.0,18.0,391.23,2025-11-01 09:00:30+00:00,0.02375,0.00475,0.04275,0.02125
BAE Fylde,180.0,18.0,391.23,2025-11-01 09:15:30+00:00,0.016,0.0045,0.0375,0.016
BAE Fylde,180.0,18.0,391.23,2025-11-01 09:30:30+00:00,0.012,0.0045,0.0325,0.0125
BAE Fylde,180.0,18.0,391.23,2025-11-01 09:45:30+00:00,0.0135,0.005,0.03825,0.014
BAE Fylde,180.0,18.0,391.23,2025-11-01 10:00:30+00:00,0.02825,0.006,0.058,0.02625
BAE Fylde,180.0,18.0,391.23,2025-11-01 10:15:30+00:00,0.042,0.0085,0.0755,0.03675
BAE Fylde,180.0,18.0,391.23,2025-11-01 10:30:30+00:00,0.0465,0.01525,0.09125,0.04
BAE Fylde,180.0,18.0,391.23,2025-11-01 10:45:30+00:00,0.08425,0.02975,0.11325,0.06025
BAE Fylde,180.0,18.0,391.23,2025-11-01 11:00:30+00:00,0.0685,0.04575,0.112,0.05275
BAE Fylde,180.0,18.0,391.23,2025-11-01 11:15:30+00:00,0.099,0.055,0.119,0.06925
BAE Fylde,180.0,18.0,391.23,2025-11-01 11:30:30+00:00,0.0805,0.048,0.12075,0.06025
BAE Fylde,180.0,18.0,391.23,2025-11-01 11:45:30+00:00,0.07925,0.036,0.127,0.05975
BAE Fylde,180.0,18.0,391.23,2025-11-01 12:00:30+00:00,0.0885,0.0175,0.125,0.06575
BAE Fylde,180.0,18.0,391.23,2025-11-01 12:15:30+00:00,0.029,0.00825,0.09725,0.02425
BAE Fylde,180.0,18.0,391.23,2025-11-01 12:30:30+00:00,0.029,0.00725,0.06675,0.02675
BAE Fylde,180.0,18.0,391.23,2025-11-01 12:45:30+00:00,0.01625,0.00675,0.06525,0.016
BAE Fylde,180.0,18.0,391.23,2025-11-01 13:00:30+00:00,0.055,0.011,0.0795,0.04325
BAE Fylde,180.0,18.0,391.23,2025-11-01 13:15:30+00:00,0.03925,0.01025,0.07525,0.0335
BAE Fylde,180.0,18.0,391.23,2025-11-01 13:30:30+00:00,0.03675,0.00725,0.05875,0.03225
BAE Fylde,180.0,18.0,391.23,2025-11-01 13:45:30+00:00,0.02025,0.0055,0.04925,0.01975
BAE Fylde,180.0,18.0,391.23,2025-11-01 14:00:30+00:00,0.022,0.005,0.04525,0.0215
BAE Fylde,180.0,18.0,391.23,2025-11-01 14:15:30+00:00,0.015,0.0045,0.0525,0.0155
BAE Fylde,180.0,18.0,391.23,2025-11-01 14:30:30+00:00,0.0555,0.011,0.07375,0.038
BAE Fylde,180.0,18.0,391.23,2025-11-01 14:45:30+00:00,0.02675,0.00525,0.058,0.02125
BAE Fylde,180.0,18.0,391.23,2025-11-01 15:00:30+00:00,0.01025,0.00275,0.02975,0.01075
BAE Fylde,180.0,18.0,391.23,2025-11-01 15:15:30+00:00,0.00875,0.0025,0.02225,0.008
BAE Fylde,180.0,18.0,391.23,2025-11-01 15:30:30+00:00,0.00475,0.00175,0.01375,0.0045
