name,azimuth,slope,array_capacity,time,gti,gti_low,gti_high,ghi
Bannatynes Colchester Kingsford Park,204.0,28.0,40.94,2025-11-19 00:00:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Colchester Kingsford Park,204.0,28.0,40.94,2025-11-19 00:15:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Colchester Kingsford Park,204.0,28.0,40.94,2025-11-19 00:30:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Colchester Kingsford Park,204.0,28.0,40.94,2025-11-19 00:45:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Colchester Kingsford Park,204.0,28.0,40.94,2025-11-19 01:00:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Colchester Kingsford Park,204.0,28.0,40.94,2025-11-19 01:15:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Colchester Kingsford Park,204.0,28.0,40.94,2025-11-19 01:30:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Colchester Kingsford Park,204.0,28.0,40.94,2025-11-19 01:45:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Colchester Kingsford Park,204.0,28.0,40.94,2025-11-19 02:00:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Colchester Kingsford Park,204.0,28.0,40.94,2025-11-19 02:15:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Colchester Kingsford Park,204.0,28.0,40.94,2025-11-19 02:30:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Colchester Kingsford Park,204.0,28.0,40.94,2025-11-19 02:45:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Colchester Kingsford Park,204.0,28.0,40.94,2025-11-19 03:00:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Colchester Kingsford Park,204.0,28.0,40.94,2025-11-19 03:15:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Colchester Kingsford Park,204.0,28.0,40.94,2025-11-19 03:30:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Colchester Kingsford Park,204.0,28.0,40.94,2025-11-19 03:45:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Colchester Kingsford Park,204.0,28.0,40.94,2025-11-19 04:00:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Colchester Kingsford Park,204.0,28.0,40.94,2025-11-19 04:15:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Colchester Kingsford Park,204.0,28.0,40.94,2025-11-19 04:30:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Colchester Kingsford Park,204.0,28.0,40.94,2025-11-19 04:45:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Colchester Kingsford Park,204.0,28.0,40.94,2025-11-19 05:00:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Colchester Kingsford Park,204.0,28.0,40.94,2025-11-19 05:15:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Colchester Kingsford Park,204.0,28.0,40.94,2025-11-19 05:30:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Colchester Kingsford Park,204.0,28.0,40.94,2025-11-19 05:45:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Colchester Kingsford Park,204.0,28.0,40.94,2025-11-19 06:00:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Colchester Kingsford Park,204.0,28.0,40.94,2025-11-19 06:15:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Colchester Kingsford Park,204.0,28.0,40.94,2025-11-19 06:30:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Colchester Kingsford Park,204.0,28.0,40.94,2025-11-19 06:45:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Colchester Kingsford Park,204.0,28.0,40.94,2025-11-19 07:00:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Colchester Kingsford Park,204.0,28.0,40.94,2025-11-19 07:15:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Colchester Kingsford Park,204.0,28.0,40.94,2025-11-19 07:30:30+00:00,0.0015,0.001,0.00225,0.0015
Bannatynes Colchester Kingsford Park,204.0,28.0,40.94,2025-11-19 07:45:30+00:00,0.00575,0.002,0.00925,0.005
Bannatynes Colchester Kingsford Park,204.0,28.0,40.94,2025-11-19 08:00:30+00:00,0.014,0.00325,0.0215,0.00975
Bannatynes Colchester Kingsford Park,204.0,28.0,40.94,2025-11-19 08:15:30+00:00,0.0175,0.0035,0.02825,0.0135
Bannatynes Colchester Kingsford Park,204.0,28.0,40.94,2025-11-19 08:30:30+00:00,0.0085,0.0025,0.0255,0.0075
Bannatynes Colchester Kingsford Park,204.0,28.0,40.94,2025-11-19 08:45:30+00:00,0.00275,0.00275,0.0115,0.003
Bannatynes Colchester Kingsford Park,204.0,28.0,40.94,2025-11-19 09:00:30+00:00,0.00225,0.0015,0.00925,0.0025
Bannatynes Colchester Kingsford Park,204.0,28.0,40.94,2025-11-19 09:15:30+00:00,0.00525,0.0035,0.0155,0.00575
Bannatynes Colchester Kingsford Park,204.0,28.0,40.94,2025-11-19 09:30:30+00:00,0.0055,0.00375,0.01675,0.006
Bannatynes Colchester Kingsford Park,204.0,28.0,40.94,2025-11-19 09:45:30+00:00,0.007,0.00425,0.019,0.0075
Bannatynes Colchester Kingsford Park,204.0,28.0,40.94,2025-11-19 10:00:30+00:00,0.00875,0.0045,0.02325,0.0095
Bannatynes Colchester Kingsford Park,204.0,28.0,40.94,2025-11-19 10:15:30+00:00,0.01275,0.005,0.02875,0.01375
Bannatynes Colchester Kingsford Park,204.0,28.0,40.94,2025-11-19 10:30:30+00:00,0.01525,0.00525,0.03425,0.0165
Bannatynes Colchester Kingsford Park,204.0,28.0,40.94,2025-11-19 10:45:30+00:00,0.0225,0.00575,0.04225,0.02325
Bannatynes Colchester Kingsford Park,204.0,28.0,40.94,2025-11-19 11:00:30+00:00,0.02925,0.00725,0.047,0.02875
Bannatynes Colchester Kingsford Park,204.0,28.0,40.94,2025-11-19 11:15:30+00:00,0.028,0.0125,0.05025,0.02775
Bannatynes Colchester Kingsford Park,204.0,28.0,40.94,2025-11-19 11:30:30+00:00,0.04475,0.01975,0.06125,0.03675
Bannatynes Colchester Kingsford Park,204.0,28.0,40.94,2025-11-19 11:45:30+00:00,0.0415,0.02425,0.0615,0.035
Bannatynes Colchester Kingsford Park,204.0,28.0,40.94,2025-11-19 12:00:30+00:00,0.0455,0.02475,0.06625,0.037
Bannatynes Colchester Kingsford Park,204.0,28.0,40.94,2025-11-19 12:15:30+00:00,0.05,0.028,0.072,0.039
Bannatynes Colchester Kingsford Park,204.0,28.0,40.94,2025-11-19 12:30:30+00:00,0.055,0.03225,0.0805,0.0405
Bannatynes Colchester Kingsford Park,204.0,28.0,40.94,2025-11-19 12:45:30+00:00,0.071,0.04325,0.09375,0.04475
Bannatynes Colchester Kingsford Park,204.0,28.0,40.94,2025-11-19 13:00:30+00:00,0.077,0.05175,0.0985,0.04425
Bannatynes Colchester Kingsford Park,204.0,28.0,40.94,2025-11-19 13:15:30+00:00,0.07125,0.04925,0.09125,0.04075
Bannatynes Colchester Kingsford Park,204.0,28.0,40.94,2025-11-19 13:30:30+00:00,0.0575,0.03775,0.0805,0.03525
Bannatynes Colchester Kingsford Park,204.0,28.0,40.94,2025-11-19 13:45:30+00:00,0.05525,0.03225,0.082,0.032
Bannatynes Colchester Kingsford Park,204.0,28.0,40.94,2025-11-19 14:00:30+00:00,0.06375,0.035,0.09525,0.03175
Bannatynes Colchester Kingsford Park,204.0,28.0,40.94,2025-11-19 14:15:30+00:00,0.0775,0.042,0.09775,0.03375
