name,azimuth,slope,array_capacity,time,gti,gti_low,gti_high,ghi
Bannatynes Cookridge Hall,180.0,0.0,27.82,2025-11-19 00:00:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Cookridge Hall,180.0,0.0,27.82,2025-11-19 00:15:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Cookridge Hall,180.0,0.0,27.82,2025-11-19 00:30:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Cookridge Hall,180.0,0.0,27.82,2025-11-19 00:45:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Cookridge Hall,180.0,0.0,27.82,2025-11-19 01:00:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Cookridge Hall,180.0,0.0,27.82,2025-11-19 01:15:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Cookridge Hall,180.0,0.0,27.82,2025-11-19 01:30:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Cookridge Hall,180.0,0.0,27.82,2025-11-19 01:45:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Cookridge Hall,180.0,0.0,27.82,2025-11-19 02:00:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Cookridge Hall,180.0,0.0,27.82,2025-11-19 02:15:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Cookridge Hall,180.0,0.0,27.82,2025-11-19 02:30:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Cookridge Hall,180.0,0.0,27.82,2025-11-19 02:45:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Cookridge Hall,180.0,0.0,27.82,2025-11-19 03:00:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Cookridge Hall,180.0,0.0,27.82,2025-11-19 03:15:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Cookridge Hall,180.0,0.0,27.82,2025-11-19 03:30:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Cookridge Hall,180.0,0.0,27.82,2025-11-19 03:45:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Cookridge Hall,180.0,0.0,27.82,2025-11-19 04:00:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Cookridge Hall,180.0,0.0,27.82,2025-11-19 04:15:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Cookridge Hall,180.0,0.0,27.82,2025-11-19 04:30:30+00:00,0.0,0.0,0.0,0.0
