name,azimuth,slope,array_capacity,time,gti,gti_low,gti_high,ghi
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 00:00:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 00:15:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 00:30:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 00:45:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 01:00:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 01:15:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 01:30:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 01:45:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 02:00:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 02:15:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 02:30:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 02:45:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 03:00:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 03:15:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 03:30:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 03:45:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 04:00:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 04:15:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 04:30:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 04:45:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 05:00:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 05:15:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 05:30:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 05:45:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 06:00:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 06:15:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 06:30:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 06:45:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 07:00:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 07:15:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 07:30:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 07:45:30+00:00,0.00025,0.00025,0.0005,0.0005
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 08:00:30+00:00,0.00325,0.00175,0.0035,0.00375
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 08:15:30+00:00,0.006,0.00225,0.00675,0.00925
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 08:30:30+00:00,0.0085,0.00175,0.0115,0.0125
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 08:45:30+00:00,0.0075,0.0015,0.01875,0.0085
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 09:00:30+00:00,0.00775,0.002,0.02325,0.00825
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 09:15:30+00:00,0.013,0.0025,0.02525,0.0165
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 09:30:30+00:00,0.01525,0.0045,0.02325,0.0245
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 09:45:30+00:00,0.0175,0.00875,0.0285,0.02625
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 10:00:30+00:00,0.02025,0.0115,0.0285,0.032
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 10:15:30+00:00,0.02375,0.01575,0.0325,0.03675
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 10:30:30+00:00,0.02825,0.0185,0.03625,0.04225
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 10:45:30+00:00,0.0315,0.0225,0.0415,0.04375
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 11:00:30+00:00,0.035,0.026,0.04575,0.047
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 11:15:30+00:00,0.04125,0.03,0.0495,0.05325
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 11:30:30+00:00,0.04425,0.0345,0.0535,0.05375
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 11:45:30+00:00,0.04675,0.03725,0.0565,0.0535
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 12:00:30+00:00,0.04925,0.0395,0.0595,0.05375
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 12:15:30+00:00,0.05225,0.0415,0.06325,0.054
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 12:30:30+00:00,0.05575,0.04375,0.067,0.05425
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 12:45:30+00:00,0.05775,0.04575,0.069,0.05325
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 13:00:30+00:00,0.05825,0.0465,0.0695,0.05075
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 13:15:30+00:00,0.05875,0.0465,0.069,0.04825
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 13:30:30+00:00,0.05775,0.04525,0.06775,0.04475
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 13:45:30+00:00,0.05575,0.043,0.0655,0.0405
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 14:00:30+00:00,0.0525,0.03925,0.06175,0.03575
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 14:15:30+00:00,0.046,0.034,0.0555,0.02975
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 14:30:30+00:00,0.041,0.029,0.0495,0.0245
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 14:45:30+00:00,0.035,0.02375,0.04275,0.019
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 15:00:30+00:00,0.02675,0.0175,0.0335,0.013
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 15:15:30+00:00,0.01625,0.0105,0.0215,0.0075
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 15:30:30+00:00,0.0045,0.0035,0.00575,0.003
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 15:45:30+00:00,0.001,0.00075,0.00125,0.001
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 16:00:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 16:15:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 16:30:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 16:45:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 17:00:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 17:15:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 17:30:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 17:45:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 18:00:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 18:15:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 18:30:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 18:45:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 19:00:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 19:15:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 19:30:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 19:45:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 20:00:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 20:15:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 20:30:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 20:45:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 21:00:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 21:15:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 21:30:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 21:45:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 22:00:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 22:15:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 22:30:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 22:45:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 23:00:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 23:15:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 23:30:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-19 23:45:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-20 00:00:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-20 00:15:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-20 00:30:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-20 00:45:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-20 01:00:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-20 01:15:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-20 01:30:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-20 01:45:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-20 02:00:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-20 02:15:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-20 02:30:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-20 02:45:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-20 03:00:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-20 03:15:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-20 03:30:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-20 03:45:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-20 04:00:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-20 04:15:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-20 04:30:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-20 04:45:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-20 05:00:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-20 05:15:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-20 05:30:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-20 05:45:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-20 06:00:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-20 06:15:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-20 06:30:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-20 06:45:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-20 07:00:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-20 07:15:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-20 07:30:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-20 07:45:30+00:00,0.0,0.0,0.00025,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-20 08:00:30+00:00,0.003,0.00175,0.00325,0.003
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-20 08:15:30+00:00,0.006,0.00225,0.00675,0.008
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-20 08:30:30+00:00,0.0075,0.0015,0.0105,0.011
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-20 08:45:30+00:00,0.00875,0.00175,0.0175,0.01075
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-20 09:00:30+00:00,0.01125,0.0035,0.023,0.01375
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-20 09:15:30+00:00,0.01575,0.0055,0.0185,0.0295
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-20 09:30:30+00:00,0.01425,0.00725,0.01525,0.03725
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-20 09:45:30+00:00,0.0145,0.0095,0.0175,0.03775
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-20 10:00:30+00:00,0.01925,0.01425,0.024,0.0405
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-20 10:15:30+00:00,0.024,0.01775,0.02925,0.045
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-20 10:30:30+00:00,0.029,0.02125,0.035,0.048
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-20 10:45:30+00:00,0.032,0.02375,0.04075,0.04675
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-20 11:00:30+00:00,0.03475,0.02625,0.04475,0.0465
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-20 11:15:30+00:00,0.0385,0.028,0.04675,0.049
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-20 11:30:30+00:00,0.03925,0.03075,0.05075,0.04625
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-20 11:45:30+00:00,0.043,0.031,0.053,0.04875
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-20 12:00:30+00:00,0.044,0.02925,0.0555,0.0475
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-20 12:15:30+00:00,0.0395,0.028,0.0565,0.041
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-20 12:30:30+00:00,0.04325,0.02825,0.06075,0.043
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-20 12:45:30+00:00,0.05175,0.03225,0.065,0.04875
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-20 13:00:30+00:00,0.05025,0.035,0.06375,0.04575
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-20 13:15:30+00:00,0.0515,0.03225,0.06225,0.045
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-20 13:30:30+00:00,0.0385,0.0275,0.05625,0.03375
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-20 13:45:30+00:00,0.03825,0.0245,0.0515,0.03125
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-20 14:00:30+00:00,0.0375,0.02175,0.05125,0.0285
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-20 14:15:30+00:00,0.03125,0.01725,0.04625,0.023
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-20 14:30:30+00:00,0.02775,0.0085,0.03925,0.01975
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-20 14:45:30+00:00,0.0105,0.003,0.02475,0.009
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-20 15:00:30+00:00,0.00575,0.00125,0.01225,0.006
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-20 15:15:30+00:00,0.004,0.00075,0.007,0.004
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-20 15:30:30+00:00,0.00125,0.0005,0.003,0.0015
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-20 15:45:30+00:00,0.0005,0.00025,0.001,0.0005
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-20 16:00:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Darlington Head Office,278.0,18.0,26.1,2025-11-20 16:15:30+00:00,0.0,0.0,0.0,0.0
