name,azimuth,slope,array_capacity,time,gti,gti_low,gti_high,ghi
Bannatynes Wildmoor,208.0,40.0,16.465,2025-11-19 00:00:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Wildmoor,208.0,40.0,16.465,2025-11-19 00:15:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Wildmoor,208.0,40.0,16.465,2025-11-19 00:30:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Wildmoor,208.0,40.0,16.465,2025-11-19 00:45:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Wildmoor,208.0,40.0,16.465,2025-11-19 01:00:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Wildmoor,208.0,40.0,16.465,2025-11-19 01:15:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Wildmoor,208.0,40.0,16.465,2025-11-19 01:30:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Wildmoor,208.0,40.0,16.465,2025-11-19 01:45:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Wildmoor,208.0,40.0,16.465,2025-11-19 02:00:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Wildmoor,208.0,40.0,16.465,2025-11-19 02:15:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Wildmoor,208.0,40.0,16.465,2025-11-19 02:30:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Wildmoor,208.0,40.0,16.465,2025-11-19 02:45:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Wildmoor,208.0,40.0,16.465,2025-11-19 03:00:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Wildmoor,208.0,40.0,16.465,2025-11-19 03:15:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Wildmoor,208.0,40.0,16.465,2025-11-19 03:30:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Wildmoor,208.0,40.0,16.465,2025-11-19 03:45:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Wildmoor,208.0,40.0,16.465,2025-11-19 04:00:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Wildmoor,208.0,40.0,16.465,2025-11-19 04:15:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Wildmoor,208.0,40.0,16.465,2025-11-19 04:30:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Wildmoor,208.0,40.0,16.465,2025-11-19 04:45:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Wildmoor,208.0,40.0,16.465,2025-11-19 05:00:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Wildmoor,208.0,40.0,16.465,2025-11-19 05:15:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Wildmoor,208.0,40.0,16.465,2025-11-19 05:30:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Wildmoor,208.0,40.0,16.465,2025-11-19 05:45:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Wildmoor,208.0,40.0,16.465,2025-11-19 06:00:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Wildmoor,208.0,40.0,16.465,2025-11-19 06:15:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Wildmoor,208.0,40.0,16.465,2025-11-19 06:30:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Wildmoor,208.0,40.0,16.465,2025-11-19 06:45:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Wildmoor,208.0,40.0,16.465,2025-11-19 07:00:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Wildmoor,208.0,40.0,16.465,2025-11-19 07:15:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Wildmoor,208.0,40.0,16.465,2025-11-19 07:30:30+00:00,0.00075,0.0005,0.00125,0.001
Bannatynes Wildmoor,208.0,40.0,16.465,2025-11-19 07:45:30+00:00,0.00225,0.00175,0.00325,0.00275
Bannatynes Wildmoor,208.0,40.0,16.465,2025-11-19 08:00:30+00:00,0.011,0.00675,0.0155,0.00675
Bannatynes Wildmoor,208.0,40.0,16.465,2025-11-19 08:15:30+00:00,0.022,0.01275,0.03,0.0125
Bannatynes Wildmoor,208.0,40.0,16.465,2025-11-19 08:30:30+00:00,0.0295,0.01575,0.0395,0.018
Bannatynes Wildmoor,208.0,40.0,16.465,2025-11-19 08:45:30+00:00,0.02925,0.016,0.0455,0.01975
Bannatynes Wildmoor,208.0,40.0,16.465,2025-11-19 09:00:30+00:00,0.03775,0.02125,0.06075,0.02475
Bannatynes Wildmoor,208.0,40.0,16.465,2025-11-19 09:15:30+00:00,0.06175,0.0335,0.0805,0.03575
Bannatynes Wildmoor,208.0,40.0,16.465,2025-11-19 09:30:30+00:00,0.08375,0.046,0.09675,0.04625
Bannatynes Wildmoor,208.0,40.0,16.465,2025-11-19 09:45:30+00:00,0.08525,0.058,0.10875,0.0465
Bannatynes Wildmoor,208.0,40.0,16.465,2025-11-19 10:00:30+00:00,0.10625,0.05425,0.11775,0.0585
Bannatynes Wildmoor,208.0,40.0,16.465,2025-11-19 10:15:30+00:00,0.077,0.0465,0.115,0.0465
Bannatynes Wildmoor,208.0,40.0,16.465,2025-11-19 10:30:30+00:00,0.08325,0.045,0.1155,0.0495
Bannatynes Wildmoor,208.0,40.0,16.465,2025-11-19 10:45:30+00:00,0.07675,0.05025,0.11075,0.0465
Bannatynes Wildmoor,208.0,40.0,16.465,2025-11-19 11:00:30+00:00,0.085,0.05725,0.112,0.05
Bannatynes Wildmoor,208.0,40.0,16.465,2025-11-19 11:15:30+00:00,0.092,0.061,0.131,0.05275
Bannatynes Wildmoor,208.0,40.0,16.465,2025-11-19 11:30:30+00:00,0.1245,0.07475,0.1665,0.062
Bannatynes Wildmoor,208.0,40.0,16.465,2025-11-19 11:45:30+00:00,0.13775,0.09325,0.1765,0.065
Bannatynes Wildmoor,208.0,40.0,16.465,2025-11-19 12:00:30+00:00,0.164,0.11625,0.19,0.07175
Bannatynes Wildmoor,208.0,40.0,16.465,2025-11-19 12:15:30+00:00,0.17775,0.13075,0.19775,0.0735
Bannatynes Wildmoor,208.0,40.0,16.465,2025-11-19 12:30:30+00:00,0.17225,0.12275,0.196,0.07025
Bannatynes Wildmoor,208.0,40.0,16.465,2025-11-19 12:45:30+00:00,0.14475,0.0975,0.18025,0.062
Bannatynes Wildmoor,208.0,40.0,16.465,2025-11-19 13:00:30+00:00,0.11575,0.0855,0.1625,0.05175
Bannatynes Wildmoor,208.0,40.0,16.465,2025-11-19 13:15:30+00:00,0.1275,0.0895,0.1615,0.05225
Bannatynes Wildmoor,208.0,40.0,16.465,2025-11-19 13:30:30+00:00,0.13125,0.0945,0.164,0.05025
Bannatynes Wildmoor,208.0,40.0,16.465,2025-11-19 13:45:30+00:00,0.12225,0.08025,0.1555,0.04575
Bannatynes Wildmoor,208.0,40.0,16.465,2025-11-19 14:00:30+00:00,0.0935,0.0585,0.13375,0.03625
Bannatynes Wildmoor,208.0,40.0,16.465,2025-11-19 14:15:30+00:00,0.07375,0.03975,0.10625,0.03
Bannatynes Wildmoor,208.0,40.0,16.465,2025-11-19 14:30:30+00:00,0.048,0.029,0.07675,0.0225
Bannatynes Wildmoor,208.0,40.0,16.465,2025-11-19 14:45:30+00:00,0.05875,0.03175,0.08,0.0215
Bannatynes Wildmoor,208.0,40.0,16.465,2025-11-19 15:00:30+00:00,0.05925,0.033,0.08175,0.017
Bannatynes Wildmoor,208.0,40.0,16.465,2025-11-19 15:15:30+00:00,0.04125,0.0235,0.062,0.011
Bannatynes Wildmoor,208.0,40.0,16.465,2025-11-19 15:30:30+00:00,0.014,0.0075,0.022,0.006
Bannatynes Wildmoor,208.0,40.0,16.465,2025-11-19 15:45:30+00:00,0.0025,0.00175,0.004,0.002
