name,azimuth,slope,array_capacity,time,gti,gti_low,gti_high,ghi
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 00:00:30+00:00,0.0,0.0,0.0,0.0
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 00:15:30+00:00,0.0,0.0,0.0,0.0
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 00:30:30+00:00,0.0,0.0,0.0,0.0
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 00:45:30+00:00,0.0,0.0,0.0,0.0
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 01:00:30+00:00,0.0,0.0,0.0,0.0
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 01:15:30+00:00,0.0,0.0,0.0,0.0
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 01:30:30+00:00,0.0,0.0,0.0,0.0
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 01:45:30+00:00,0.0,0.0,0.0,0.0
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 02:00:30+00:00,0.0,0.0,0.0,0.0
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 02:15:30+00:00,0.0,0.0,0.0,0.0
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 02:30:30+00:00,0.0,0.0,0.0,0.0
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 02:45:30+00:00,0.0,0.0,0.0,0.0
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 03:00:30+00:00,0.0,0.0,0.0,0.0
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 03:15:30+00:00,0.0,0.0,0.0,0.0
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 03:30:30+00:00,0.0,0.0,0.0,0.0
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 03:45:30+00:00,0.0,0.0,0.0,0.0
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 04:00:30+00:00,0.0,0.0,0.0,0.0
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 04:15:30+00:00,0.0,0.0,0.0,0.0
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 04:30:30+00:00,0.0,0.0,0.0,0.0
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 04:45:30+00:00,0.0,0.0,0.0,0.0
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 05:00:30+00:00,0.0,0.0,0.0,0.0
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 05:15:30+00:00,0.0,0.0,0.0,0.0
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 05:30:30+00:00,0.0,0.0,0.0,0.0
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 05:45:30+00:00,0.0,0.0,0.0,0.0
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 06:00:30+00:00,0.0,0.0,0.0,0.0
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 06:15:30+00:00,0.0,0.0,0.0,0.0
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 06:30:30+00:00,0.0,0.0,0.0,0.0
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 06:45:30+00:00,0.0,0.0,0.0,0.0
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 07:00:30+00:00,0.0,0.0,0.0,0.0
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 07:15:30+00:00,0.0,0.0,0.0,0.0
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 07:30:30+00:00,0.0,0.0,0.0,0.0
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 07:45:30+00:00,0.0005,0.00025,0.0005,0.0005
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 08:00:30+00:00,0.003,0.00075,0.005,0.003
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 08:15:30+00:00,0.00775,0.0025,0.01275,0.007
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 08:30:30+00:00,0.015,0.003,0.02025,0.01375
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 08:45:30+00:00,0.0085,0.002,0.0255,0.0085
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 09:00:30+00:00,0.01425,0.00275,0.02875,0.01425
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 09:15:30+00:00,0.02,0.004,0.0305,0.0205
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 09:30:30+00:00,0.01125,0.00325,0.034,0.01175
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 09:45:30+00:00,0.023,0.0045,0.03325,0.02425
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 10:00:30+00:00,0.01525,0.004,0.03725,0.016
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 10:15:30+00:00,0.015,0.0045,0.04475,0.01525
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 10:30:30+00:00,0.03,0.006,0.053,0.033
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 10:45:30+00:00,0.03525,0.01025,0.06125,0.03975
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 11:00:30+00:00,0.0415,0.01925,0.05925,0.05025
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 11:15:30+00:00,0.047,0.0275,0.0575,0.06025
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 11:30:30+00:00,0.045,0.0315,0.05575,0.06025
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 11:45:30+00:00,0.0425,0.0335,0.0545,0.059
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 12:00:30+00:00,0.04425,0.03375,0.052,0.064
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 12:15:30+00:00,0.043,0.0335,0.048,0.066
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 12:30:30+00:00,0.0395,0.03225,0.0445,0.0645
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 12:45:30+00:00,0.03625,0.02975,0.04075,0.06225
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 13:00:30+00:00,0.032,0.0265,0.0365,0.0585
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 13:15:30+00:00,0.02825,0.023,0.03175,0.05575
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 13:30:30+00:00,0.024,0.01925,0.027,0.05225
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 13:45:30+00:00,0.0195,0.0155,0.02175,0.0475
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 14:00:30+00:00,0.0145,0.0115,0.01625,0.0425
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 14:15:30+00:00,0.00975,0.00725,0.01075,0.037
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 14:30:30+00:00,0.008,0.006,0.00925,0.03075
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 14:45:30+00:00,0.0075,0.00525,0.0085,0.02475
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 15:00:30+00:00,0.00625,0.004,0.00725,0.01825
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 15:15:30+00:00,0.00475,0.00275,0.00575,0.0115
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 15:30:30+00:00,0.0045,0.003,0.00675,0.0045
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 15:45:30+00:00,0.00125,0.001,0.0015,0.00125
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 16:00:30+00:00,0.0,0.0,0.0,0.0
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 16:15:30+00:00,0.0,0.0,0.0,0.0
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 16:30:30+00:00,0.0,0.0,0.0,0.0
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 16:45:30+00:00,0.0,0.0,0.0,0.0
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 17:00:30+00:00,0.0,0.0,0.0,0.0
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 17:15:30+00:00,0.0,0.0,0.0,0.0
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 17:30:30+00:00,0.0,0.0,0.0,0.0
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 17:45:30+00:00,0.0,0.0,0.0,0.0
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 18:00:30+00:00,0.0,0.0,0.0,0.0
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 18:15:30+00:00,0.0,0.0,0.0,0.0
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 18:30:30+00:00,0.0,0.0,0.0,0.0
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 18:45:30+00:00,0.0,0.0,0.0,0.0
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 19:00:30+00:00,0.0,0.0,0.0,0.0
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 19:15:30+00:00,0.0,0.0,0.0,0.0
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 19:30:30+00:00,0.0,0.0,0.0,0.0
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 19:45:30+00:00,0.0,0.0,0.0,0.0
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 20:00:30+00:00,0.0,0.0,0.0,0.0
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 20:15:30+00:00,0.0,0.0,0.0,0.0
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 20:30:30+00:00,0.0,0.0,0.0,0.0
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 20:45:30+00:00,0.0,0.0,0.0,0.0
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 21:00:30+00:00,0.0,0.0,0.0,0.0
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 21:15:30+00:00,0.0,0.0,0.0,0.0
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 21:30:30+00:00,0.0,0.0,0.0,0.0
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 21:45:30+00:00,0.0,0.0,0.0,0.0
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 22:00:30+00:00,0.0,0.0,0.0,0.0
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 22:15:30+00:00,0.0,0.0,0.0,0.0
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 22:30:30+00:00,0.0,0.0,0.0,0.0
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 22:45:30+00:00,0.0,0.0,0.0,0.0
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 23:00:30+00:00,0.0,0.0,0.0,0.0
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 23:15:30+00:00,0.0,0.0,0.0,0.0
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 23:30:30+00:00,0.0,0.0,0.0,0.0
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-19 23:45:30+00:00,0.0,0.0,0.0,0.0
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-20 00:00:30+00:00,0.0,0.0,0.0,0.0
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-20 00:15:30+00:00,0.0,0.0,0.0,0.0
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-20 00:30:30+00:00,0.0,0.0,0.0,0.0
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-20 00:45:30+00:00,0.0,0.0,0.0,0.0
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-20 01:00:30+00:00,0.0,0.0,0.0,0.0
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-20 01:15:30+00:00,0.0,0.0,0.0,0.0
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-20 01:30:30+00:00,0.0,0.0,0.0,0.0
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-20 01:45:30+00:00,0.0,0.0,0.0,0.0
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-20 02:00:30+00:00,0.0,0.0,0.0,0.0
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-20 02:15:30+00:00,0.0,0.0,0.0,0.0
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-20 02:30:30+00:00,0.0,0.0,0.0,0.0
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-20 02:45:30+00:00,0.0,0.0,0.0,0.0
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-20 03:00:30+00:00,0.0,0.0,0.0,0.0
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-20 03:15:30+00:00,0.0,0.0,0.0,0.0
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-20 03:30:30+00:00,0.0,0.0,0.0,0.0
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-20 03:45:30+00:00,0.0,0.0,0.0,0.0
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-20 04:00:30+00:00,0.0,0.0,0.0,0.0
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-20 04:15:30+00:00,0.0,0.0,0.0,0.0
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-20 04:30:30+00:00,0.0,0.0,0.0,0.0
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-20 04:45:30+00:00,0.0,0.0,0.0,0.0
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-20 05:00:30+00:00,0.0,0.0,0.0,0.0
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-20 05:15:30+00:00,0.0,0.0,0.0,0.0
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-20 05:30:30+00:00,0.0,0.0,0.0,0.0
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-20 05:45:30+00:00,0.0,0.0,0.0,0.0
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-20 06:00:30+00:00,0.0,0.0,0.0,0.0
Burnley College - Sports Hall,53.0,10.0,13.43,2025-11-20 06:15:30+00:00,0.0,0.0,0.0,0.0
