name,azimuth,slope,array_capacity,time,gti,gti_low,gti_high,ghi
Carlton High Park,171.0,2.0,78.5,2025-11-30 00:00:30+00:00,0.0,0.0,0.0,0.0
Carlton High Park,171.0,2.0,78.5,2025-11-30 00:15:30+00:00,0.0,0.0,0.0,0.0
Carlton High Park,171.0,2.0,78.5,2025-11-30 00:30:30+00:00,0.0,0.0,0.0,0.0
Carlton High Park,171.0,2.0,78.5,2025-11-30 00:45:30+00:00,0.0,0.0,0.0,0.0
Carlton High Park,171.0,2.0,78.5,2025-11-30 01:00:30+00:00,0.0,0.0,0.0,0.0
Carlton High Park,171.0,2.0,78.5,2025-11-30 01:15:30+00:00,0.0,0.0,0.0,0.0
Carlton High Park,171.0,2.0,78.5,2025-11-30 01:30:30+00:00,0.0,0.0,0.0,0.0
Carlton High Park,171.0,2.0,78.5,2025-11-30 01:45:30+00:00,0.0,0.0,0.0,0.0
Carlton High Park,171.0,2.0,78.5,2025-11-30 02:00:30+00:00,0.0,0.0,0.0,0.0
Carlton High Park,171.0,2.0,78.5,2025-11-30 02:15:30+00:00,0.0,0.0,0.0,0.0
Carlton High Park,171.0,2.0,78.5,2025-11-30 02:30:30+00:00,0.0,0.0,0.0,0.0
Carlton High Park,171.0,2.0,78.5,2025-11-30 02:45:30+00:00,0.0,0.0,0.0,0.0
Carlton High Park,171.0,2.0,78.5,2025-11-30 03:00:30+00:00,0.0,0.0,0.0,0.0
Carlton High Park,171.0,2.0,78.5,2025-11-30 03:15:30+00:00,0.0,0.0,0.0,0.0
Carlton High Park,171.0,2.0,78.5,2025-11-30 03:30:30+00:00,0.0,0.0,0.0,0.0
Carlton High Park,171.0,2.0,78.5,2025-11-30 03:45:30+00:00,0.0,0.0,0.0,0.0
Carlton High Park,171.0,2.0,78.5,2025-11-30 04:00:30+00:00,0.0,0.0,0.0,0.0
Carlton High Park,171.0,2.0,78.5,2025-11-30 04:15:30+00:00,0.0,0.0,0.0,0.0
Carlton High Park,171.0,2.0,78.5,2025-11-30 04:30:30+00:00,0.0,0.0,0.0,0.0
Carlton High Park,171.0,2.0,78.5,2025-11-30 04:45:30+00:00,0.0,0.0,0.0,0.0
Carlton High Park,171.0,2.0,78.5,2025-11-30 05:00:30+00:00,0.0,0.0,0.0,0.0
Carlton High Park,171.0,2.0,78.5,2025-11-30 05:15:30+00:00,0.0,0.0,0.0,0.0
Carlton High Park,171.0,2.0,78.5,2025-11-30 05:30:30+00:00,0.0,0.0,0.0,0.0
Carlton High Park,171.0,2.0,78.5,2025-11-30 05:45:30+00:00,0.0,0.0,0.0,0.0
Carlton High Park,171.0,2.0,78.5,2025-11-30 06:00:30+00:00,0.0,0.0,0.0,0.0
Carlton High Park,171.0,2.0,78.5,2025-11-30 06:15:30+00:00,0.0,0.0,0.0,0.0
Carlton High Park,171.0,2.0,78.5,2025-11-30 06:30:30+00:00,0.0,0.0,0.0,0.0
Carlton High Park,171.0,2.0,78.5,2025-11-30 06:45:30+00:00,0.0,0.0,0.0,0.0
Carlton High Park,171.0,2.0,78.5,2025-11-30 07:00:30+00:00,0.0,0.0,0.0,0.0
Carlton High Park,171.0,2.0,78.5,2025-11-30 07:15:30+00:00,0.0,0.0,0.0,0.0
Carlton High Park,171.0,2.0,78.5,2025-11-30 07:30:30+00:00,0.0,0.0,0.0,0.0
Carlton High Park,171.0,2.0,78.5,2025-11-30 07:45:30+00:00,0.0,0.0,0.0,0.0
Carlton High Park,171.0,2.0,78.5,2025-11-30 08:00:30+00:00,0.00025,0.0,0.00025,0.00025
Carlton High Park,171.0,2.0,78.5,2025-11-30 08:15:30+00:00,0.00325,0.0025,0.0035,0.00325
Carlton High Park,171.0,2.0,78.5,2025-11-30 08:30:30+00:00,0.00975,0.007,0.0115,0.008
Carlton High Park,171.0,2.0,78.5,2025-11-30 08:45:30+00:00,0.017,0.01175,0.01875,0.01375
Carlton High Park,171.0,2.0,78.5,2025-11-30 09:00:30+00:00,0.02325,0.01675,0.02575,0.0195
Carlton High Park,171.0,2.0,78.5,2025-11-30 09:15:30+00:00,0.029,0.0215,0.0325,0.02475
Carlton High Park,171.0,2.0,78.5,2025-11-30 09:30:30+00:00,0.03475,0.02625,0.03875,0.03
