name,azimuth,slope,array_capacity,time,gti,gti_low,gti_high,ghi
Carlton Mills Primary School,76.0,20.0,9.0,2025-11-30 00:00:30+00:00,0.0,0.0,0.0,0.0
Carlton Mills Primary School,76.0,20.0,9.0,2025-11-30 00:15:30+00:00,0.0,0.0,0.0,0.0
Carlton Mills Primary School,76.0,20.0,9.0,2025-11-30 00:30:30+00:00,0.0,0.0,0.0,0.0
Carlton Mills Primary School,76.0,20.0,9.0,2025-11-30 00:45:30+00:00,0.0,0.0,0.0,0.0
Carlton Mills Primary School,76.0,20.0,9.0,2025-11-30 01:00:30+00:00,0.0,0.0,0.0,0.0
Carlton Mills Primary School,76.0,20.0,9.0,2025-11-30 01:15:30+00:00,0.0,0.0,0.0,0.0
Carlton Mills Primary School,76.0,20.0,9.0,2025-11-30 01:30:30+00:00,0.0,0.0,0.0,0.0
Carlton Mills Primary School,76.0,20.0,9.0,2025-11-30 01:45:30+00:00,0.0,0.0,0.0,0.0
Carlton Mills Primary School,76.0,20.0,9.0,2025-11-30 02:00:30+00:00,0.0,0.0,0.0,0.0
Carlton Mills Primary School,76.0,20.0,9.0,2025-11-30 02:15:30+00:00,0.0,0.0,0.0,0.0
Carlton Mills Primary School,76.0,20.0,9.0,2025-11-30 02:30:30+00:00,0.0,0.0,0.0,0.0
Carlton Mills Primary School,76.0,20.0,9.0,2025-11-30 02:45:30+00:00,0.0,0.0,0.0,0.0
Carlton Mills Primary School,76.0,20.0,9.0,2025-11-30 03:00:30+00:00,0.0,0.0,0.0,0.0
Carlton Mills Primary School,76.0,20.0,9.0,2025-11-30 03:15:30+00:00,0.0,0.0,0.0,0.0
Carlton Mills Primary School,76.0,20.0,9.0,2025-11-30 03:30:30+00:00,0.0,0.0,0.0,0.0
Carlton Mills Primary School,76.0,20.0,9.0,2025-11-30 03:45:30+00:00,0.0,0.0,0.0,0.0
Carlton Mills Primary School,76.0,20.0,9.0,2025-11-30 04:00:30+00:00,0.0,0.0,0.0,0.0
Carlton Mills Primary School,76.0,20.0,9.0,2025-11-30 04:15:30+00:00,0.0,0.0,0.0,0.0
Carlton Mills Primary School,76.0,20.0,9.0,2025-11-30 04:30:30+00:00,0.0,0.0,0.0,0.0
Carlton Mills Primary School,76.0,20.0,9.0,2025-11-30 04:45:30+00:00,0.0,0.0,0.0,0.0
Carlton Mills Primary School,76.0,20.0,9.0,2025-11-30 05:00:30+00:00,0.0,0.0,0.0,0.0
Carlton Mills Primary School,76.0,20.0,9.0,2025-11-30 05:15:30+00:00,0.0,0.0,0.0,0.0
Carlton Mills Primary School,76.0,20.0,9.0,2025-11-30 05:30:30+00:00,0.0,0.0,0.0,0.0
Carlton Mills Primary School,76.0,20.0,9.0,2025-11-30 05:45:30+00:00,0.0,0.0,0.0,0.0
Carlton Mills Primary School,76.0,20.0,9.0,2025-11-30 06:00:30+00:00,0.0,0.0,0.0,0.0
Carlton Mills Primary School,76.0,20.0,9.0,2025-11-30 06:15:30+00:00,0.0,0.0,0.0,0.0
Carlton Mills Primary School,76.0,20.0,9.0,2025-11-30 06:30:30+00:00,0.0,0.0,0.0,0.0
Carlton Mills Primary School,76.0,20.0,9.0,2025-11-30 06:45:30+00:00,0.0,0.0,0.0,0.0
Carlton Mills Primary School,76.0,20.0,9.0,2025-11-30 07:00:30+00:00,0.0,0.0,0.0,0.0
Carlton Mills Primary School,76.0,20.0,9.0,2025-11-30 07:15:30+00:00,0.0,0.0,0.0,0.0
Carlton Mills Primary School,76.0,20.0,9.0,2025-11-30 07:30:30+00:00,0.0,0.0,0.0,0.0
Carlton Mills Primary School,76.0,20.0,9.0,2025-11-30 07:45:30+00:00,0.0,0.0,0.0,0.0
Carlton Mills Primary School,76.0,20.0,9.0,2025-11-30 08:00:30+00:00,0.00025,0.0,0.00025,0.00025
Carlton Mills Primary School,76.0,20.0,9.0,2025-11-30 08:15:30+00:00,0.003,0.00225,0.0035,0.00325
Carlton Mills Primary School,76.0,20.0,9.0,2025-11-30 08:30:30+00:00,0.02,0.01425,0.023,0.008
Carlton Mills Primary School,76.0,20.0,9.0,2025-11-30 08:45:30+00:00,0.03075,0.0215,0.03425,0.01375
