name,azimuth,slope,array_capacity,time,gti,gti_low,gti_high,ghi
Duo Plastics,142.0,23.0,30.0,2025-11-19 00:00:30+00:00,0.0,0.0,0.0,0.0
Duo Plastics,142.0,23.0,30.0,2025-11-19 00:15:30+00:00,0.0,0.0,0.0,0.0
Duo Plastics,142.0,23.0,30.0,2025-11-19 00:30:30+00:00,0.0,0.0,0.0,0.0
Duo Plastics,142.0,23.0,30.0,2025-11-19 00:45:30+00:00,0.0,0.0,0.0,0.0
Duo Plastics,142.0,23.0,30.0,2025-11-19 01:00:30+00:00,0.0,0.0,0.0,0.0
Duo Plastics,142.0,23.0,30.0,2025-11-19 01:15:30+00:00,0.0,0.0,0.0,0.0
Duo Plastics,142.0,23.0,30.0,2025-11-19 01:30:30+00:00,0.0,0.0,0.0,0.0
Duo Plastics,142.0,23.0,30.0,2025-11-19 01:45:30+00:00,0.0,0.0,0.0,0.0
Duo Plastics,142.0,23.0,30.0,2025-11-19 02:00:30+00:00,0.0,0.0,0.0,0.0
Duo Plastics,142.0,23.0,30.0,2025-11-19 02:15:30+00:00,0.0,0.0,0.0,0.0
Duo Plastics,142.0,23.0,30.0,2025-11-19 02:30:30+00:00,0.0,0.0,0.0,0.0
Duo Plastics,142.0,23.0,30.0,2025-11-19 02:45:30+00:00,0.0,0.0,0.0,0.0
Duo Plastics,142.0,23.0,30.0,2025-11-19 03:00:30+00:00,0.0,0.0,0.0,0.0
Duo Plastics,142.0,23.0,30.0,2025-11-19 03:15:30+00:00,0.0,0.0,0.0,0.0
Duo Plastics,142.0,23.0,30.0,2025-11-19 03:30:30+00:00,0.0,0.0,0.0,0.0
Duo Plastics,142.0,23.0,30.0,2025-11-19 03:45:30+00:00,0.0,0.0,0.0,0.0
Duo Plastics,142.0,23.0,30.0,2025-11-19 04:00:30+00:00,0.0,0.0,0.0,0.0
Duo Plastics,142.0,23.0,30.0,2025-11-19 04:15:30+00:00,0.0,0.0,0.0,0.0
Duo Plastics,142.0,23.0,30.0,2025-11-19 04:30:30+00:00,0.0,0.0,0.0,0.0
Duo Plastics,142.0,23.0,30.0,2025-11-19 04:45:30+00:00,0.0,0.0,0.0,0.0
Duo Plastics,142.0,23.0,30.0,2025-11-19 05:00:30+00:00,0.0,0.0,0.0,0.0
Duo Plastics,142.0,23.0,30.0,2025-11-19 05:15:30+00:00,0.0,0.0,0.0,0.0
Duo Plastics,142.0,23.0,30.0,2025-11-19 05:30:30+00:00,0.0,0.0,0.0,0.0
Duo Plastics,142.0,23.0,30.0,2025-11-19 05:45:30+00:00,0.0,0.0,0.0,0.0
Duo Plastics,142.0,23.0,30.0,2025-11-19 06:00:30+00:00,0.0,0.0,0.0,0.0
Duo Plastics,142.0,23.0,30.0,2025-11-19 06:15:30+00:00,0.0,0.0,0.0,0.0
Duo Plastics,142.0,23.0,30.0,2025-11-19 06:30:30+00:00,0.0,0.0,0.0,0.0
Duo Plastics,142.0,23.0,30.0,2025-11-19 06:45:30+00:00,0.0,0.0,0.0,0.0
Duo Plastics,142.0,23.0,30.0,2025-11-19 07:00:30+00:00,0.0,0.0,0.0,0.0
Duo Plastics,142.0,23.0,30.0,2025-11-19 07:15:30+00:00,0.0,0.0,0.0,0.0
Duo Plastics,142.0,23.0,30.0,2025-11-19 07:30:30+00:00,0.0,0.0,0.0,0.0
Duo Plastics,142.0,23.0,30.0,2025-11-19 07:45:30+00:00,0.0005,0.00025,0.00075,0.0005
Duo Plastics,142.0,23.0,30.0,2025-11-19 08:00:30+00:00,0.00325,0.0015,0.00525,0.0035
Duo Plastics,142.0,23.0,30.0,2025-11-19 08:15:30+00:00,0.017,0.00575,0.025,0.0075
Duo Plastics,142.0,23.0,30.0,2025-11-19 08:30:30+00:00,0.01625,0.0085,0.03225,0.00975
Duo Plastics,142.0,23.0,30.0,2025-11-19 08:45:30+00:00,0.03975,0.01175,0.0545,0.01875
Duo Plastics,142.0,23.0,30.0,2025-11-19 09:00:30+00:00,0.03125,0.0075,0.055,0.0185
Duo Plastics,142.0,23.0,30.0,2025-11-19 09:15:30+00:00,0.023,0.0045,0.04525,0.01775
Duo Plastics,142.0,23.0,30.0,2025-11-19 09:30:30+00:00,0.0215,0.00425,0.04325,0.01825
Duo Plastics,142.0,23.0,30.0,2025-11-19 09:45:30+00:00,0.0205,0.0045,0.05375,0.0175
Duo Plastics,142.0,23.0,30.0,2025-11-19 10:00:30+00:00,0.06325,0.0125,0.09175,0.03675
Duo Plastics,142.0,23.0,30.0,2025-11-19 10:15:30+00:00,0.04275,0.0085,0.08125,0.02925
Duo Plastics,142.0,23.0,30.0,2025-11-19 10:30:30+00:00,0.015,0.0055,0.06,0.0135
Duo Plastics,142.0,23.0,30.0,2025-11-19 10:45:30+00:00,0.04975,0.01,0.097,0.034
