name,azimuth,slope,array_capacity,time,gti,gti_low,gti_high,ghi
Iceland Bretton,274.0,18.0,21.0,2025-11-18 00:00:30+00:00,0.0,0.0,0.0,0.0
Iceland Bretton,274.0,18.0,21.0,2025-11-18 00:15:30+00:00,0.0,0.0,0.0,0.0
Iceland Bretton,274.0,18.0,21.0,2025-11-18 00:30:30+00:00,0.0,0.0,0.0,0.0
Iceland Bretton,274.0,18.0,21.0,2025-11-18 00:45:30+00:00,0.0,0.0,0.0,0.0
Iceland Bretton,274.0,18.0,21.0,2025-11-18 01:00:30+00:00,0.0,0.0,0.0,0.0
Iceland Bretton,274.0,18.0,21.0,2025-11-18 01:15:30+00:00,0.0,0.0,0.0,0.0
Iceland Bretton,274.0,18.0,21.0,2025-11-18 01:30:30+00:00,0.0,0.0,0.0,0.0
Iceland Bretton,274.0,18.0,21.0,2025-11-18 01:45:30+00:00,0.0,0.0,0.0,0.0
Iceland Bretton,274.0,18.0,21.0,2025-11-18 02:00:30+00:00,0.0,0.0,0.0,0.0
Iceland Bretton,274.0,18.0,21.0,2025-11-18 02:15:30+00:00,0.0,0.0,0.0,0.0
Iceland Bretton,274.0,18.0,21.0,2025-11-18 02:30:30+00:00,0.0,0.0,0.0,0.0
Iceland Bretton,274.0,18.0,21.0,2025-11-18 02:45:30+00:00,0.0,0.0,0.0,0.0
Iceland Bretton,274.0,18.0,21.0,2025-11-18 03:00:30+00:00,0.0,0.0,0.0,0.0
Iceland Bretton,274.0,18.0,21.0,2025-11-18 03:15:30+00:00,0.0,0.0,0.0,0.0
Iceland Bretton,274.0,18.0,21.0,2025-11-18 03:30:30+00:00,0.0,0.0,0.0,0.0
Iceland Bretton,274.0,18.0,21.0,2025-11-18 03:45:30+00:00,0.0,0.0,0.0,0.0
Iceland Bretton,274.0,18.0,21.0,2025-11-18 04:00:30+00:00,0.0,0.0,0.0,0.0
Iceland Bretton,274.0,18.0,21.0,2025-11-18 04:15:30+00:00,0.0,0.0,0.0,0.0
Iceland Bretton,274.0,18.0,21.0,2025-11-18 04:30:30+00:00,0.0,0.0,0.0,0.0
Iceland Bretton,274.0,18.0,21.0,2025-11-18 04:45:30+00:00,0.0,0.0,0.0,0.0
Iceland Bretton,274.0,18.0,21.0,2025-11-18 05:00:30+00:00,0.0,0.0,0.0,0.0
Iceland Bretton,274.0,18.0,21.0,2025-11-18 05:15:30+00:00,0.0,0.0,0.0,0.0
Iceland Bretton,274.0,18.0,21.0,2025-11-18 05:30:30+00:00,0.0,0.0,0.0,0.0
Iceland Bretton,274.0,18.0,21.0,2025-11-18 05:45:30+00:00,0.0,0.0,0.0,0.0
Iceland Bretton,274.0,18.0,21.0,2025-11-18 06:00:30+00:00,0.0,0.0,0.0,0.0
Iceland Bretton,274.0,18.0,21.0,2025-11-18 06:15:30+00:00,0.0,0.0,0.0,0.0
Iceland Bretton,274.0,18.0,21.0,2025-11-18 06:30:30+00:00,0.0,0.0,0.0,0.0
Iceland Bretton,274.0,18.0,21.0,2025-11-18 06:45:30+00:00,0.0,0.0,0.0,0.0
Iceland Bretton,274.0,18.0,21.0,2025-11-18 07:00:30+00:00,0.0,0.0,0.0,0.0
Iceland Bretton,274.0,18.0,21.0,2025-11-18 07:15:30+00:00,0.0,0.0,0.0,0.0
Iceland Bretton,274.0,18.0,21.0,2025-11-18 07:30:30+00:00,0.0005,0.00025,0.0005,0.0005
Iceland Bretton,274.0,18.0,21.0,2025-11-18 07:45:30+00:00,0.00325,0.0025,0.004,0.004
Iceland Bretton,274.0,18.0,21.0,2025-11-18 08:00:30+00:00,0.005,0.00325,0.006,0.0095
Iceland Bretton,274.0,18.0,21.0,2025-11-18 08:15:30+00:00,0.00625,0.00425,0.0075,0.01575
Iceland Bretton,274.0,18.0,21.0,2025-11-18 08:30:30+00:00,0.00775,0.00525,0.00925,0.02225
Iceland Bretton,274.0,18.0,21.0,2025-11-18 08:45:30+00:00,0.009,0.0065,0.0105,0.02875
Iceland Bretton,274.0,18.0,21.0,2025-11-18 09:00:30+00:00,0.00975,0.00725,0.01125,0.035
Iceland Bretton,274.0,18.0,21.0,2025-11-18 09:15:30+00:00,0.0105,0.00725,0.012,0.04125
Iceland Bretton,274.0,18.0,21.0,2025-11-18 09:30:30+00:00,0.01825,0.01125,0.02075,0.04675
Iceland Bretton,274.0,18.0,21.0,2025-11-18 09:45:30+00:00,0.02575,0.01425,0.0335,0.04525
Iceland Bretton,274.0,18.0,21.0,2025-11-18 10:00:30+00:00,0.029,0.01825,0.045,0.0395
Iceland Bretton,274.0,18.0,21.0,2025-11-18 10:15:30+00:00,0.03275,0.0205,0.045,0.04475
Iceland Bretton,274.0,18.0,21.0,2025-11-18 10:30:30+00:00,0.03725,0.02425,0.04775,0.05
Iceland Bretton,274.0,18.0,21.0,2025-11-18 10:45:30+00:00,0.0405,0.02525,0.05275,0.05025
Iceland Bretton,274.0,18.0,21.0,2025-11-18 11:00:30+00:00,0.03875,0.0225,0.05675,0.0445
Iceland Bretton,274.0,18.0,21.0,2025-11-18 11:15:30+00:00,0.0375,0.021,0.056,0.041
Iceland Bretton,274.0,18.0,21.0,2025-11-18 11:30:30+00:00,0.038,0.0205,0.0525,0.04075
Iceland Bretton,274.0,18.0,21.0,2025-11-18 11:45:30+00:00,0.03375,0.0225,0.049,0.03525
Iceland Bretton,274.0,18.0,21.0,2025-11-18 12:00:30+00:00,0.03475,0.0235,0.04825,0.036
Iceland Bretton,274.0,18.0,21.0,2025-11-18 12:15:30+00:00,0.03925,0.024,0.05175,0.03975
Iceland Bretton,274.0,18.0,21.0,2025-11-18 12:30:30+00:00,0.0395,0.02175,0.0525,0.03925
Iceland Bretton,274.0,18.0,21.0,2025-11-18 12:45:30+00:00,0.032,0.015,0.04975,0.03175
Iceland Bretton,274.0,18.0,21.0,2025-11-18 13:00:30+00:00,0.02475,0.01125,0.046,0.02525
Iceland Bretton,274.0,18.0,21.0,2025-11-18 13:15:30+00:00,0.032,0.013,0.0505,0.0305
Iceland Bretton,274.0,18.0,21.0,2025-11-18 13:30:30+00:00,0.0395,0.01325,0.05625,0.034
Iceland Bretton,274.0,18.0,21.0,2025-11-18 13:45:30+00:00,0.029,0.00775,0.0525,0.0255
Iceland Bretton,274.0,18.0,21.0,2025-11-18 14:00:30+00:00,0.021,0.00425,0.04025,0.0195
Iceland Bretton,274.0,18.0,21.0,2025-11-18 14:15:30+00:00,0.01025,0.003,0.02825,0.0105
Iceland Bretton,274.0,18.0,21.0,2025-11-18 14:30:30+00:00,0.00675,0.0025,0.023,0.007
Iceland Bretton,274.0,18.0,21.0,2025-11-18 14:45:30+00:00,0.01575,0.00325,0.02725,0.01275
Iceland Bretton,274.0,18.0,21.0,2025-11-18 15:00:30+00:00,0.0105,0.002,0.0225,0.00925
Iceland Bretton,274.0,18.0,21.0,2025-11-18 15:15:30+00:00,0.0125,0.0025,0.0205,0.008
Iceland Bretton,274.0,18.0,21.0,2025-11-18 15:30:30+00:00,0.006,0.00225,0.0085,0.0045
Iceland Bretton,274.0,18.0,21.0,2025-11-18 15:45:30+00:00,0.00075,0.00075,0.00125,0.00075
Iceland Bretton,274.0,18.0,21.0,2025-11-18 16:00:30+00:00,0.0,0.0,0.0,0.0
Iceland Bretton,274.0,18.0,21.0,2025-11-18 16:15:30+00:00,0.0,0.0,0.0,0.0
Iceland Bretton,274.0,18.0,21.0,2025-11-18 16:30:30+00:00,0.0,0.0,0.0,0.0
Iceland Bretton,274.0,18.0,21.0,2025-11-18 16:45:30+00:00,0.0,0.0,0.0,0.0
Iceland Bretton,274.0,18.0,21.0,2025-11-18 17:00:30+00:00,0.0,0.0,0.0,0.0
Iceland Bretton,274.0,18.0,21.0,2025-11-18 17:15:30+00:00,0.0,0.0,0.0,0.0
Iceland Bretton,274.0,18.0,21.0,2025-11-18 17:30:30+00:00,0.0,0.0,0.0,0.0
Iceland Bretton,274.0,18.0,21.0,2025-11-18 17:45:30+00:00,0.0,0.0,0.0,0.0
Iceland Bretton,274.0,18.0,21.0,2025-11-18 18:00:30+00:00,0.0,0.0,0.0,0.0
Iceland Bretton,274.0,18.0,21.0,2025-11-18 18:15:30+00:00,0.0,0.0,0.0,0.0
Iceland Bretton,274.0,18.0,21.0,2025-11-18 18:30:30+00:00,0.0,0.0,0.0,0.0
Iceland Bretton,274.0,18.0,21.0,2025-11-18 18:45:30+00:00,0.0,0.0,0.0,0.0
Iceland Bretton,274.0,18.0,21.0,2025-11-18 19:00:30+00:00,0.0,0.0,0.0,0.0
Iceland Bretton,274.0,18.0,21.0,2025-11-18 19:15:30+00:00,0.0,0.0,0.0,0.0
Iceland Bretton,274.0,18.0,21.0,2025-11-18 19:30:30+00:00,0.0,0.0,0.0,0.0
Iceland Bretton,274.0,18.0,21.0,2025-11-18 19:45:30+00:00,0.0,0.0,0.0,0.0
Iceland Bretton,274.0,18.0,21.0,2025-11-18 20:00:30+00:00,0.0,0.0,0.0,0.0
Iceland Bretton,274.0,18.0,21.0,2025-11-18 20:15:30+00:00,0.0,0.0,0.0,0.0
Iceland Bretton,274.0,18.0,21.0,2025-11-18 20:30:30+00:00,0.0,0.0,0.0,0.0
Iceland Bretton,274.0,18.0,21.0,2025-11-18 20:45:30+00:00,0.0,0.0,0.0,0.0
Iceland Bretton,274.0,18.0,21.0,2025-11-18 21:00:30+00:00,0.0,0.0,0.0,0.0
Iceland Bretton,274.0,18.0,21.0,2025-11-18 21:15:30+00:00,0.0,0.0,0.0,0.0
Iceland Bretton,274.0,18.0,21.0,2025-11-18 21:30:30+00:00,0.0,0.0,0.0,0.0
Iceland Bretton,274.0,18.0,21.0,2025-11-18 21:45:30+00:00,0.0,0.0,0.0,0.0
Iceland Bretton,274.0,18.0,21.0,2025-11-18 22:00:30+00:00,0.0,0.0,0.0,0.0
Iceland Bretton,274.0,18.0,21.0,2025-11-18 22:15:30+00:00,0.0,0.0,0.0,0.0
Iceland Bretton,274.0,18.0,21.0,2025-11-18 22:30:30+00:00,0.0,0.0,0.0,0.0
