name,azimuth,slope,array_capacity,time,gti,gti_low,gti_high,ghi
Iceland Shrewsbury,110.0,5.0,56.0,2025-11-18 00:00:30+00:00,0.0,0.0,0.0,0.0
Iceland Shrewsbury,110.0,5.0,56.0,2025-11-18 00:15:30+00:00,0.0,0.0,0.0,0.0
Iceland Shrewsbury,110.0,5.0,56.0,2025-11-18 00:30:30+00:00,0.0,0.0,0.0,0.0
Iceland Shrewsbury,110.0,5.0,56.0,2025-11-18 00:45:30+00:00,0.0,0.0,0.0,0.0
Iceland Shrewsbury,110.0,5.0,56.0,2025-11-18 01:00:30+00:00,0.0,0.0,0.0,0.0
Iceland Shrewsbury,110.0,5.0,56.0,2025-11-18 01:15:30+00:00,0.0,0.0,0.0,0.0
Iceland Shrewsbury,110.0,5.0,56.0,2025-11-18 01:30:30+00:00,0.0,0.0,0.0,0.0
Iceland Shrewsbury,110.0,5.0,56.0,2025-11-18 01:45:30+00:00,0.0,0.0,0.0,0.0
Iceland Shrewsbury,110.0,5.0,56.0,2025-11-18 02:00:30+00:00,0.0,0.0,0.0,0.0
Iceland Shrewsbury,110.0,5.0,56.0,2025-11-18 02:15:30+00:00,0.0,0.0,0.0,0.0
Iceland Shrewsbury,110.0,5.0,56.0,2025-11-18 02:30:30+00:00,0.0,0.0,0.0,0.0
Iceland Shrewsbury,110.0,5.0,56.0,2025-11-18 02:45:30+00:00,0.0,0.0,0.0,0.0
Iceland Shrewsbury,110.0,5.0,56.0,2025-11-18 03:00:30+00:00,0.0,0.0,0.0,0.0
Iceland Shrewsbury,110.0,5.0,56.0,2025-11-18 03:15:30+00:00,0.0,0.0,0.0,0.0
Iceland Shrewsbury,110.0,5.0,56.0,2025-11-18 03:30:30+00:00,0.0,0.0,0.0,0.0
Iceland Shrewsbury,110.0,5.0,56.0,2025-11-18 03:45:30+00:00,0.0,0.0,0.0,0.0
Iceland Shrewsbury,110.0,5.0,56.0,2025-11-18 04:00:30+00:00,0.0,0.0,0.0,0.0
Iceland Shrewsbury,110.0,5.0,56.0,2025-11-18 04:15:30+00:00,0.0,0.0,0.0,0.0
Iceland Shrewsbury,110.0,5.0,56.0,2025-11-18 04:30:30+00:00,0.0,0.0,0.0,0.0
Iceland Shrewsbury,110.0,5.0,56.0,2025-11-18 04:45:30+00:00,0.0,0.0,0.0,0.0
Iceland Shrewsbury,110.0,5.0,56.0,2025-11-18 05:00:30+00:00,0.0,0.0,0.0,0.0
Iceland Shrewsbury,110.0,5.0,56.0,2025-11-18 05:15:30+00:00,0.0,0.0,0.0,0.0
Iceland Shrewsbury,110.0,5.0,56.0,2025-11-18 05:30:30+00:00,0.0,0.0,0.0,0.0
Iceland Shrewsbury,110.0,5.0,56.0,2025-11-18 05:45:30+00:00,0.0,0.0,0.0,0.0
Iceland Shrewsbury,110.0,5.0,56.0,2025-11-18 06:00:30+00:00,0.0,0.0,0.0,0.0
Iceland Shrewsbury,110.0,5.0,56.0,2025-11-18 06:15:30+00:00,0.0,0.0,0.0,0.0
Iceland Shrewsbury,110.0,5.0,56.0,2025-11-18 06:30:30+00:00,0.0,0.0,0.0,0.0
Iceland Shrewsbury,110.0,5.0,56.0,2025-11-18 06:45:30+00:00,0.0,0.0,0.0,0.0
Iceland Shrewsbury,110.0,5.0,56.0,2025-11-18 07:00:30+00:00,0.0,0.0,0.0,0.0
Iceland Shrewsbury,110.0,5.0,56.0,2025-11-18 07:15:30+00:00,0.0,0.0,0.0,0.0
Iceland Shrewsbury,110.0,5.0,56.0,2025-11-18 07:30:30+00:00,0.0,0.0,0.0,0.0
Iceland Shrewsbury,110.0,5.0,56.0,2025-11-18 07:45:30+00:00,0.002,0.00175,0.00225,0.002
Iceland Shrewsbury,110.0,5.0,56.0,2025-11-18 08:00:30+00:00,0.01175,0.00725,0.01375,0.00625
Iceland Shrewsbury,110.0,5.0,56.0,2025-11-18 08:15:30+00:00,0.01825,0.009,0.02225,0.012
Iceland Shrewsbury,110.0,5.0,56.0,2025-11-18 08:30:30+00:00,0.02225,0.0095,0.03,0.0165
Iceland Shrewsbury,110.0,5.0,56.0,2025-11-18 08:45:30+00:00,0.02475,0.00975,0.038,0.01925
Iceland Shrewsbury,110.0,5.0,56.0,2025-11-18 09:00:30+00:00,0.02325,0.0095,0.03825,0.0205
Iceland Shrewsbury,110.0,5.0,56.0,2025-11-18 09:15:30+00:00,0.025,0.01225,0.03925,0.0225
Iceland Shrewsbury,110.0,5.0,56.0,2025-11-18 09:30:30+00:00,0.0295,0.0105,0.04425,0.02675
Iceland Shrewsbury,110.0,5.0,56.0,2025-11-18 09:45:30+00:00,0.0265,0.00825,0.04925,0.02525
Iceland Shrewsbury,110.0,5.0,56.0,2025-11-18 10:00:30+00:00,0.03175,0.0105,0.065,0.02975
Iceland Shrewsbury,110.0,5.0,56.0,2025-11-18 10:15:30+00:00,0.0575,0.02,0.0755,0.0505
Iceland Shrewsbury,110.0,5.0,56.0,2025-11-18 10:30:30+00:00,0.065,0.03725,0.0805,0.057
Iceland Shrewsbury,110.0,5.0,56.0,2025-11-18 10:45:30+00:00,0.07075,0.0495,0.08425,0.0625
Iceland Shrewsbury,110.0,5.0,56.0,2025-11-18 11:00:30+00:00,0.074,0.06,0.0865,0.066
