name,azimuth,slope,array_capacity,time,gti,gti_low,gti_high,ghi
Knowles,183.0,8.0,500.25,2025-11-19 00:00:30+00:00,0.0,0.0,0.0,0.0
Knowles,183.0,8.0,500.25,2025-11-19 00:15:30+00:00,0.0,0.0,0.0,0.0
Knowles,183.0,8.0,500.25,2025-11-19 00:30:30+00:00,0.0,0.0,0.0,0.0
Knowles,183.0,8.0,500.25,2025-11-19 00:45:30+00:00,0.0,0.0,0.0,0.0
Knowles,183.0,8.0,500.25,2025-11-19 01:00:30+00:00,0.0,0.0,0.0,0.0
Knowles,183.0,8.0,500.25,2025-11-19 01:15:30+00:00,0.0,0.0,0.0,0.0
Knowles,183.0,8.0,500.25,2025-11-19 01:30:30+00:00,0.0,0.0,0.0,0.0
Knowles,183.0,8.0,500.25,2025-11-19 01:45:30+00:00,0.0,0.0,0.0,0.0
Knowles,183.0,8.0,500.25,2025-11-19 02:00:30+00:00,0.0,0.0,0.0,0.0
Knowles,183.0,8.0,500.25,2025-11-19 02:15:30+00:00,0.0,0.0,0.0,0.0
Knowles,183.0,8.0,500.25,2025-11-19 02:30:30+00:00,0.0,0.0,0.0,0.0
Knowles,183.0,8.0,500.25,2025-11-19 02:45:30+00:00,0.0,0.0,0.0,0.0
Knowles,183.0,8.0,500.25,2025-11-19 03:00:30+00:00,0.0,0.0,0.0,0.0
Knowles,183.0,8.0,500.25,2025-11-19 03:15:30+00:00,0.0,0.0,0.0,0.0
Knowles,183.0,8.0,500.25,2025-11-19 03:30:30+00:00,0.0,0.0,0.0,0.0
Knowles,183.0,8.0,500.25,2025-11-19 03:45:30+00:00,0.0,0.0,0.0,0.0
Knowles,183.0,8.0,500.25,2025-11-19 04:00:30+00:00,0.0,0.0,0.0,0.0
Knowles,183.0,8.0,500.25,2025-11-19 04:15:30+00:00,0.0,0.0,0.0,0.0
Knowles,183.0,8.0,500.25,2025-11-19 04:30:30+00:00,0.0,0.0,0.0,0.0
Knowles,183.0,8.0,500.25,2025-11-19 04:45:30+00:00,0.0,0.0,0.0,0.0
Knowles,183.0,8.0,500.25,2025-11-19 05:00:30+00:00,0.0,0.0,0.0,0.0
Knowles,183.0,8.0,500.25,2025-11-19 05:15:30+00:00,0.0,0.0,0.0,0.0
Knowles,183.0,8.0,500.25,2025-11-19 05:30:30+00:00,0.0,0.0,0.0,0.0
Knowles,183.0,8.0,500.25,2025-11-19 05:45:30+00:00,0.0,0.0,0.0,0.0
Knowles,183.0,8.0,500.25,2025-11-19 06:00:30+00:00,0.0,0.0,0.0,0.0
Knowles,183.0,8.0,500.25,2025-11-19 06:15:30+00:00,0.0,0.0,0.0,0.0
Knowles,183.0,8.0,500.25,2025-11-19 06:30:30+00:00,0.0,0.0,0.0,0.0
Knowles,183.0,8.0,500.25,2025-11-19 06:45:30+00:00,0.0,0.0,0.0,0.0
Knowles,183.0,8.0,500.25,2025-11-19 07:00:30+00:00,0.0,0.0,0.0,0.0
Knowles,183.0,8.0,500.25,2025-11-19 07:15:30+00:00,0.0,0.0,0.0,0.0
Knowles,183.0,8.0,500.25,2025-11-19 07:30:30+00:00,0.00025,0.00025,0.0005,0.00025
Knowles,183.0,8.0,500.25,2025-11-19 07:45:30+00:00,0.00275,0.00125,0.00475,0.00275
Knowles,183.0,8.0,500.25,2025-11-19 08:00:30+00:00,0.00725,0.00325,0.011,0.0065
Knowles,183.0,8.0,500.25,2025-11-19 08:15:30+00:00,0.01125,0.00475,0.01675,0.00975
Knowles,183.0,8.0,500.25,2025-11-19 08:30:30+00:00,0.013,0.007,0.02175,0.012
Knowles,183.0,8.0,500.25,2025-11-19 08:45:30+00:00,0.02125,0.0095,0.029,0.018
Knowles,183.0,8.0,500.25,2025-11-19 09:00:30+00:00,0.0205,0.00925,0.0345,0.0185
Knowles,183.0,8.0,500.25,2025-11-19 09:15:30+00:00,0.025,0.00925,0.0435,0.02275
Knowles,183.0,8.0,500.25,2025-11-19 09:30:30+00:00,0.03525,0.015,0.06,0.03
Knowles,183.0,8.0,500.25,2025-11-19 09:45:30+00:00,0.0545,0.02425,0.074,0.043
Knowles,183.0,8.0,500.25,2025-11-19 10:00:30+00:00,0.0645,0.036,0.083,0.04925
Knowles,183.0,8.0,500.25,2025-11-19 10:15:30+00:00,0.0665,0.04675,0.0885,0.051
Knowles,183.0,8.0,500.25,2025-11-19 10:30:30+00:00,0.08225,0.05125,0.09225,0.0635
Knowles,183.0,8.0,500.25,2025-11-19 10:45:30+00:00,0.0675,0.048,0.09275,0.054
Knowles,183.0,8.0,500.25,2025-11-19 11:00:30+00:00,0.08525,0.04175,0.0985,0.06625
Knowles,183.0,8.0,500.25,2025-11-19 11:15:30+00:00,0.08125,0.02425,0.09825,0.0645
Knowles,183.0,8.0,500.25,2025-11-19 11:30:30+00:00,0.0375,0.0075,0.08675,0.033
Knowles,183.0,8.0,500.25,2025-11-19 11:45:30+00:00,0.02475,0.006,0.06375,0.0235
Knowles,183.0,8.0,500.25,2025-11-19 12:00:30+00:00,0.017,0.00575,0.068,0.01675
Knowles,183.0,8.0,500.25,2025-11-19 12:15:30+00:00,0.06925,0.01375,0.086,0.05575
Knowles,183.0,8.0,500.25,2025-11-19 12:30:30+00:00,0.03425,0.00675,0.07825,0.02925
Knowles,183.0,8.0,500.25,2025-11-19 12:45:30+00:00,0.0135,0.00525,0.054,0.01325
Knowles,183.0,8.0,500.25,2025-11-19 13:00:30+00:00,0.029,0.00575,0.05975,0.0265
Knowles,183.0,8.0,500.25,2025-11-19 13:15:30+00:00,0.0415,0.00825,0.066,0.0355
Knowles,183.0,8.0,500.25,2025-11-19 13:30:30+00:00,0.026,0.00525,0.055,0.02375
Knowles,183.0,8.0,500.25,2025-11-19 13:45:30+00:00,0.01175,0.004,0.03925,0.01175
Knowles,183.0,8.0,500.25,2025-11-19 14:00:30+00:00,0.006,0.0035,0.02375,0.006
Knowles,183.0,8.0,500.25,2025-11-19 14:15:30+00:00,0.0075,0.003,0.03025,0.0075
Knowles,183.0,8.0,500.25,2025-11-19 14:30:30+00:00,0.02275,0.0045,0.041,0.018
Knowles,183.0,8.0,500.25,2025-11-19 14:45:30+00:00,0.032,0.009,0.0375,0.02225
Knowles,183.0,8.0,500.25,2025-11-19 15:00:30+00:00,0.0275,0.013,0.0305,0.017
Knowles,183.0,8.0,500.25,2025-11-19 15:15:30+00:00,0.01775,0.01025,0.0205,0.01
Knowles,183.0,8.0,500.25,2025-11-19 15:30:30+00:00,0.006,0.00475,0.00675,0.00425
Knowles,183.0,8.0,500.25,2025-11-19 15:45:30+00:00,0.00175,0.00125,0.00175,0.00175
Knowles,183.0,8.0,500.25,2025-11-19 16:00:30+00:00,0.0,0.0,0.0,0.0
Knowles,183.0,8.0,500.25,2025-11-19 16:15:30+00:00,0.0,0.0,0.0,0.0
Knowles,183.0,8.0,500.25,2025-11-19 16:30:30+00:00,0.0,0.0,0.0,0.0
Knowles,183.0,8.0,500.25,2025-11-19 16:45:30+00:00,0.0,0.0,0.0,0.0
Knowles,183.0,8.0,500.25,2025-11-19 17:00:30+00:00,0.0,0.0,0.0,0.0
Knowles,183.0,8.0,500.25,2025-11-19 17:15:30+00:00,0.0,0.0,0.0,0.0
Knowles,183.0,8.0,500.25,2025-11-19 17:30:30+00:00,0.0,0.0,0.0,0.0
Knowles,183.0,8.0,500.25,2025-11-19 17:45:30+00:00,0.0,0.0,0.0,0.0
Knowles,183.0,8.0,500.25,2025-11-19 18:00:30+00:00,0.0,0.0,0.0,0.0
Knowles,183.0,8.0,500.25,2025-11-19 18:15:30+00:00,0.0,0.0,0.0,0.0
Knowles,183.0,8.0,500.25,2025-11-19 18:30:30+00:00,0.0,0.0,0.0,0.0
Knowles,183.0,8.0,500.25,2025-11-19 18:45:30+00:00,0.0,0.0,0.0,0.0
Knowles,183.0,8.0,500.25,2025-11-19 19:00:30+00:00,0.0,0.0,0.0,0.0
Knowles,183.0,8.0,500.25,2025-11-19 19:15:30+00:00,0.0,0.0,0.0,0.0
Knowles,183.0,8.0,500.25,2025-11-19 19:30:30+00:00,0.0,0.0,0.0,0.0
Knowles,183.0,8.0,500.25,2025-11-19 19:45:30+00:00,0.0,0.0,0.0,0.0
Knowles,183.0,8.0,500.25,2025-11-19 20:00:30+00:00,0.0,0.0,0.0,0.0
Knowles,183.0,8.0,500.25,2025-11-19 20:15:30+00:00,0.0,0.0,0.0,0.0
Knowles,183.0,8.0,500.25,2025-11-19 20:30:30+00:00,0.0,0.0,0.0,0.0
Knowles,183.0,8.0,500.25,2025-11-19 20:45:30+00:00,0.0,0.0,0.0,0.0
Knowles,183.0,8.0,500.25,2025-11-19 21:00:30+00:00,0.0,0.0,0.0,0.0
Knowles,183.0,8.0,500.25,2025-11-19 21:15:30+00:00,0.0,0.0,0.0,0.0
Knowles,183.0,8.0,500.25,2025-11-19 21:30:30+00:00,0.0,0.0,0.0,0.0
Knowles,183.0,8.0,500.25,2025-11-19 21:45:30+00:00,0.0,0.0,0.0,0.0
Knowles,183.0,8.0,500.25,2025-11-19 22:00:30+00:00,0.0,0.0,0.0,0.0
Knowles,183.0,8.0,500.25,2025-11-19 22:15:30+00:00,0.0,0.0,0.0,0.0
Knowles,183.0,8.0,500.25,2025-11-19 22:30:30+00:00,0.0,0.0,0.0,0.0
Knowles,183.0,8.0,500.25,2025-11-19 22:45:30+00:00,0.0,0.0,0.0,0.0
Knowles,183.0,8.0,500.25,2025-11-19 23:00:30+00:00,0.0,0.0,0.0,0.0
Knowles,183.0,8.0,500.25,2025-11-19 23:15:30+00:00,0.0,0.0,0.0,0.0
Knowles,183.0,8.0,500.25,2025-11-19 23:30:30+00:00,0.0,0.0,0.0,0.0
Knowles,183.0,8.0,500.25,2025-11-19 23:45:30+00:00,0.0,0.0,0.0,0.0
Knowles,183.0,8.0,500.25,2025-11-20 00:00:30+00:00,0.0,0.0,0.0,0.0
Knowles,183.0,8.0,500.25,2025-11-20 00:15:30+00:00,0.0,0.0,0.0,0.0
Knowles,183.0,8.0,500.25,2025-11-20 00:30:30+00:00,0.0,0.0,0.0,0.0
Knowles,183.0,8.0,500.25,2025-11-20 00:45:30+00:00,0.0,0.0,0.0,0.0
Knowles,183.0,8.0,500.25,2025-11-20 01:00:30+00:00,0.0,0.0,0.0,0.0
Knowles,183.0,8.0,500.25,2025-11-20 01:15:30+00:00,0.0,0.0,0.0,0.0
Knowles,183.0,8.0,500.25,2025-11-20 01:30:30+00:00,0.0,0.0,0.0,0.0
Knowles,183.0,8.0,500.25,2025-11-20 01:45:30+00:00,0.0,0.0,0.0,0.0
Knowles,183.0,8.0,500.25,2025-11-20 02:00:30+00:00,0.0,0.0,0.0,0.0
Knowles,183.0,8.0,500.25,2025-11-20 02:15:30+00:00,0.0,0.0,0.0,0.0
Knowles,183.0,8.0,500.25,2025-11-20 02:30:30+00:00,0.0,0.0,0.0,0.0
Knowles,183.0,8.0,500.25,2025-11-20 02:45:30+00:00,0.0,0.0,0.0,0.0
Knowles,183.0,8.0,500.25,2025-11-20 03:00:30+00:00,0.0,0.0,0.0,0.0
Knowles,183.0,8.0,500.25,2025-11-20 03:15:30+00:00,0.0,0.0,0.0,0.0
Knowles,183.0,8.0,500.25,2025-11-20 03:30:30+00:00,0.0,0.0,0.0,0.0
Knowles,183.0,8.0,500.25,2025-11-20 03:45:30+00:00,0.0,0.0,0.0,0.0
Knowles,183.0,8.0,500.25,2025-11-20 04:00:30+00:00,0.0,0.0,0.0,0.0
Knowles,183.0,8.0,500.25,2025-11-20 04:15:30+00:00,0.0,0.0,0.0,0.0
Knowles,183.0,8.0,500.25,2025-11-20 04:30:30+00:00,0.0,0.0,0.0,0.0
Knowles,183.0,8.0,500.25,2025-11-20 04:45:30+00:00,0.0,0.0,0.0,0.0
Knowles,183.0,8.0,500.25,2025-11-20 05:00:30+00:00,0.0,0.0,0.0,0.0
Knowles,183.0,8.0,500.25,2025-11-20 05:15:30+00:00,0.0,0.0,0.0,0.0
Knowles,183.0,8.0,500.25,2025-11-20 05:30:30+00:00,0.0,0.0,0.0,0.0
Knowles,183.0,8.0,500.25,2025-11-20 05:45:30+00:00,0.0,0.0,0.0,0.0
Knowles,183.0,8.0,500.25,2025-11-20 06:00:30+00:00,0.0,0.0,0.0,0.0
Knowles,183.0,8.0,500.25,2025-11-20 06:15:30+00:00,0.0,0.0,0.0,0.0
Knowles,183.0,8.0,500.25,2025-11-20 06:30:30+00:00,0.0,0.0,0.0,0.0
Knowles,183.0,8.0,500.25,2025-11-20 06:45:30+00:00,0.0,0.0,0.0,0.0
Knowles,183.0,8.0,500.25,2025-11-20 07:00:30+00:00,0.0,0.0,0.0,0.0
Knowles,183.0,8.0,500.25,2025-11-20 07:15:30+00:00,0.0,0.0,0.0,0.0
Knowles,183.0,8.0,500.25,2025-11-20 07:30:30+00:00,0.00025,0.00025,0.00025,0.00025
Knowles,183.0,8.0,500.25,2025-11-20 07:45:30+00:00,0.0035,0.00275,0.00425,0.0035
Knowles,183.0,8.0,500.25,2025-11-20 08:00:30+00:00,0.0135,0.0085,0.01625,0.00875
Knowles,183.0,8.0,500.25,2025-11-20 08:15:30+00:00,0.02025,0.014,0.02575,0.014
Knowles,183.0,8.0,500.25,2025-11-20 08:30:30+00:00,0.03025,0.02075,0.03625,0.02125
Knowles,183.0,8.0,500.25,2025-11-20 08:45:30+00:00,0.04025,0.029,0.04725,0.02775
Knowles,183.0,8.0,500.25,2025-11-20 09:00:30+00:00,0.04875,0.0365,0.05675,0.03375
Knowles,183.0,8.0,500.25,2025-11-20 09:15:30+00:00,0.0565,0.04325,0.06575,0.0395
Knowles,183.0,8.0,500.25,2025-11-20 09:30:30+00:00,0.06325,0.04825,0.0735,0.04475
Knowles,183.0,8.0,500.25,2025-11-20 09:45:30+00:00,0.0655,0.053,0.0795,0.0475
Knowles,183.0,8.0,500.25,2025-11-20 10:00:30+00:00,0.073,0.05575,0.08575,0.05325
Knowles,183.0,8.0,500.25,2025-11-20 10:15:30+00:00,0.0725,0.05775,0.08925,0.0545
Knowles,183.0,8.0,500.25,2025-11-20 10:30:30+00:00,0.07675,0.05275,0.0935,0.058
Knowles,183.0,8.0,500.25,2025-11-20 10:45:30+00:00,0.07375,0.04575,0.0965,0.05625
Knowles,183.0,8.0,500.25,2025-11-20 11:00:30+00:00,0.0745,0.0305,0.0975,0.058
Knowles,183.0,8.0,500.25,2025-11-20 11:15:30+00:00,0.049,0.0175,0.0885,0.042
Knowles,183.0,8.0,500.25,2025-11-20 11:30:30+00:00,0.0395,0.012,0.06925,0.03625
