name,azimuth,slope,array_capacity,time,gti,gti_low,gti_high,ghi
Park Hall Hotel,218.0,30.0,61.2,2025-11-18 00:00:30+00:00,0.0,0.0,0.0,0.0
Park Hall Hotel,218.0,30.0,61.2,2025-11-18 00:15:30+00:00,0.0,0.0,0.0,0.0
Park Hall Hotel,218.0,30.0,61.2,2025-11-18 00:30:30+00:00,0.0,0.0,0.0,0.0
Park Hall Hotel,218.0,30.0,61.2,2025-11-18 00:45:30+00:00,0.0,0.0,0.0,0.0
Park Hall Hotel,218.0,30.0,61.2,2025-11-18 01:00:30+00:00,0.0,0.0,0.0,0.0
Park Hall Hotel,218.0,30.0,61.2,2025-11-18 01:15:30+00:00,0.0,0.0,0.0,0.0
Park Hall Hotel,218.0,30.0,61.2,2025-11-18 01:30:30+00:00,0.0,0.0,0.0,0.0
Park Hall Hotel,218.0,30.0,61.2,2025-11-18 01:45:30+00:00,0.0,0.0,0.0,0.0
Park Hall Hotel,218.0,30.0,61.2,2025-11-18 02:00:30+00:00,0.0,0.0,0.0,0.0
Park Hall Hotel,218.0,30.0,61.2,2025-11-18 02:15:30+00:00,0.0,0.0,0.0,0.0
Park Hall Hotel,218.0,30.0,61.2,2025-11-18 02:30:30+00:00,0.0,0.0,0.0,0.0
Park Hall Hotel,218.0,30.0,61.2,2025-11-18 02:45:30+00:00,0.0,0.0,0.0,0.0
Park Hall Hotel,218.0,30.0,61.2,2025-11-18 03:00:30+00:00,0.0,0.0,0.0,0.0
Park Hall Hotel,218.0,30.0,61.2,2025-11-18 03:15:30+00:00,0.0,0.0,0.0,0.0
Park Hall Hotel,218.0,30.0,61.2,2025-11-18 03:30:30+00:00,0.0,0.0,0.0,0.0
Park Hall Hotel,218.0,30.0,61.2,2025-11-18 03:45:30+00:00,0.0,0.0,0.0,0.0
Park Hall Hotel,218.0,30.0,61.2,2025-11-18 04:00:30+00:00,0.0,0.0,0.0,0.0
Park Hall Hotel,218.0,30.0,61.2,2025-11-18 04:15:30+00:00,0.0,0.0,0.0,0.0
Park Hall Hotel,218.0,30.0,61.2,2025-11-18 04:30:30+00:00,0.0,0.0,0.0,0.0
Park Hall Hotel,218.0,30.0,61.2,2025-11-18 04:45:30+00:00,0.0,0.0,0.0,0.0
Park Hall Hotel,218.0,30.0,61.2,2025-11-18 05:00:30+00:00,0.0,0.0,0.0,0.0
Park Hall Hotel,218.0,30.0,61.2,2025-11-18 05:15:30+00:00,0.0,0.0,0.0,0.0
Park Hall Hotel,218.0,30.0,61.2,2025-11-18 05:30:30+00:00,0.0,0.0,0.0,0.0
Park Hall Hotel,218.0,30.0,61.2,2025-11-18 05:45:30+00:00,0.0,0.0,0.0,0.0
Park Hall Hotel,218.0,30.0,61.2,2025-11-18 06:00:30+00:00,0.0,0.0,0.0,0.0
Park Hall Hotel,218.0,30.0,61.2,2025-11-18 06:15:30+00:00,0.0,0.0,0.0,0.0
Park Hall Hotel,218.0,30.0,61.2,2025-11-18 06:30:30+00:00,0.0,0.0,0.0,0.0
Park Hall Hotel,218.0,30.0,61.2,2025-11-18 06:45:30+00:00,0.0,0.0,0.0,0.0
Park Hall Hotel,218.0,30.0,61.2,2025-11-18 07:00:30+00:00,0.0,0.0,0.0,0.0
Park Hall Hotel,218.0,30.0,61.2,2025-11-18 07:15:30+00:00,0.0,0.0,0.0,0.0
Park Hall Hotel,218.0,30.0,61.2,2025-11-18 07:30:30+00:00,0.0,0.0,0.0,0.0
Park Hall Hotel,218.0,30.0,61.2,2025-11-18 07:45:30+00:00,0.0005,0.0,0.00075,0.00075
Park Hall Hotel,218.0,30.0,61.2,2025-11-18 08:00:30+00:00,0.00075,0.00025,0.00275,0.00075
Park Hall Hotel,218.0,30.0,61.2,2025-11-18 08:15:30+00:00,0.00175,0.00075,0.007,0.002
Park Hall Hotel,218.0,30.0,61.2,2025-11-18 08:30:30+00:00,0.004,0.00125,0.011,0.00425
Park Hall Hotel,218.0,30.0,61.2,2025-11-18 08:45:30+00:00,0.00675,0.00175,0.015,0.0075
Park Hall Hotel,218.0,30.0,61.2,2025-11-18 09:00:30+00:00,0.012,0.00225,0.01975,0.01225
Park Hall Hotel,218.0,30.0,61.2,2025-11-18 09:15:30+00:00,0.0115,0.00275,0.022,0.01225
Park Hall Hotel,218.0,30.0,61.2,2025-11-18 09:30:30+00:00,0.01025,0.003,0.0225,0.011
Park Hall Hotel,218.0,30.0,61.2,2025-11-18 09:45:30+00:00,0.011,0.0035,0.0235,0.01175
Park Hall Hotel,218.0,30.0,61.2,2025-11-18 10:00:30+00:00,0.0085,0.00375,0.0245,0.00925
Park Hall Hotel,218.0,30.0,61.2,2025-11-18 10:15:30+00:00,0.01625,0.00475,0.0315,0.01575
Park Hall Hotel,218.0,30.0,61.2,2025-11-18 10:30:30+00:00,0.02125,0.005,0.035,0.0205
Park Hall Hotel,218.0,30.0,61.2,2025-11-18 10:45:30+00:00,0.018,0.0055,0.03625,0.0165
Park Hall Hotel,218.0,30.0,61.2,2025-11-18 11:00:30+00:00,0.0105,0.00525,0.036,0.0105
Park Hall Hotel,218.0,30.0,61.2,2025-11-18 11:15:30+00:00,0.02975,0.00675,0.04975,0.02325
Park Hall Hotel,218.0,30.0,61.2,2025-11-18 11:30:30+00:00,0.0125,0.0065,0.04975,0.0105
Park Hall Hotel,218.0,30.0,61.2,2025-11-18 11:45:30+00:00,0.03625,0.00725,0.0765,0.028
Park Hall Hotel,218.0,30.0,61.2,2025-11-18 12:00:30+00:00,0.05675,0.01125,0.09175,0.03975
Park Hall Hotel,218.0,30.0,61.2,2025-11-18 12:15:30+00:00,0.04225,0.0085,0.086,0.03125
Park Hall Hotel,218.0,30.0,61.2,2025-11-18 12:30:30+00:00,0.032,0.007,0.06925,0.0245
Park Hall Hotel,218.0,30.0,61.2,2025-11-18 12:45:30+00:00,0.0145,0.0055,0.04425,0.01375
