name,azimuth,slope,array_capacity,time,gti,gti_low,gti_high,ghi
Swift Dental Group,55.0,10.0,44.625,2025-11-18 00:00:30+00:00,0.0,0.0,0.0,0.0
Swift Dental Group,55.0,10.0,44.625,2025-11-18 00:15:30+00:00,0.0,0.0,0.0,0.0
Swift Dental Group,55.0,10.0,44.625,2025-11-18 00:30:30+00:00,0.0,0.0,0.0,0.0
Swift Dental Group,55.0,10.0,44.625,2025-11-18 00:45:30+00:00,0.0,0.0,0.0,0.0
Swift Dental Group,55.0,10.0,44.625,2025-11-18 01:00:30+00:00,0.0,0.0,0.0,0.0
Swift Dental Group,55.0,10.0,44.625,2025-11-18 01:15:30+00:00,0.0,0.0,0.0,0.0
Swift Dental Group,55.0,10.0,44.625,2025-11-18 01:30:30+00:00,0.0,0.0,0.0,0.0
Swift Dental Group,55.0,10.0,44.625,2025-11-18 01:45:30+00:00,0.0,0.0,0.0,0.0
Swift Dental Group,55.0,10.0,44.625,2025-11-18 02:00:30+00:00,0.0,0.0,0.0,0.0
Swift Dental Group,55.0,10.0,44.625,2025-11-18 02:15:30+00:00,0.0,0.0,0.0,0.0
Swift Dental Group,55.0,10.0,44.625,2025-11-18 02:30:30+00:00,0.0,0.0,0.0,0.0
Swift Dental Group,55.0,10.0,44.625,2025-11-18 02:45:30+00:00,0.0,0.0,0.0,0.0
Swift Dental Group,55.0,10.0,44.625,2025-11-18 03:00:30+00:00,0.0,0.0,0.0,0.0
Swift Dental Group,55.0,10.0,44.625,2025-11-18 03:15:30+00:00,0.0,0.0,0.0,0.0
Swift Dental Group,55.0,10.0,44.625,2025-11-18 03:30:30+00:00,0.0,0.0,0.0,0.0
Swift Dental Group,55.0,10.0,44.625,2025-11-18 03:45:30+00:00,0.0,0.0,0.0,0.0
Swift Dental Group,55.0,10.0,44.625,2025-11-18 04:00:30+00:00,0.0,0.0,0.0,0.0
Swift Dental Group,55.0,10.0,44.625,2025-11-18 04:15:30+00:00,0.0,0.0,0.0,0.0
Swift Dental Group,55.0,10.0,44.625,2025-11-18 04:30:30+00:00,0.0,0.0,0.0,0.0
Swift Dental Group,55.0,10.0,44.625,2025-11-18 04:45:30+00:00,0.0,0.0,0.0,0.0
Swift Dental Group,55.0,10.0,44.625,2025-11-18 05:00:30+00:00,0.0,0.0,0.0,0.0
Swift Dental Group,55.0,10.0,44.625,2025-11-18 05:15:30+00:00,0.0,0.0,0.0,0.0
Swift Dental Group,55.0,10.0,44.625,2025-11-18 05:30:30+00:00,0.0,0.0,0.0,0.0
Swift Dental Group,55.0,10.0,44.625,2025-11-18 05:45:30+00:00,0.0,0.0,0.0,0.0
Swift Dental Group,55.0,10.0,44.625,2025-11-18 06:00:30+00:00,0.0,0.0,0.0,0.0
Swift Dental Group,55.0,10.0,44.625,2025-11-18 06:15:30+00:00,0.0,0.0,0.0,0.0
Swift Dental Group,55.0,10.0,44.625,2025-11-18 06:30:30+00:00,0.0,0.0,0.0,0.0
Swift Dental Group,55.0,10.0,44.625,2025-11-18 06:45:30+00:00,0.0,0.0,0.0,0.0
Swift Dental Group,55.0,10.0,44.625,2025-11-18 07:00:30+00:00,0.0,0.0,0.0,0.0
Swift Dental Group,55.0,10.0,44.625,2025-11-18 07:15:30+00:00,0.0,0.0,0.0,0.0
Swift Dental Group,55.0,10.0,44.625,2025-11-18 07:30:30+00:00,0.0,0.0,0.0,0.0
Swift Dental Group,55.0,10.0,44.625,2025-11-18 07:45:30+00:00,0.001,0.00025,0.001,0.001
Swift Dental Group,55.0,10.0,44.625,2025-11-18 08:00:30+00:00,0.0025,0.0005,0.00575,0.0025
Swift Dental Group,55.0,10.0,44.625,2025-11-18 08:15:30+00:00,0.00475,0.001,0.01025,0.005
Swift Dental Group,55.0,10.0,44.625,2025-11-18 08:30:30+00:00,0.0065,0.0015,0.01475,0.00675
Swift Dental Group,55.0,10.0,44.625,2025-11-18 08:45:30+00:00,0.0075,0.002,0.01825,0.00775
Swift Dental Group,55.0,10.0,44.625,2025-11-18 09:00:30+00:00,0.00725,0.0025,0.0265,0.00725
Swift Dental Group,55.0,10.0,44.625,2025-11-18 09:15:30+00:00,0.0225,0.0045,0.0345,0.0225
Swift Dental Group,55.0,10.0,44.625,2025-11-18 09:30:30+00:00,0.0225,0.0045,0.041,0.023
Swift Dental Group,55.0,10.0,44.625,2025-11-18 09:45:30+00:00,0.02275,0.0045,0.042,0.0235
Swift Dental Group,55.0,10.0,44.625,2025-11-18 10:00:30+00:00,0.01925,0.004,0.04125,0.02025
Swift Dental Group,55.0,10.0,44.625,2025-11-18 10:15:30+00:00,0.015,0.0045,0.03825,0.0155
Swift Dental Group,55.0,10.0,44.625,2025-11-18 10:30:30+00:00,0.0085,0.00475,0.032,0.00875
Swift Dental Group,55.0,10.0,44.625,2025-11-18 10:45:30+00:00,0.007,0.005,0.0245,0.007
Swift Dental Group,55.0,10.0,44.625,2025-11-18 11:00:30+00:00,0.00475,0.003,0.019,0.00475
Swift Dental Group,55.0,10.0,44.625,2025-11-18 11:15:30+00:00,0.0105,0.00525,0.02025,0.0105
Swift Dental Group,55.0,10.0,44.625,2025-11-18 11:30:30+00:00,0.00625,0.0055,0.022,0.0065
Swift Dental Group,55.0,10.0,44.625,2025-11-18 11:45:30+00:00,0.0105,0.00525,0.02475,0.01075
Swift Dental Group,55.0,10.0,44.625,2025-11-18 12:00:30+00:00,0.0105,0.0055,0.031,0.01075
Swift Dental Group,55.0,10.0,44.625,2025-11-18 12:15:30+00:00,0.007,0.00525,0.02825,0.00725
Swift Dental Group,55.0,10.0,44.625,2025-11-18 12:30:30+00:00,0.021,0.00475,0.04525,0.024
Swift Dental Group,55.0,10.0,44.625,2025-11-18 12:45:30+00:00,0.0265,0.00525,0.043,0.03225
Swift Dental Group,55.0,10.0,44.625,2025-11-18 13:00:30+00:00,0.01325,0.0045,0.043,0.01475
Swift Dental Group,55.0,10.0,44.625,2025-11-18 13:15:30+00:00,0.013,0.004,0.03025,0.01525
Swift Dental Group,55.0,10.0,44.625,2025-11-18 13:30:30+00:00,0.006,0.00375,0.0245,0.007
Swift Dental Group,55.0,10.0,44.625,2025-11-18 13:45:30+00:00,0.0085,0.00375,0.03075,0.00925
Swift Dental Group,55.0,10.0,44.625,2025-11-18 14:00:30+00:00,0.01475,0.00325,0.03725,0.01625
Swift Dental Group,55.0,10.0,44.625,2025-11-18 14:15:30+00:00,0.01725,0.0035,0.0255,0.02725
Swift Dental Group,55.0,10.0,44.625,2025-11-18 14:30:30+00:00,0.01175,0.00375,0.022,0.019
Swift Dental Group,55.0,10.0,44.625,2025-11-18 14:45:30+00:00,0.00975,0.0035,0.01625,0.01675
Swift Dental Group,55.0,10.0,44.625,2025-11-18 15:00:30+00:00,0.00875,0.00275,0.0125,0.0145
Swift Dental Group,55.0,10.0,44.625,2025-11-18 15:15:30+00:00,0.00625,0.0025,0.01375,0.0065
Swift Dental Group,55.0,10.0,44.625,2025-11-18 15:30:30+00:00,0.0035,0.00075,0.00675,0.0035
Swift Dental Group,55.0,10.0,44.625,2025-11-18 15:45:30+00:00,0.001,0.00025,0.00225,0.001
Swift Dental Group,55.0,10.0,44.625,2025-11-18 16:00:30+00:00,0.0,0.0,0.0,0.0
Swift Dental Group,55.0,10.0,44.625,2025-11-18 16:15:30+00:00,0.0,0.0,0.0,0.0
Swift Dental Group,55.0,10.0,44.625,2025-11-18 16:30:30+00:00,0.0,0.0,0.0,0.0
Swift Dental Group,55.0,10.0,44.625,2025-11-18 16:45:30+00:00,0.0,0.0,0.0,0.0
Swift Dental Group,55.0,10.0,44.625,2025-11-18 17:00:30+00:00,0.0,0.0,0.0,0.0
Swift Dental Group,55.0,10.0,44.625,2025-11-18 17:15:30+00:00,0.0,0.0,0.0,0.0
