name,azimuth,slope,array_capacity,time,gti,gti_low,gti_high,ghi
BAE Fylde,180.0,18.0,391.23,2025-11-01 00:00:30+00:00,0.0,0.0,0.0,0.0
BAE Fylde,180.0,18.0,391.23,2025-11-01 00:15:30+00:00,0.0,0.0,0.0,0.0
BAE Fylde,180.0,18.0,391.23,2025-11-01 00:30:30+00:00,0.0,0.0,0.0,0.0
BAE Fylde,180.0,18.0,391.23,2025-11-01 00:45:30+00:00,0.0,0.0,0.0,0.0
BAE Fylde,180.0,18.0,391.23,2025-11-01 01:00:30+00:00,0.0,0.0,0.0,0.0
BAE Fylde,180.0,18.0,391.23,2025-11-01 01:15:30+00:00,0.0,0.0,0.0,0.0
BAE Fylde,180.0,18.0,391.23,2025-11-01 01:30:30+00:00,0.0,0.0,0.0,0.0
BAE Fylde,180.0,18.0,391.23,2025-11-01 01:45:30+00:00,0.0,0.0,0.0,0.0
BAE Fylde,180.0,18.0,391.23,2025-11-01 02:00:30+00:00,0.0,0.0,0.0,0.0
BAE Fylde,180.0,18.0,391.23,2025-11-01 02:15:30+00:00,0.0,0.0,0.0,0.0
BAE Fylde,180.0,18.0,391.23,2025-11-01 02:30:30+00:00,0.0,0.0,0.0,0.0
BAE Fylde,180.0,18.0,391.23,2025-11-01 02:45:30+00:00,0.0,0.0,0.0,0.0
BAE Fylde,180.0,18.0,391.23,2025-11-01 03:00:30+00:00,0.0,0.0,0.0,0.0
BAE Fylde,180.0,18.0,391.23,2025-11-01 03:15:30+00:00,0.0,0.0,0.0,0.0
BAE Fylde,180.0,18.0,391.23,2025-11-01 03:30:30+00:00,0.0,0.0,0.0,0.0
BAE Fylde,180.0,18.0,391.23,2025-11-01 03:45:30+00:00,0.0,0.0,0.0,0.0
name,azimuth,slope,array_capacity,time,gti,gti_low,gti_high,ghi
Bannatynes Braintree,128.0,10.0,20.025,2025-11-19 00:00:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Braintree,128.0,10.0,20.025,2025-11-19 00:15:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Braintree,128.0,10.0,20.025,2025-11-19 00:30:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Braintree,128.0,10.0,20.025,2025-11-19 00:45:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Braintree,128.0,10.0,20.025,2025-11-19 01:00:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Braintree,128.0,10.0,20.025,2025-11-19 01:15:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Braintree,128.0,10.0,20.025,2025-11-19 01:30:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Braintree,128.0,10.0,20.025,2025-11-19 01:45:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Braintree,128.0,10.0,20.025,2025-11-19 02:00:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Braintree,128.0,10.0,20.025,2025-11-19 02:15:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Braintree,128.0,10.0,20.025,2025-11-19 02:30:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Braintree,128.0,10.0,20.025,2025-11-19 02:45:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Braintree,128.0,10.0,20.025,2025-11-19 03:00:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Braintree,128.0,10.0,20.025,2025-11-19 03:15:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Braintree,128.0,10.0,20.025,2025-11-19 03:30:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Braintree,128.0,10.0,20.025,2025-11-19 03:45:30+00:00,0.0,0.0,0.0,0.0
name,azimuth,slope,array_capacity,time,gti,gti_low,gti_high,ghi
Bannatynes Bury St Edmunds,249.0,34.0,1.78,2025-11-19 00:00:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Bury St Edmunds,249.0,34.0,1.78,2025-11-19 00:15:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Bury St Edmunds,249.0,34.0,1.78,2025-11-19 00:30:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Bury St Edmunds,249.0,34.0,1.78,2025-11-19 00:45:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Bury St Edmunds,249.0,34.0,1.78,2025-11-19 01:00:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Bury St Edmunds,249.0,34.0,1.78,2025-11-19 01:15:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Bury St Edmunds,249.0,34.0,1.78,2025-11-19 01:30:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Bury St Edmunds,249.0,34.0,1.78,2025-11-19 01:45:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Bury St Edmunds,249.0,34.0,1.78,2025-11-19 02:00:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Bury St Edmunds,249.0,34.0,1.78,2025-11-19 02:15:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Bury St Edmunds,249.0,34.0,1.78,2025-11-19 02:30:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Bury St Edmunds,249.0,34.0,1.78,2025-11-19 02:45:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Bury St Edmunds,249.0,34.0,1.78,2025-11-19 03:00:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Bury St Edmunds,249.0,34.0,1.78,2025-11-19 03:15:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Bury St Edmunds,249.0,34.0,1.78,2025-11-19 03:30:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Bury St Edmunds,249.0,34.0,1.78,2025-11-19 03:45:30+00:00,0.0,0.0,0.0,0.0
name,azimuth,slope,array_capacity,time,gti,gti_low,gti_high,ghi
Bannatynes Colchester Kingsford Park,204.0,28.0,40.94,2025-11-19 00:00:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Colchester Kingsford Park,204.0,28.0,40.94,2025-11-19 00:15:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Colchester Kingsford Park,204.0,28.0,40.94,2025-11-19 00:30:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Colchester Kingsford Park,204.0,28.0,40.94,2025-11-19 00:45:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Colchester Kingsford Park,204.0,28.0,40.94,2025-11-19 01:00:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Colchester Kingsford Park,204.0,28.0,40.94,2025-11-19 01:15:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Colchester Kingsford Park,204.0,28.0,40.94,2025-11-19 01:30:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Colchester Kingsford Park,204.0,28.0,40.94,2025-11-19 01:45:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Colchester Kingsford Park,204.0,28.0,40.94,2025-11-19 02:00:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Colchester Kingsford Park,204.0,28.0,40.94,2025-11-19 02:15:30+00:00,0.0,0.0,0.0,0.0
