name,azimuth,slope,array_capacity,time,gti,gti_low,gti_high,ghi
Bannatynes Braintree,128.0,10.0,24.92,2025-07-01 00:00:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Braintree,128.0,10.0,24.92,2025-07-01 00:15:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Braintree,128.0,10.0,24.92,2025-07-01 00:30:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Braintree,128.0,10.0,24.92,2025-07-01 00:45:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Braintree,128.0,10.0,24.92,2025-07-01 01:00:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Braintree,128.0,10.0,24.92,2025-07-01 01:15:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Braintree,128.0,10.0,24.92,2025-07-01 01:30:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Braintree,128.0,10.0,24.92,2025-07-01 01:45:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Braintree,128.0,10.0,24.92,2025-07-01 02:00:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Braintree,128.0,10.0,24.92,2025-07-01 02:15:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Braintree,128.0,10.0,24.92,2025-07-01 02:30:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Braintree,128.0,10.0,24.92,2025-07-01 02:45:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Braintree,128.0,10.0,24.92,2025-07-01 03:00:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Braintree,128.0,10.0,24.92,2025-07-01 03:15:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Braintree,128.0,10.0,24.92,2025-07-01 03:30:30+00:00,0.0,0.0,0.0,0.0
Bannatynes Braintree,128.0,10.0,24.92,2025-07-01 03:45:30+00:00,0.0,0.0,0.0005,0.0
Bannatynes Braintree,128.0,10.0,24.92,2025-07-01 04:00:30+00:00,0.00075,0.00025,0.0025,0.00075
Bannatynes Braintree,128.0,10.0,24.92,2025-07-01 04:15:30+00:00,0.00175,0.00075,0.0055,0.00175
Bannatynes Braintree,128.0,10.0,24.92,2025-07-01 04:30:30+00:00,0.00425,0.00125,0.01125,0.00425
Bannatynes Braintree,128.0,10.0,24.92,2025-07-01 04:45:30+00:00,0.008,0.00175,0.0185,0.008
Bannatynes Braintree,128.0,10.0,24.92,2025-07-01 05:00:30+00:00,0.011,0.0025,0.02975,0.01125
