name,azimuth,slope,array_capacity,time,gti,gti_low,gti_high,ghi
Carlton Marshfield,211.0,45.0,5.0,2025-09-30 00:00:30+00:00,0.0,0.0,0.0,0.0
Carlton Marshfield,211.0,45.0,5.0,2025-09-30 00:15:30+00:00,0.0,0.0,0.0,0.0
Carlton Marshfield,211.0,45.0,5.0,2025-09-30 00:30:30+00:00,0.0,0.0,0.0,0.0
Carlton Marshfield,211.0,45.0,5.0,2025-09-30 00:45:30+00:00,0.0,0.0,0.0,0.0
Carlton Marshfield,211.0,45.0,5.0,2025-09-30 01:00:30+00:00,0.0,0.0,0.0,0.0
Carlton Marshfield,211.0,45.0,5.0,2025-09-30 01:15:30+00:00,0.0,0.0,0.0,0.0
Carlton Marshfield,211.0,45.0,5.0,2025-09-30 01:30:30+00:00,0.0,0.0,0.0,0.0
Carlton Marshfield,211.0,45.0,5.0,2025-09-30 01:45:30+00:00,0.0,0.0,0.0,0.0
Carlton Marshfield,211.0,45.0,5.0,2025-09-30 02:00:30+00:00,0.0,0.0,0.0,0.0
Carlton Marshfield,211.0,45.0,5.0,2025-09-30 02:15:30+00:00,0.0,0.0,0.0,0.0
Carlton Marshfield,211.0,45.0,5.0,2025-09-30 02:30:30+00:00,0.0,0.0,0.0,0.0
Carlton Marshfield,211.0,45.0,5.0,2025-09-30 02:45:30+00:00,0.0,0.0,0.0,0.0
Carlton Marshfield,211.0,45.0,5.0,2025-09-30 03:00:30+00:00,0.0,0.0,0.0,0.0
Carlton Marshfield,211.0,45.0,5.0,2025-09-30 03:15:30+00:00,0.0,0.0,0.0,0.0
Carlton Marshfield,211.0,45.0,5.0,2025-09-30 03:30:30+00:00,0.0,0.0,0.0,0.0
Carlton Marshfield,211.0,45.0,5.0,2025-09-30 03:45:30+00:00,0.0,0.0,0.0,0.0
Carlton Marshfield,211.0,45.0,5.0,2025-09-30 04:00:30+00:00,0.0,0.0,0.0,0.0
Carlton Marshfield,211.0,45.0,5.0,2025-09-30 04:15:30+00:00,0.0,0.0,0.0,0.0
Carlton Marshfield,211.0,45.0,5.0,2025-09-30 04:30:30+00:00,0.0,0.0,0.0,0.0
Carlton Marshfield,211.0,45.0,5.0,2025-09-30 04:45:30+00:00,0.0,0.0,0.0,0.0
Carlton Marshfield,211.0,45.0,5.0,2025-09-30 05:00:30+00:00,0.0,0.0,0.0,0.0
Carlton Marshfield,211.0,45.0,5.0,2025-09-30 05:15:30+00:00,0.0,0.0,0.0,0.0
Carlton Marshfield,211.0,45.0,5.0,2025-09-30 05:30:30+00:00,0.0,0.0,0.0,0.0
Carlton Marshfield,211.0,45.0,5.0,2025-09-30 05:45:30+00:00,0.0,0.0,0.0,0.0
Carlton Marshfield,211.0,45.0,5.0,2025-09-30 06:00:30+00:00,0.0,0.0,0.0,0.0
Carlton Marshfield,211.0,45.0,5.0,2025-09-30 06:15:30+00:00,0.0015,0.001,0.0025,0.00175
Carlton Marshfield,211.0,45.0,5.0,2025-09-30 06:30:30+00:00,0.00425,0.00225,0.00675,0.00525
Carlton Marshfield,211.0,45.0,5.0,2025-09-30 06:45:30+00:00,0.00725,0.00425,0.011,0.01
