name,azimuth,slope,array_capacity,time,gti,gti_low,gti_high,ghi
Faltec Europe Ltd,219.0,6.0,153.12,2025-01-01 00:00:30+00:00,0.0,0.0,0.0,0.0
Faltec Europe Ltd,219.0,6.0,153.12,2025-01-01 00:15:30+00:00,0.0,0.0,0.0,0.0
Faltec Europe Ltd,219.0,6.0,153.12,2025-01-01 00:30:30+00:00,0.0,0.0,0.0,0.0
Faltec Europe Ltd,219.0,6.0,153.12,2025-01-01 00:45:30+00:00,0.0,0.0,0.0,0.0
Faltec Europe Ltd,219.0,6.0,153.12,2025-01-01 01:00:30+00:00,0.0,0.0,0.0,0.0
Faltec Europe Ltd,219.0,6.0,153.12,2025-01-01 01:15:30+00:00,0.0,0.0,0.0,0.0
Faltec Europe Ltd,219.0,6.0,153.12,2025-01-01 01:30:30+00:00,0.0,0.0,0.0,0.0
Faltec Europe Ltd,219.0,6.0,153.12,2025-01-01 01:45:30+00:00,0.0,0.0,0.0,0.0
Faltec Europe Ltd,219.0,6.0,153.12,2025-01-01 02:00:30+00:00,0.0,0.0,0.0,0.0
Faltec Europe Ltd,219.0,6.0,153.12,2025-01-01 02:15:30+00:00,0.0,0.0,0.0,0.0
Faltec Europe Ltd,219.0,6.0,153.12,2025-01-01 02:30:30+00:00,0.0,0.0,0.0,0.0
Faltec Europe Ltd,219.0,6.0,153.12,2025-01-01 02:45:30+00:00,0.0,0.0,0.0,0.0
Faltec Europe Ltd,219.0,6.0,153.12,2025-01-01 03:00:30+00:00,0.0,0.0,0.0,0.0
Faltec Europe Ltd,219.0,6.0,153.12,2025-01-01 03:15:30+00:00,0.0,0.0,0.0,0.0
Faltec Europe Ltd,219.0,6.0,153.12,2025-01-01 03:30:30+00:00,0.0,0.0,0.0,0.0
Faltec Europe Ltd,219.0,6.0,153.12,2025-01-01 03:45:30+00:00,0.0,0.0,0.0,0.0
Faltec Europe Ltd,219.0,6.0,153.12,2025-01-01 04:00:30+00:00,0.0,0.0,0.0,0.0
Faltec Europe Ltd,219.0,6.0,153.12,2025-01-01 04:15:30+00:00,0.0,0.0,0.0,0.0
Faltec Europe Ltd,219.0,6.0,153.12,2025-01-01 04:30:30+00:00,0.0,0.0,0.0,0.0
Faltec Europe Ltd,219.0,6.0,153.12,2025-01-01 04:45:30+00:00,0.0,0.0,0.0,0.0
Faltec Europe Ltd,219.0,6.0,153.12,2025-01-01 05:00:30+00:00,0.0,0.0,0.0,0.0
Faltec Europe Ltd,219.0,6.0,153.12,2025-01-01 05:15:30+00:00,0.0,0.0,0.0,0.0
Faltec Europe Ltd,219.0,6.0,153.12,2025-01-01 05:30:30+00:00,0.0,0.0,0.0,0.0
Faltec Europe Ltd,219.0,6.0,153.12,2025-01-01 05:45:30+00:00,0.0,0.0,0.0,0.0
Faltec Europe Ltd,219.0,6.0,153.12,2025-01-01 06:00:30+00:00,0.0,0.0,0.0,0.0
Faltec Europe Ltd,219.0,6.0,153.12,2025-01-01 06:15:30+00:00,0.0,0.0,0.0,0.0
Faltec Europe Ltd,219.0,6.0,153.12,2025-01-01 06:30:30+00:00,0.0,0.0,0.0,0.0
Faltec Europe Ltd,219.0,6.0,153.12,2025-01-01 06:45:30+00:00,0.0,0.0,0.0,0.0
Faltec Europe Ltd,219.0,6.0,153.12,2025-01-01 07:00:30+00:00,0.0,0.0,0.0,0.0
Faltec Europe Ltd,219.0,6.0,153.12,2025-01-01 07:15:30+00:00,0.0,0.0,0.0,0.0
Faltec Europe Ltd,219.0,6.0,153.12,2025-01-01 07:30:30+00:00,0.0,0.0,0.0,0.0
Faltec Europe Ltd,219.0,6.0,153.12,2025-01-01 07:45:30+00:00,0.0,0.0,0.0,0.0
Faltec Europe Ltd,219.0,6.0,153.12,2025-01-01 08:00:30+00:00,0.0,0.0,0.0,0.0
Faltec Europe Ltd,219.0,6.0,153.12,2025-01-01 08:15:30+00:00,0.0,0.0,0.0,0.0
Faltec Europe Ltd,219.0,6.0,153.12,2025-01-01 08:30:30+00:00,0.00025,0.00025,0.00025,0.00025
Faltec Europe Ltd,219.0,6.0,153.12,2025-01-01 08:45:30+00:00,0.00325,0.00225,0.0035,0.00325
Faltec Europe Ltd,219.0,6.0,153.12,2025-01-01 09:00:30+00:00,0.00925,0.005,0.01,0.008
Faltec Europe Ltd,219.0,6.0,153.12,2025-01-01 09:15:30+00:00,0.013,0.00825,0.01675,0.011
Faltec Europe Ltd,219.0,6.0,153.12,2025-01-01 09:30:30+00:00,0.01925,0.0125,0.0235,0.01625
