name,azimuth,slope,array_capacity,time,gti,gti_low,gti_high,ghi
Oasis - Isle of Sheppey West,182.0,10.0,37.26,2025-01-01 00:00:30+00:00,0.0,0.0,0.0,0.0
Oasis - Isle of Sheppey West,182.0,10.0,37.26,2025-01-01 00:15:30+00:00,0.0,0.0,0.0,0.0
Oasis - Isle of Sheppey West,182.0,10.0,37.26,2025-01-01 00:30:30+00:00,0.0,0.0,0.0,0.0
Oasis - Isle of Sheppey West,182.0,10.0,37.26,2025-01-01 00:45:30+00:00,0.0,0.0,0.0,0.0
Oasis - Isle of Sheppey West,182.0,10.0,37.26,2025-01-01 01:00:30+00:00,0.0,0.0,0.0,0.0
Oasis - Isle of Sheppey West,182.0,10.0,37.26,2025-01-01 01:15:30+00:00,0.0,0.0,0.0,0.0
Oasis - Isle of Sheppey West,182.0,10.0,37.26,2025-01-01 01:30:30+00:00,0.0,0.0,0.0,0.0
Oasis - Isle of Sheppey West,182.0,10.0,37.26,2025-01-01 01:45:30+00:00,0.0,0.0,0.0,0.0
Oasis - Isle of Sheppey West,182.0,10.0,37.26,2025-01-01 02:00:30+00:00,0.0,0.0,0.0,0.0
Oasis - Isle of Sheppey West,182.0,10.0,37.26,2025-01-01 02:15:30+00:00,0.0,0.0,0.0,0.0
Oasis - Isle of Sheppey West,182.0,10.0,37.26,2025-01-01 02:30:30+00:00,0.0,0.0,0.0,0.0
Oasis - Isle of Sheppey West,182.0,10.0,37.26,2025-01-01 02:45:30+00:00,0.0,0.0,0.0,0.0
Oasis - Isle of Sheppey West,182.0,10.0,37.26,2025-01-01 03:00:30+00:00,0.0,0.0,0.0,0.0
Oasis - Isle of Sheppey West,182.0,10.0,37.26,2025-01-01 03:15:30+00:00,0.0,0.0,0.0,0.0
Oasis - Isle of Sheppey West,182.0,10.0,37.26,2025-01-01 03:30:30+00:00,0.0,0.0,0.0,0.0
Oasis - Isle of Sheppey West,182.0,10.0,37.26,2025-01-01 03:45:30+00:00,0.0,0.0,0.0,0.0
Oasis - Isle of Sheppey West,182.0,10.0,37.26,2025-01-01 04:00:30+00:00,0.0,0.0,0.0,0.0
Oasis - Isle of Sheppey West,182.0,10.0,37.26,2025-01-01 04:15:30+00:00,0.0,0.0,0.0,0.0
Oasis - Isle of Sheppey West,182.0,10.0,37.26,2025-01-01 04:30:30+00:00,0.0,0.0,0.0,0.0
Oasis - Isle of Sheppey West,182.0,10.0,37.26,2025-01-01 04:45:30+00:00,0.0,0.0,0.0,0.0
Oasis - Isle of Sheppey West,182.0,10.0,37.26,2025-01-01 05:00:30+00:00,0.0,0.0,0.0,0.0
Oasis - Isle of Sheppey West,182.0,10.0,37.26,2025-01-01 05:15:30+00:00,0.0,0.0,0.0,0.0
Oasis - Isle of Sheppey West,182.0,10.0,37.26,2025-01-01 05:30:30+00:00,0.0,0.0,0.0,0.0
Oasis - Isle of Sheppey West,182.0,10.0,37.26,2025-01-01 05:45:30+00:00,0.0,0.0,0.0,0.0
Oasis - Isle of Sheppey West,182.0,10.0,37.26,2025-01-01 06:00:30+00:00,0.0,0.0,0.0,0.0
Oasis - Isle of Sheppey West,182.0,10.0,37.26,2025-01-01 06:15:30+00:00,0.0,0.0,0.0,0.0
Oasis - Isle of Sheppey West,182.0,10.0,37.26,2025-01-01 06:30:30+00:00,0.0,0.0,0.0,0.0
Oasis - Isle of Sheppey West,182.0,10.0,37.26,2025-01-01 06:45:30+00:00,0.0,0.0,0.0,0.0
Oasis - Isle of Sheppey West,182.0,10.0,37.26,2025-01-01 07:00:30+00:00,0.0,0.0,0.0,0.0
Oasis - Isle of Sheppey West,182.0,10.0,37.26,2025-01-01 07:15:30+00:00,0.0,0.0,0.0,0.0
Oasis - Isle of Sheppey West,182.0,10.0,37.26,2025-01-01 07:30:30+00:00,0.0,0.0,0.0,0.0
Oasis - Isle of Sheppey West,182.0,10.0,37.26,2025-01-01 07:45:30+00:00,0.0,0.0,0.0,0.0
Oasis - Isle of Sheppey West,182.0,10.0,37.26,2025-01-01 08:00:30+00:00,0.0,0.0,0.00025,0.0
Oasis - Isle of Sheppey West,182.0,10.0,37.26,2025-01-01 08:15:30+00:00,0.002,0.00075,0.00325,0.002
Oasis - Isle of Sheppey West,182.0,10.0,37.26,2025-01-01 08:30:30+00:00,0.006,0.00125,0.0095,0.0055
Oasis - Isle of Sheppey West,182.0,10.0,37.26,2025-01-01 08:45:30+00:00,0.007,0.00125,0.01325,0.00675
Oasis - Isle of Sheppey West,182.0,10.0,37.26,2025-01-01 09:00:30+00:00,0.007,0.0015,0.01525,0.007
Oasis - Isle of Sheppey West,182.0,10.0,37.26,2025-01-01 09:15:30+00:00,0.008,0.002,0.017,0.008
Oasis - Isle of Sheppey West,182.0,10.0,37.26,2025-01-01 09:30:30+00:00,0.01075,0.0025,0.019,0.011
Oasis - Isle of Sheppey West,182.0,10.0,37.26,2025-01-01 09:45:30+00:00,0.013,0.00325,0.02075,0.013
Oasis - Isle of Sheppey West,182.0,10.0,37.26,2025-01-01 10:00:30+00:00,0.012,0.00325,0.02225,0.012
Oasis - Isle of Sheppey West,182.0,10.0,37.26,2025-01-01 10:15:30+00:00,0.0135,0.0035,0.024,0.0135
Oasis - Isle of Sheppey West,182.0,10.0,37.26,2025-01-01 10:30:30+00:00,0.01575,0.004,0.025,0.01575
Oasis - Isle of Sheppey West,182.0,10.0,37.26,2025-01-01 10:45:30+00:00,0.01325,0.00425,0.026,0.0135
Oasis - Isle of Sheppey West,182.0,10.0,37.26,2025-01-01 11:00:30+00:00,0.016,0.0045,0.02825,0.016
Oasis - Isle of Sheppey West,182.0,10.0,37.26,2025-01-01 11:15:30+00:00,0.01725,0.0045,0.02925,0.01725
Oasis - Isle of Sheppey West,182.0,10.0,37.26,2025-01-01 11:30:30+00:00,0.0115,0.0045,0.027,0.01175
Oasis - Isle of Sheppey West,182.0,10.0,37.26,2025-01-01 11:45:30+00:00,0.008,0.00475,0.02425,0.00825
Oasis - Isle of Sheppey West,182.0,10.0,37.26,2025-01-01 12:00:30+00:00,0.00975,0.00475,0.0245,0.01
Oasis - Isle of Sheppey West,182.0,10.0,37.26,2025-01-01 12:15:30+00:00,0.0125,0.0045,0.02625,0.01275
Oasis - Isle of Sheppey West,182.0,10.0,37.26,2025-01-01 12:30:30+00:00,0.0145,0.0045,0.028,0.01475
Oasis - Isle of Sheppey West,182.0,10.0,37.26,2025-01-01 12:45:30+00:00,0.01675,0.0045,0.02875,0.01675
Oasis - Isle of Sheppey West,182.0,10.0,37.26,2025-01-01 13:00:30+00:00,0.01525,0.00425,0.02775,0.0155
Oasis - Isle of Sheppey West,182.0,10.0,37.26,2025-01-01 13:15:30+00:00,0.01125,0.004,0.02475,0.0115
Oasis - Isle of Sheppey West,182.0,10.0,37.26,2025-01-01 13:30:30+00:00,0.006,0.0035,0.02,0.00625
Oasis - Isle of Sheppey West,182.0,10.0,37.26,2025-01-01 13:45:30+00:00,0.0045,0.00325,0.01675,0.0045
Oasis - Isle of Sheppey West,182.0,10.0,37.26,2025-01-01 14:00:30+00:00,0.0055,0.00275,0.016,0.00575
Oasis - Isle of Sheppey West,182.0,10.0,37.26,2025-01-01 14:15:30+00:00,0.007,0.0025,0.016,0.007
Oasis - Isle of Sheppey West,182.0,10.0,37.26,2025-01-01 14:30:30+00:00,0.00675,0.002,0.0145,0.00675
Oasis - Isle of Sheppey West,182.0,10.0,37.26,2025-01-01 14:45:30+00:00,0.006,0.0015,0.01175,0.006
Oasis - Isle of Sheppey West,182.0,10.0,37.26,2025-01-01 15:00:30+00:00,0.00425,0.001,0.0085,0.0045
Oasis - Isle of Sheppey West,182.0,10.0,37.26,2025-01-01 15:15:30+00:00,0.0025,0.00075,0.0055,0.00275
Oasis - Isle of Sheppey West,182.0,10.0,37.26,2025-01-01 15:30:30+00:00,0.001,0.00025,0.00275,0.001
Oasis - Isle of Sheppey West,182.0,10.0,37.26,2025-01-01 15:45:30+00:00,0.00025,0.0,0.001,0.00025
Oasis - Isle of Sheppey West,182.0,10.0,37.26,2025-01-01 16:00:30+00:00,0.0,0.0,0.0,0.0
Oasis - Isle of Sheppey West,182.0,10.0,37.26,2025-01-01 16:15:30+00:00,0.0,0.0,0.0,0.0
Oasis - Isle of Sheppey West,182.0,10.0,37.26,2025-01-01 16:30:30+00:00,0.0,0.0,0.0,0.0
Oasis - Isle of Sheppey West,182.0,10.0,37.26,2025-01-01 16:45:30+00:00,0.0,0.0,0.0,0.0
Oasis - Isle of Sheppey West,182.0,10.0,37.26,2025-01-01 17:00:30+00:00,0.0,0.0,0.0,0.0
Oasis - Isle of Sheppey West,182.0,10.0,37.26,2025-01-01 17:15:30+00:00,0.0,0.0,0.0,0.0
Oasis - Isle of Sheppey West,182.0,10.0,37.26,2025-01-01 17:30:30+00:00,0.0,0.0,0.0,0.0
Oasis - Isle of Sheppey West,182.0,10.0,37.26,2025-01-01 17:45:30+00:00,0.0,0.0,0.0,0.0
Oasis - Isle of Sheppey West,182.0,10.0,37.26,2025-01-01 18:00:30+00:00,0.0,0.0,0.0,0.0
Oasis - Isle of Sheppey West,182.0,10.0,37.26,2025-01-01 18:15:30+00:00,0.0,0.0,0.0,0.0
