Site,Month,Year,Latitude,Longitude,Total_Capacity_kWp,Num_Arrays,Total_Hours,Daytime_Hours,PVGIS_Mean_GTI_Wm2,SolarGIS_Mean_GTI_Wm2,Mean_Diff_Wm2,Mean_Diff_Pct,RMSE_Wm2,Correlation,PVGIS_Total_kWhm2,SolarGIS_Total_kWhm2
Hibernian Training Ground,1,2025,55.92078,-2.9289362,89.91,3,744,221,132.41563440880535,115.15678121560475,17.258853193200586,92.01383706506824,106.44959846025573,0.37233483115167954,29.88491882690616,25.578092342342345
Smithys Mushrooms,1,2025,53.59816,-2.8956819,224.4,1,744,238,238.06049776941484,148.96953781512605,89.0909599542888,199.31023237056024,190.67275727588392,0.3589895718109525,57.09428609642553,35.55575
Faltec Europe Ltd,1,2025,54.92429,-1.4784697,520.08,3,744,234,102.79057154963526,133.84244254992987,-31.051871000294586,5.139716538350141,90.27638478384314,0.4906170433443427,24.213451433129208,31.446354060913702
Oasis - Immingham,1,2025,53.614574,-0.21134,207.0,3,744,234,106.9835197219674,103.92460981047938,3.0589099114880156,43.488009513012514,85.36070882951127,0.46798768110964084,25.3905217416105,24.45895652173913
Cromwell Tools,1,2025,52.584785,-1.1234,999.8,2,744,240,103.79005231913759,96.75266917966928,7.0373831394683055,51.0456781373023,78.88925189720607,0.42706745909882743,25.09325121796711,23.34151555311062
Merry Hill,2,2025,52.481136,-2.1127672,976.48,6,672,267,156.84128772207205,144.91818505711257,11.923102664959504,75.05795547911784,144.51797686972552,0.38210414328568487,41.9937726816429,38.77540541024906
Faltec Europe Ltd,2,2025,54.92429,-1.4784697,520.08,3,672,263,141.02589315453133,157.0296526477646,-16.003759493233275,22.881617315010715,107.30224548530025,0.6303720995174762,37.254602713879635,41.38560321489001
Cromwell Tools,2,2025,52.584785,-1.1234,999.8,2,672,266,134.33112292570812,125.67157237838546,8.659550547322642,55.35206100687666,104.76596317901588,0.48853796350490547,35.82306849013783,33.51801120224045
Oasis - Wintringham,2,2025,53.5487,-0.0812,168.48,4,672,265,126.12139734693139,117.49551282051283,8.62588452641858,68.4681020152017,114.68566039006247,0.34463949724057463,33.54718325563382,31.223794871794873
City Football Group Phase 1,2,2025,53.48012,-2.1889446,2205.5,9,672,257,121.65646052443986,127.16045855470979,-5.503998030269936,36.83165999846925,117.49240584199097,0.2961141741384825,31.43747752680678,32.825183121741105
Metro Centre,3,2025,54.95851,-1.6703782,739.53,2,744,353,270.6886108613936,219.5155807365439,51.1730301248497,74.41007858926775,200.3717170580694,0.4524183668614634,95.90152030584892,77.602375
Oasis - Wintringham,3,2025,53.5487,-0.0812,168.48,4,744,361,208.74262013347672,259.8720967398253,-51.129476606348554,-11.813721121974169,158.05461596555247,0.6220195399201063,75.49820722479906,93.90131570512821
Sofina Haverhill,3,2025,52.1024,0.4749,1015.48,2,408,204,404.08502773392564,339.1519607843137,64.93306694961193,67.74436144943292,282.5101598777553,0.5000461041911377,82.48540895273676,69.23025
Oasis - Isle of Sheppey West,3,2025,51.4205,0.7853,145.8,3,744,364,292.1251088691876,509.3118742368742,-217.1867653676866,-30.982614860209992,371.5996943441604,0.5494981431741252,106.36481497572444,185.49152222222224
Oasis - Lister Park,3,2025,53.8139,-1.765,213.03,9,744,354,239.44974338763055,218.97714692845838,20.472596459172127,26.759361282558128,118.82193124577263,0.6943105903519234,85.13968562623585,77.65501774397973
Smithys Mushrooms,4,2025,53.59816,-2.8956819,224.4,1,720,411,377.91986198820746,396.2074209245742,-18.28755893636679,25.127851601840963,312.1279909039673,0.5118665570377653,155.40832613005193,162.9375
Cromwell Tools,4,2025,52.584785,-1.1234,999.8,2,720,409,331.40013635644294,342.8090759961283,-11.408939639685409,12.746962444786924,200.27659166638838,0.65087344719194,135.6551849713894,140.29691088217646
Merry Hill,4,2025,52.481136,-2.1127672,976.48,6,720,405,391.79751360154506,367.97471381206975,23.82279978947535,37.46759881927282,236.82689893335518,0.640785474691393,158.76582245585985,149.14015238151322
Hibernian Training Ground,4,2025,55.92078,-2.9289362,89.91,3,720,406,368.7147082819751,315.7897916389296,52.924916643045535,36.840476576399226,215.52540048612215,0.6605002069277326,149.94471967316215,128.36051576576577
Sheldons Bakery,4,2025,53.47693,-2.1852183,226.35,2,720,408,356.4538331162902,342.21477872958326,14.239054386706993,24.709652287186362,184.76549810859234,0.7268810697408047,145.54693489839258,139.74030069582506
Parfetts - Birmingham,5,2025,52.456444,-1.835168,246.45,2,744,481,364.4305521253805,543.7557675541547,-179.32521542877416,-20.01582371705001,377.74377164630755,0.5487077398063861,175.41945298085102,261.64304838709677
