Site,Month,Year,Latitude,Longitude,Total_Capacity_kWp,Num_Arrays,Total_Hours,Daytime_Hours,PVGIS_Mean_GTI_Wm2,SolarGIS_Mean_GTI_Wm2,Mean_Diff_Wm2,Mean_Diff_Pct,RMSE_Wm2,Correlation,PVGIS_Total_kWhm2,SolarGIS_Total_kWhm2,Pct_Diff,RMSE_Ratio
Hibernian Training Ground,1,2025,55.92078,-2.9289362,89.91,3,744,221,132.41563440880535,115.15678121560477,17.258853193200586,92.01383706506824,106.44959846025571,0.3723348311516795,29.88491882690616,25.578092342342345,14.987266065458464,0.9243884496993118
Faltec Europe Ltd,1,2025,54.92429,-1.4784697,520.08,3,744,234,102.79057154963526,133.84244254992987,-31.051871000294582,5.139716538350141,90.27638478384314,0.4906170433443427,24.213451433129208,31.446354060913706,-23.200317035988583,0.6744974394065288
Oasis - Immingham,1,2025,53.614574,-0.21134,207.0,3,744,234,106.9835197219674,103.92460981047938,3.058909911488016,43.488009513012514,85.36070882951127,0.4679876811096408,25.3905217416105,24.45895652173913,2.9433932127013542,0.8213714632672482
Cromwell Tools,1,2025,52.584785,-1.1234,999.8,2,744,240,103.7900523191376,96.75266917966928,7.0373831394683055,51.0456781373023,78.88925189720607,0.4270674590988274,25.09325121796711,23.34151555311062,7.273580356113926,0.8153702896889498
Merry Hill,2,2025,52.481136,-2.1127672,976.48,6,672,267,156.84128772207205,144.91818505711257,11.923102664959504,75.05795547911784,144.51797686972552,0.3821041432856848,41.9937726816429,38.77540541024906,8.227471700850082,0.9972383853190727
Faltec Europe Ltd,2,2025,54.92429,-1.4784697,520.08,3,672,263,141.02589315453133,157.0296526477646,-16.003759493233275,22.881617315010715,107.30224548530023,0.6303720995174762,37.25460271387964,41.38560321489001,-10.19155250195422,0.6833247331062458
Cromwell Tools,2,2025,52.584785,-1.1234,999.8,2,672,266,134.33112292570812,125.67157237838546,8.659550547322642,55.35206100687666,104.76596317901588,0.4885379635049054,35.82306849013783,33.51801120224045,6.890620037162858,0.8336488610453228
Oasis - Wintringham,2,2025,53.5487,-0.0812,168.48,4,672,265,126.1213973469314,117.49551282051284,8.62588452641858,68.4681020152017,114.68566039006248,0.3446394972405746,33.54718325563382,31.223794871794876,7.341458681571556,0.9760854490269537
Metro Centre,3,2025,54.95851,-1.6703782,739.53,2,744,353,270.6886108613936,219.5155807365439,51.1730301248497,74.41007858926775,200.3717170580694,0.4524183668614634,95.90152030584892,77.602375,23.311798621832704,0.9127904105292171
Oasis - Wintringham,3,2025,53.5487,-0.0812,168.48,4,744,361,208.74262013347672,259.8720967398253,-51.12947660634856,-11.813721121974169,158.05461596555247,0.6220195399201063,75.49820722479906,93.9013157051282,-19.674862075530015,0.6082015651098976
Sofina Haverhill,3,2025,52.1024,0.4749,1015.48,2,408,204,404.0850277339256,339.1519607843137,64.93306694961193,67.74436144943292,282.5101598777553,0.5000461041911377,82.48540895273676,69.23025,19.1457147408051,0.8329899058358086
Oasis - Isle of Sheppey West,3,2025,51.4205,0.7853,145.8,3,744,364,292.1251088691876,509.3118742368742,-217.1867653676866,-30.982614860209992,371.5996943441604,0.5494981431741252,106.36481497572444,185.49152222222224,-42.64317726601361,0.7296112915116021
Oasis - Lister Park,3,2025,53.8139,-1.765,213.03,9,744,354,239.44974338763052,218.9771469284584,20.472596459172127,26.759361282558128,118.82193124577265,0.6943105903519234,85.13968562623585,77.65501774397973,9.34919316756861,0.5426225198038256
Smithys Mushrooms,4,2025,53.59816,-2.8956819,224.4,1,720,411,377.91986198820746,396.2074209245742,-18.28755893636679,25.127851601840963,312.1279909039673,0.5118665570377653,155.40832613005193,162.9375,-4.6156528047081,0.787789360874659
Cromwell Tools,4,2025,52.584785,-1.1234,999.8,2,720,409,331.40013635644294,342.8090759961283,-11.408939639685409,12.746962444786924,200.2765916663884,0.65087344719194,135.6551849713894,140.29691088217646,-3.328073974276631,0.5842219640318109
Merry Hill,4,2025,52.481136,-2.1127672,976.48,6,720,405,391.79751360154506,367.97471381206975,23.82279978947535,37.46759881927282,236.8268989333552,0.640785474691393,158.76582245585985,149.14015238151322,6.474031746007953,0.6435955788372629
Hibernian Training Ground,4,2025,55.92078,-2.9289362,89.91,3,720,406,368.7147082819751,315.7897916389296,52.924916643045535,36.840476576399226,215.52540048612212,0.6605002069277326,149.94471967316215,128.36051576576577,16.759540062510705,0.6824964143633603
Sheldons Bakery,4,2025,53.47693,-2.1852183,226.35,2,720,408,356.4538331162902,342.21477872958326,14.239054386706991,24.70965228718636,184.76549810859237,0.7268810697408047,145.54693489839258,139.74030069582506,4.160853145959126,0.5399109260988209
Parfetts - Birmingham,5,2025,52.456444,-1.835168,246.45,2,744,481,364.4305521253805,543.7557675541547,-179.32521542877416,-20.01582371705001,377.7437716463076,0.5487077398063861,175.41945298085102,261.6430483870968,-32.979000155784924,0.6946938206199104
Hibernian Training Ground,5,2025,55.92078,-2.9289362,89.91,3,744,481,384.7779506705883,405.6926776048398,-20.91472693425142,10.509127282115935,266.45715313236576,0.6002145430477365,185.2835139777974,195.30982432432432,-5.155312897863838,0.6567955692606935
Oasis - Wintringham,5,2025,53.5487,-0.0812,168.48,4,744,475,414.3957166301871,357.4448836032388,56.95083302694821,37.27990469494074,225.66648492757508,0.6614110180523504,197.2018444555727,169.93759855769233,15.93275932581632,0.6313322564663234
Sheldons Bakery,5,2025,53.47693,-2.1852183,226.35,2,744,477,416.70426201751343,366.56539067481896,50.13887134269445,37.49998619004669,249.9607131829454,0.6413795546067221,198.9723804122905,174.97685785288272,13.67801560599942,0.6818993815067669
Hibernian Stadium,5,2025,55.9619,-3.1653037,116.64,1,744,485,417.2506220484245,370.6824742268041,46.56814782162038,28.21129415429579,202.8874683849813,0.7430686523705168,202.48651508847996,179.92525,12.562813474997844,0.5473349362096992
Oasis - Immingham,6,2025,53.614574,-0.21134,207.0,3,720,478,337.1684330654882,367.0171684555212,-29.84873539003296,10.165875600780051,203.87960831330363,0.6566685882762899,161.39017438991152,175.5909021739131,-8.132789949756898,0.5555042810974435
Parfetts - Birmingham,6,2025,52.456444,-1.835168,246.45,2,720,486,309.24822408154074,558.483904155051,-249.23568007351037,-33.25915368622502,402.1500181953083,0.5827101724968201,150.37636136034922,271.54215000000005,-44.627191261776346,0.7200745002736193
Hibernian Training Ground,6,2025,55.92078,-2.9289362,89.91,3,720,490,320.87240724248466,308.6883434454863,12.184063796998352,32.75013952613077,206.2376660678209,0.6293851892607657,157.5223208267056,151.38669594594597,3.9470436949460166,0.6681096660983639
Hazelwick School,6,2025,51.124912,-0.165185,224.94,3,720,475,313.7446167100172,386.1655031751157,-72.42088646509848,-8.600045068783553,232.83371811667035,0.6493306207237072,149.05847124519687,183.49625051124744,-18.753846697760974,0.6029376425451616
Oasis - John Williams,6,2025,51.4196,-2.5663,153.26999999999998,2,480,317,321.7045963621703,405.3389361138537,-83.63433975168331,-9.708400418797495,225.81419545470095,0.6558278920009235,102.05538104302796,128.62874745547074,-20.633186772906452,0.5570996895084194
Oasis - Short Heath,7,2025,52.53421,-1.8582243,45.900000000000006,2,744,479,331.4818619929789,332.16651111384004,-0.6846491208611638,18.46694741813217,223.53777444649663,0.6245834966935462,158.83312124843337,159.2975088235294,-0.20611623928171838,0.6729690289876508
Finlay Beverages,7,2025,53.60353,-1.28,1034.4,2,744,485,284.032870627166,292.1004126103284,-8.067541983162378,30.80059569640277,235.76473217922967,0.3634023968403775,137.9031712638271,141.825188225058,-2.761907082248727,0.8071359094372372
Oasis - New Oak,7,2025,51.42044,-2.569186,48.6,2,672,432,333.7002220835796,371.8049768518519,-38.10475476827228,7.525058636973826,234.65635068433517,0.6334317916981602,144.2493168585284,160.76483333333334,-10.248586528053762,0.631127513868206
