name,month,arrays,site_capacity_kwp
Bannatynes Braintree,2025-07,4,80.545
Bannatynes Braintree,2025-08,4,80.545
Bannatynes Braintree,2025-09,4,80.545
Bannatynes Braintree,2025-10,4,80.545
Bannatynes Braintree,2025-11,6,117.47999999999999
Bannatynes Braintree,2025-12,6,117.47999999999999
Bannatynes Braintree,2026-01,4,80.545
Bannatynes Wildmoor,2025-07,5,138.83999999999997
Bannatynes Wildmoor,2025-08,5,138.83999999999997
Bannatynes Wildmoor,2025-09,5,138.83999999999997
Bannatynes Wildmoor,2025-10,5,138.83999999999997
Bannatynes Wildmoor,2025-11,7,230.95499999999998
Bannatynes Wildmoor,2025-12,7,230.95499999999998
Bannatynes Wildmoor,2026-01,5,138.83999999999997
Carlton Mills Primary School,2025-07,2,33.0
Carlton Mills Primary School,2025-08,2,33.0
Carlton Mills Primary School,2025-09,2,33.0
Carlton Mills Primary School,2025-10,2,33.0
Carlton Mills Primary School,2025-11,11,108.5
Carlton Mills Primary School,2025-12,11,108.5
Carlton Mills Primary School,2026-01,2,33.0
City Football Group Phase 1,2025-01,9,2205.5
City Football Group Phase 1,2025-02,9,2205.5
City Football Group Phase 1,2025-03,9,2205.5
City Football Group Phase 1,2025-04,9,2205.5
City Football Group Phase 1,2025-05,9,2205.5
City Football Group Phase 1,2025-06,17,3456.2000000000003
City Football Group Phase 1,2025-07,17,3456.2000000000003
City Football Group Phase 1,2025-08,9,2205.5
City Football Group Phase 1,2025-09,9,2205.5
City Football Group Phase 1,2025-10,9,2205.5
City Football Group Phase 1,2025-11,9,2205.5
City Football Group Phase 1,2025-12,9,2205.5
City Football Group Phase 1,2026-01,9,2205.5
Finlay Beverages,2025-06,2,1600.1999999999998
Finlay Beverages,2025-07,3,1837.1999999999998
Finlay Beverages,2025-08,2,1600.1999999999998
Finlay Beverages,2025-09,2,1600.1999999999998
Finlay Beverages,2025-10,2,1600.1999999999998
Finlay Beverages,2025-11,2,1600.1999999999998
Finlay Beverages,2025-12,2,1600.1999999999998
Finlay Beverages,2026-01,2,1600.1999999999998
Oasis - Lister Park,2025-01,9,213.03
Oasis - Lister Park,2025-02,9,213.03
Oasis - Lister Park,2025-03,9,213.03
Oasis - Lister Park,2025-05,10,281.34000000000003
Oasis - Lister Park,2025-06,11,524.34
Oasis - Lister Park,2025-07,11,524.34
Oasis - Lister Park,2025-08,11,524.34
Oasis - Lister Park,2025-09,10,281.34000000000003
Oasis - Lister Park,2025-10,10,281.34000000000003
Oasis - Lister Park,2025-11,9,213.03
Oasis - Lister Park,2025-12,9,213.03
Oasis - Lister Park,2026-01,9,213.03
Oasis - New Oak,2025-06,3,81.0
Oasis - New Oak,2025-07,3,81.0
Oasis - New Oak,2025-08,2,48.599999999999994
Oasis - New Oak,2025-09,2,48.599999999999994
Oasis - New Oak,2025-10,2,48.599999999999994
Oasis - New Oak,2025-11,2,48.599999999999994
Oasis - New Oak,2025-12,2,48.599999999999994
Oasis - New Oak,2026-01,2,48.599999999999994
WALC Leigh College,2025-07,4,124.74
WALC Leigh College,2025-08,4,124.74
WALC Leigh College,2025-09,4,124.74
WALC Leigh College,2025-10,4,124.74
WALC Leigh College,2025-11,8,249.48
WALC Leigh College,2025-12,8,249.48
WALC Leigh College,2026-01,4,124.74
WIENERBERGER FLOPLAST,2025-07,2,1531.01
WIENERBERGER FLOPLAST,2025-08,2,1531.01
WIENERBERGER FLOPLAST,2025-09,2,1531.01
WIENERBERGER FLOPLAST,2025-10,4,3058.13
WIENERBERGER FLOPLAST,2025-11,4,3058.13
WIENERBERGER FLOPLAST,2025-12,4,3058.13
WIENERBERGER FLOPLAST,2026-01,2,1531.01
