Month,Month_Name,Correction_Ratio,Regression_Slope,Regression_Intercept,N_Samples,Mean_Correlation
1,Jan,1.0082889963592507,0.0502863404985625,106.8124529459312,4,0.4395017536761226
2,Feb,0.9763490734461158,0.9584765849274064,2.49464061213979,4,0.4614134258871603
3,Mar,1.0930947466334133,0.6342834758659626,129.85195017660666,5,0.5636585488997512
4,Apr,0.9664399385129535,0.5979002945621833,134.611762370365,5,0.6381813511179271
5,May,1.023319505335451,-3.007283302455649,1610.2734662527812,5,0.6389563015767423
6,Jun,1.2638955990700942,-5.022306808559706,2015.027443716037,5,0.6347844925517012
7,Jul,0.9878218089503524,1.2014045898159507,-67.44344660527258,5,0.5551819301546476
8,Aug,1.1816842831912089,2.3152051838768455,-364.09815636478766,5,0.5396715723235157
9,Sep,0.9999766590231358,0.9035979530849544,26.375781718092668,5,0.5219984602927912
10,Oct,0.8888786932921819,,,2,0.41192295213699764
11,Nov,1.087437690680226,0.4288397397418072,73.51242619866804,5,0.5563867794311969
