Site Name,Customer Name,Fund Name,Latitude,Longitude,Number of Arrays,Total Array Capacity (kWp) - Irradiance File,Nameplate DC Capacity (kWp) - ADE,Azimuths (degrees),Slopes (degrees),Array Details,Number of Inverters,Date Commissioned
BAE Fylde,Ampyr Distributed Energy,Ampyr Distributed Energy 1 Ltd,53.77,-2.89,4,1676.7000000000003,9631.71,180.0,18.0,Az:180.0°/Tilt:18.0°/391.23kWp; Az:180.0°/Tilt:18.0°/428.49kWp; Az:180.0°/Tilt:18.0°/447.12kWp; Az:180.0°/Tilt:18.0°/409.86kWp,26.0,2025-06-24 01:00:00.000 +0100
Bannatynes Braintree,Ampyr Distributed Energy,Lazards,51.888832,0.5388015,4,72.535,72.54,"128.0, 218.0, 219.0, 308.0","7.0, 10.0, 20.0",Az:128.0°/Tilt:10.0°/20.025kWp; Az:308.0°/Tilt:10.0°/16.91kWp; Az:219.0°/Tilt:20.0°/13.35kWp; Az:218.0°/Tilt:7.0°/22.25kWp,3.0,2025-11-21 00:00:00.000 +0000
Bannatynes Bury St Edmunds,Ampyr Distributed Energy,Lazards,52.23321,0.6906306,4,64.08,64.08,"153.0, 159.0, 249.0",34.0,Az:249.0°/Tilt:34.0°/1.78kWp; Az:159.0°/Tilt:34.0°/24.92kWp; Az:159.0°/Tilt:34.0°/32.04kWp; Az:153.0°/Tilt:34.0°/5.34kWp,2.0,2025-11-21 00:00:00.000 +0000
Bannatynes Colchester Kingsford Park,Ampyr Distributed Energy,Lazards,51.858807,0.8637454,6,133.055,132.17,"114.0, 117.0, 204.0, 205.0, 294.0","18.0, 21.0, 28.0",Az:204.0°/Tilt:28.0°/40.94kWp; Az:117.0°/Tilt:21.0°/4.895kWp; Az:205.0°/Tilt:21.0°/23.14kWp; Az:205.0°/Tilt:21.0°/16.02kWp; Az:114.0°/Tilt:18.0°/24.03kWp; Az:294.0°/Tilt:18.0°/24.03kWp,2.0,2025-11-21 00:00:00.000 +0000
Bannatynes Cookridge Hall,Ampyr Distributed Energy,Lazards,53.861847,-1.6099572,5,79.18,79.18,"180.0, 185.0","0.0, 1.0, 18.0",Az:180.0°/Tilt:0.0°/27.82kWp; Az:185.0°/Tilt:18.0°/4.28kWp; Az:185.0°/Tilt:1.0°/8.025kWp; Az:180.0°/Tilt:0.0°/10.165kWp; Az:180.0°/Tilt:0.0°/28.89kWp,2.0,2025-11-21 00:00:00.000 +0000
Bannatynes Darlington Head Office,Ampyr Distributed Energy,Lazards,54.527344,-1.5457069,2,52.35,53.1,"98.0, 278.0",18.0,Az:278.0°/Tilt:18.0°/26.1kWp; Az:98.0°/Tilt:18.0°/26.25kWp,2.0,2025-11-21 00:00:00.000 +0000
Bannatynes Norwich,Ampyr Distributed Energy,Lazards,52.654327,1.1857826,2,234.07,234.07,"78.0, 258.0","4.0, 6.0",Az:78.0°/Tilt:6.0°/140.62kWp; Az:258.0°/Tilt:4.0°/93.45kWp,3.0,2025-11-21 00:00:00.000 +0000
Bannatynes Weybridge,Ampyr Distributed Energy,Lazards,51.37859,-0.4460336,3,95.23,95.23,"98.0, 188.0, 278.0","10.0, 45.0",Az:188.0°/Tilt:45.0°/24.03kWp; Az:98.0°/Tilt:10.0°/35.6kWp; Az:278.0°/Tilt:10.0°/35.6kWp,3.0,2025-11-21 00:00:00.000 +0000
Bannatynes Wildmoor,Ampyr Distributed Energy,Lazards,52.200077,-1.754149,5,138.83999999999997,138.16,"117.0, 118.0, 180.0, 208.0, 298.0","2.2, 18.0, 29.0, 40.0",Az:208.0°/Tilt:40.0°/16.465kWp; Az:118.0°/Tilt:40.0°/9.79kWp; Az:298.0°/Tilt:29.0°/20.47kWp; Az:117.0°/Tilt:18.0°/11.125kWp; Az:180.0°/Tilt:2.2°/80.99kWp,2.0,2025-11-21 00:00:00.000 +0000
Blachford,Ampyr Distributed Energy,Olympus Solar 2 Ltd,53.19191,-1.351108,3,333.0,333.0,"167.0, 347.0","6.0, 8.0",Az:347.0°/Tilt:8.0°/88.2kWp; Az:167.0°/Tilt:6.0°/81.0kWp; Az:167.0°/Tilt:8.0°/163.8kWp,6.0,2024-06-04 01:00:00.000 +0100
