name,total_capacity_kwp,gti,gti_low,gti_high,ghi
BAE Fylde,1676.7,6073.609727777777,3965.064002777778,8222.500122222222,5296.442402777778
Bannatynes Braintree,117.47999999999999,529.1224895153189,345.9435495615687,716.249051926377,509.9902746212121
Bannatynes Bury St Edmunds,64.08,163.38612500000002,102.23363888888889,216.58271527777777,83.91125
Bannatynes Colchester Kingsford Park,133.055,127.39442140468225,80.60998411371236,170.93809782608693,87.6095
Bannatynes Cookridge Hall,79.18,65.65773986486485,36.46180912162162,98.12089527027027,63.360749999999996
Bannatynes Darlington Head Office,52.35,59.210380372492835,31.906520773638967,88.844335243553,59.38425
Bannatynes Norwich,234.07,77.41958745247149,45.04669296577947,111.42927376425857,78.652
Bannatynes Weybridge,95.23,118.00382476635515,72.87351635514018,160.94918457943928,90.2465
Bannatynes Wildmoor,230.95499999999998,505.0227561323552,330.6317834500519,685.1154794260412,492.36084248554914
Blachford,333.0,2194.9062175675676,1534.6917932432434,2873.1778972972975,2141.5365
Burnley College - Sports Hall,249.63,65.37552234306774,34.82440795877899,98.68571223410648,65.505
Carlton Bolling Tech Studies,32.5,68.06625,38.23575,99.93375,56.26275
Carlton High Park,157.0,458.292375,286.9935,639.759,449.02750000000003
Carlton Marshfield,75.5,194.23733774834437,110.80616059602649,276.36349337748345,141.08529470198675
Carlton Mills Primary School,108.5,443.17466254713025,284.13790636782574,610.5163359865941,431.8897315668203
Carlton Thackley,47.5,61.058005263157895,33.128492105263156,91.98646315789475,55.61475
Carlton Thorpe Primary,43.0,70.69737500000001,42.269659883720934,97.5263808139535,40.003
Casepak Sunningdale,1569.7,27.367862457794484,15.679327658151237,40.259276135567305,27.43025
Casepak Warren Park Way,344.2,59.353125000000006,33.321875000000006,87.534375,59.513499999999986
City Football Group Phase 1,3456.2,1707.855293283955,1148.9936435411926,2292.9698976714512,1708.4252506148373
Cromwell Tools,999.8,2162.7892392228446,1503.0897889077817,2842.2812046159233,2185.99075
Dunham Forest Golf Club,58.46,62.260662162162156,32.95860641891892,92.92113513513513,62.68575
Duo Plastics,557.5,86.48149910313902,48.46098161434978,124.84782085201795,70.0605
Faltec Europe Ltd,520.08,2568.867693316413,1776.379752538071,3383.4328447546527,2529.258096869712
Finlay Beverages,1837.1999999999998,835.2915302338106,524.0102207700035,1163.7024062778507,848.0911823154802
Hazelwick School,224.94,2399.766804192229,1741.7415848670757,3068.1127816973417,2211.4635
Hibernian Stadium,116.64,1941.868,1332.0595,2566.73825,2009.65225
Hibernian Training Ground,89.91,2201.942421171171,1546.8385743243246,2858.844990990991,2041.326
I&N Fabrications,62.25,64.543,34.1965,97.15174999999999,59.72225
Iceland - Penny Lane,88.0,74.36834090909092,40.762213068181815,107.33579687500001,66.387
Iceland Bretton,63.0,72.15983333333334,42.56158333333333,102.21075,71.166
Iceland Queensferry,115.0,90.809,51.7975,128.219,66.087
Iceland Shrewsbury,100.5,68.89100870646766,37.87884950248757,101.55659577114427,68.50125
Inktech,212.0,66.84918514150942,34.80246344339623,101.17933844339623,67.0445
Knowles,500.25,108.858,66.759,148.48,83.19800000000001
Merry Hill,976.48,2320.5348203649846,1618.78593335757,3035.2749238105234,2184.3684999999996
Metro Centre,739.53,2017.86725,1374.83975,2678.534,2035.97575
Oasis - Bank Leaze,49.68,1373.1422499999999,949.37225,1807.4945,1279.93275
Oasis - Connaught,57.78,1504.98175,1064.17975,1942.65,1298.1815
Oasis - Henderson Avenue,75.06,1336.8645000000001,917.709,1763.84675,1233.19725
Oasis - Immingham,207.0,2100.5589130434782,1482.0678369565217,2730.7266086956524,2065.76025
Oasis - Isle of Sheppey East,198.72,1221.280375,860.5699999999999,1582.181125,1075.9395
Oasis - Isle of Sheppey West,145.79999999999998,3752.4671111111115,2770.33795,4742.553044444445,3424.8347333333336
Oasis - John Williams,153.26999999999998,1300.0618753180663,917.9904153944021,1693.4644147582699,1298.8385
Oasis - Lister Park,524.34,1033.6442452547867,697.3081018516436,1388.8481332147514,1233.2950952626159
Oasis - Media City,61.94,591.5124999999999,370.61075,820.54425,521.9155000000001
Oasis - New Oak,81.0,1175.2494,819.3707833333334,1534.7055666666668,1083.9256
Oasis - Parkwood,17.82,2065.01775,1344.7044886363637,2809.526625,1914.4960454545455
Oasis - Pinewood,45.36,1356.1363125,933.8950803571429,1787.1645401785715,1261.86425
Oasis - Short Heath,45.900000000000006,1289.958655882353,868.5596205882352,1721.0651470588234,1201.001
Oasis - Wintringham,168.48,2008.8634887820515,1409.5520128205128,2624.94946875,2074.3955
Panorama Kitchens,222.0,66.20862443693693,35.53706925675676,97.0675,66.329
Parfetts - Birmingham,246.45,3371.670070967742,2380.1000032258066,4387.68625,3009.5565677419354
Park Hall Hotel,201.6,98.1576674107143,57.58069419642857,136.33797767857143,63.449250000000006
Shawton Engineering,217.5,98.1125224137931,56.37067068965517,139.05724137931034,70.42975
Sheldons Bakery,226.35000000000002,2041.7686327037773,1384.408420974155,2730.1386953280316,2047.8725
Smithy's Mushrooms,224.4,45.014,23.00875,67.62475,38.1295
Smithy's Mushrooms Phase 2,542.9000000000001,37.171165983606556,18.592508196721308,57.00095286885245,38.224
Smithys Mushrooms,224.4,2449.9275000000002,1789.28375,3111.3785,2145.541
Smithys Mushrooms Phase 2,542.9000000000001,138.7789426229508,73.40715368852457,207.7258258196721,144.71699999999998
Sofina Haverhill,1015.48,2144.8075,1543.73175,2753.299,1938.271
Swift Dental Group,92.65,59.99826376146788,31.407885321100913,90.46775802752293,60.027249999999995
Uniroyal,999.1800000000001,56.9955554854981,29.5546167507356,86.82568621269442,56.8595
Valley Hydraulics,88.5,83.96225,47.07175,120.87975,57.613749999999996
WALC Adult Learning Centre,50.4,65.79124999999999,35.69975,97.4535,61.723
WALC Leigh College,249.48,409.6359318181818,253.88549242424241,576.2699696969697,428.08775
WALC Pagefield,70.9,61.87037447108604,33.06179971791256,92.0954922425952,62.24250000000001
WIENERBERGER FLOPLAST,3058.13,522.877072239924,358.3743939908612,692.2610188516198,526.1747185346928
Wienerberger - Smeed,664.2,40.483542682926824,23.580737804878048,57.0504512195122,36.11325000000001
