name,azimuth,slope,array_capacity,time,gti,gti_low,gti_high,ghi,gti_energy_kwh,gti_low_energy_kwh,gti_high_energy_kwh,ghi_energy_kwh
Sheldons Bakery,96.0,6.0,108.45,2025-01-01,0.427,0.12275,0.77925,0.426,46.30815,13.3122375,84.5096625,46.1997
Sheldons Bakery,96.0,6.0,108.45,2025-01-02,1.00275,0.7787499999999999,1.13925,0.9622499999999999,108.7482375,84.4554375,123.55166250000002,104.35601249999999
Sheldons Bakery,96.0,6.0,108.45,2025-01-03,0.50425,0.147,0.89825,0.4855,54.6859125,15.94215,97.4152125,52.652475
Sheldons Bakery,96.0,6.0,108.45,2025-01-04,0.4805,0.22925,0.73875,0.47775,52.110225,24.8621625,80.11743750000001,51.8119875
Sheldons Bakery,96.0,6.0,108.45,2025-01-05,0.37175,0.08875,0.73725,0.36775,40.3162875,9.6249375,79.9547625,39.8824875
Sheldons Bakery,96.0,6.0,108.45,2025-01-06,0.56625,0.198,0.91525,0.56625,61.40981250000001,21.473100000000002,99.2588625,61.40981250000001
Sheldons Bakery,96.0,6.0,108.45,2025-01-07,0.59675,0.273,0.93825,0.6195,64.7175375,29.60685,101.7532125,67.184775
Sheldons Bakery,96.0,6.0,108.45,2025-01-08,0.58325,0.28325,0.8785,0.55275,63.253462500000005,30.7184625,95.273325,59.9457375
Sheldons Bakery,96.0,6.0,108.45,2025-01-09,0.45525,0.176,0.7325,0.44975,49.3718625,19.0872,79.439625,48.7753875
Sheldons Bakery,96.0,6.0,108.45,2025-01-10,1.0475,0.81575,1.23675,1.01275,113.60137500000002,88.4680875,134.1255375,109.83273750000001
Sheldons Bakery,96.0,6.0,108.45,2025-01-11,0.83125,0.5225,1.12075,0.76125,90.14906250000001,56.665124999999996,121.54533749999999,82.5575625
Sheldons Bakery,96.0,6.0,108.45,2025-01-12,0.40925,0.14825,0.727,0.38825,44.383162500000005,16.0777125,78.84315,42.1057125
Sheldons Bakery,96.0,6.0,108.45,2025-01-13,0.27675,0.0835,0.5335,0.2805,30.0135375,9.055575000000001,57.858075,30.420225000000002
Sheldons Bakery,96.0,6.0,108.45,2025-01-14,0.26575,0.09275,0.51625,0.26775,28.8205875,10.0587375,55.9873125,29.0374875
Sheldons Bakery,96.0,6.0,108.45,2025-01-15,0.67575,0.37174999999999997,0.94725,0.71625,73.2850875,40.316287499999994,102.7292625,77.67731250000001
Sheldons Bakery,96.0,6.0,108.45,2025-01-16,1.1735,0.937,1.32775,1.135,127.266075,101.61765000000001,143.9944875,123.09075
Sheldons Bakery,96.0,6.0,108.45,2025-01-17,0.3275,0.13325,0.62125,0.33225,35.517375,14.450962500000001,67.3745625,36.0325125
Sheldons Bakery,96.0,6.0,108.45,2025-01-18,0.22275,0.0935,0.47775,0.2245,24.1572375,10.140075,51.8119875,24.347025000000002
Sheldons Bakery,96.0,6.0,108.45,2025-01-19,0.22375,0.097,0.48325,0.226,24.265687500000002,10.51965,52.408462500000006,24.509700000000002
Sheldons Bakery,96.0,6.0,108.45,2025-01-20,0.37925,0.14975,0.68725,0.37875,41.1296625,16.2403875,74.5322625,41.0754375
Sheldons Bakery,96.0,6.0,108.45,2025-01-21,0.46125,0.17225000000000001,0.8215,0.46199999999999997,50.0225625,18.680512500000003,89.09167500000001,50.103899999999996
Sheldons Bakery,96.0,6.0,108.45,2025-01-22,0.62125,0.25225000000000003,1.03175,0.62125,67.3745625,27.356512500000004,111.8932875,67.3745625
Sheldons Bakery,96.0,6.0,108.45,2025-01-23,0.53275,0.1515,0.97125,0.551,57.776737499999996,16.430175,105.33206249999999,59.755950000000006
Sheldons Bakery,96.0,6.0,108.45,2025-01-24,1.13275,0.64025,1.5262499999999999,1.135,122.84673749999999,69.4351125,165.52181249999998,123.09075
Sheldons Bakery,96.0,6.0,108.45,2025-01-25,1.35675,0.94975,1.632,1.32825,147.1395375,103.0003875,176.9904,144.0487125
Sheldons Bakery,96.0,6.0,108.45,2025-01-26,0.56875,0.1965,0.97425,0.5635,61.6809375,21.310425000000002,105.65741249999999,61.111575
Sheldons Bakery,96.0,6.0,108.45,2025-01-27,1.00525,0.515,1.45475,1.019,109.0193625,55.85175,157.7676375,110.51055
Sheldons Bakery,96.0,6.0,108.45,2025-01-28,0.803,0.30225,1.29925,0.793,87.08535,32.7790125,140.9036625,86.00085
Sheldons Bakery,96.0,6.0,108.45,2025-01-29,1.53725,1.16625,1.83025,1.497,166.7147625,126.47981250000001,198.4906125,162.34965000000003
Sheldons Bakery,96.0,6.0,108.45,2025-01-30,1.45975,0.93625,1.87425,1.38325,158.3098875,101.53631250000001,203.2624125,150.0134625
Sheldons Bakery,96.0,6.0,108.45,2025-01-31,0.6505,0.26,1.111,0.64675,70.546725,28.197000000000003,120.48795,70.1400375
Sheldons Bakery,96.0,6.0,108.45,2025-02-01,0.39675,0.1405,0.79325,0.4015,43.0275375,15.237225000000002,86.0279625,43.542675
Sheldons Bakery,96.0,6.0,108.45,2025-02-02,0.68775,0.293,1.1205,0.7055,74.5864875,31.77585,121.51822500000002,76.511475
Sheldons Bakery,96.0,6.0,108.45,2025-02-03,1.347,0.88175,1.796,1.307,146.08215,95.6257875,194.77620000000002,141.74415
Sheldons Bakery,96.0,6.0,108.45,2025-02-04,0.46275,0.1685,0.90825,0.478,50.1852375,18.273825000000002,98.4997125,51.8391
Sheldons Bakery,96.0,6.0,108.45,2025-02-05,1.3795,0.789,1.862,1.3665,149.606775,85.56705000000001,201.93390000000002,148.19692500000002
Sheldons Bakery,96.0,6.0,108.45,2025-02-06,2.05575,1.747,2.2825,1.9915,222.94608750000003,189.46215,247.53712500000003,215.97817500000002
Sheldons Bakery,96.0,6.0,108.45,2025-02-07,1.04,0.381,1.716,0.9995,112.78800000000001,41.31945,186.1002,108.39577500000001
Sheldons Bakery,96.0,6.0,108.45,2025-02-08,0.54975,0.2035,1.03075,0.5345,59.6203875,22.069575,111.78483750000001,57.966525
Sheldons Bakery,96.0,6.0,108.45,2025-02-09,0.388,0.156,0.843,0.392,42.0786,16.9182,91.42335,42.5124
Sheldons Bakery,96.0,6.0,108.45,2025-02-10,0.5660000000000001,0.18325,1.1315,0.5635,61.38270000000001,19.8734625,122.711175,61.111575
Sheldons Bakery,96.0,6.0,108.45,2025-02-11,0.35025,0.16925,0.795,0.3515,37.984612500000004,18.355162500000002,86.21775000000001,38.120174999999996
Sheldons Bakery,96.0,6.0,108.45,2025-02-12,0.54125,0.1865,1.04475,0.5465,58.6985625,20.225925,113.3031375,59.267925
Sheldons Bakery,96.0,6.0,108.45,2025-02-13,0.52675,0.194,0.9615,0.5355,57.12603750000001,21.0393,104.274675,58.074975
Sheldons Bakery,96.0,6.0,108.45,2025-02-14,1.586,0.9655,2.18325,1.58175,172.0017,104.708475,236.77346250000002,171.5407875
Sheldons Bakery,96.0,6.0,108.45,2025-02-15,0.63025,0.21775,1.2005,0.62975,68.3506125,23.6149875,130.194225,68.29638750000001
Sheldons Bakery,96.0,6.0,108.45,2025-02-16,0.971,0.383,1.64025,0.97175,105.30495,41.53635,177.8851125,105.38628750000001
Sheldons Bakery,96.0,6.0,108.45,2025-02-17,1.221,0.68775,1.76175,1.22,132.41745,74.5864875,191.0617875,132.309
Sheldons Bakery,96.0,6.0,108.45,2025-02-18,2.022,1.657,2.3865,2.02875,219.28589999999997,179.70165,258.815925,220.01793750000002
Sheldons Bakery,96.0,6.0,108.45,2025-02-19,0.6565,0.25025000000000003,1.2035,0.66775,71.197425,27.139612500000005,130.519575,72.4174875
Sheldons Bakery,96.0,6.0,108.45,2025-02-20,0.99025,0.32625,1.7485,1.0035,107.3926125,35.3818125,189.624825,108.829575
Sheldons Bakery,96.0,6.0,108.45,2025-02-21,0.89,0.45575,1.40625,0.89875,96.5205,49.4260875,152.5078125,97.46943750000001
Sheldons Bakery,96.0,6.0,108.45,2025-02-22,2.335,1.45725,3.01475,2.2525,253.23075,158.0387625,326.9496375,244.283625
Sheldons Bakery,96.0,6.0,108.45,2025-02-23,0.62375,0.24050000000000002,1.1655,0.629,67.64568750000001,26.082225,126.398475,68.21505
Sheldons Bakery,96.0,6.0,108.45,2025-02-24,1.87875,1.04775,2.739,1.9837500000000001,203.7504375,113.6284875,297.04455,215.13768750000003
Sheldons Bakery,96.0,6.0,108.45,2025-02-25,1.72625,0.7715,2.659,1.7015,187.2118125,83.669175,288.36854999999997,184.52767500000002
Sheldons Bakery,96.0,6.0,108.45,2025-02-26,2.07075,1.166,2.986,1.99425,224.5728375,126.4527,323.8317,216.27641250000002
Sheldons Bakery,96.0,6.0,108.45,2025-02-27,3.09,2.7175000000000002,3.40125,3.0155,335.1105,294.71287500000005,368.8655625,327.030975
Sheldons Bakery,96.0,6.0,108.45,2025-02-28,1.93825,1.347,2.48025,2.103,210.2032125,146.08215,268.9831125,228.07035000000002
Sheldons Bakery,96.0,6.0,108.45,2025-03-01,2.54775,1.99875,3.09875,2.4625,276.3034875,216.7644375,336.0594375,267.058125
Sheldons Bakery,96.0,6.0,108.45,2025-03-02,1.1239999999999999,0.643,1.6075,1.12725,121.89779999999999,69.73335,174.333375,122.25026250000002
Sheldons Bakery,96.0,6.0,108.45,2025-03-03,1.1472499999999999,0.7245,1.57425,1.148,124.41926249999999,78.57202500000001,170.72741249999999,124.50059999999999
Sheldons Bakery,96.0,6.0,108.45,2025-03-04,3.01925,2.4115,3.56575,2.9805,327.4376625,261.52717500000006,386.70558750000004,323.235225
Sheldons Bakery,96.0,6.0,108.45,2025-03-05,3.151,2.7695,3.5195000000000003,3.17875,341.72595,300.352275,381.68977500000005,344.7354375
Sheldons Bakery,96.0,6.0,108.45,2025-03-06,3.19775,2.81975,3.545,3.1055,346.7959875,305.8018875,384.45525,336.79147500000005
Sheldons Bakery,96.0,6.0,108.45,2025-03-07,1.38175,0.58675,2.216,1.377,149.8507875,63.6330375,240.32520000000002,149.33565000000002
Sheldons Bakery,96.0,6.0,108.45,2025-03-08,3.2385,2.9255,3.5412500000000002,3.19575,351.215325,317.27047500000003,384.04856250000006,346.5790875
Sheldons Bakery,96.0,6.0,108.45,2025-03-09,3.32525,2.985,3.6385,3.29,360.62336250000004,323.72325,394.595325,356.8005
Sheldons Bakery,96.0,6.0,108.45,2025-03-10,3.29525,2.956,3.61625,3.233,357.3698625,320.5782,392.1823125,350.61885
Sheldons Bakery,96.0,6.0,108.45,2025-03-11,2.44925,1.54075,3.31125,2.32975,265.6211625,167.09433750000002,359.1050625,252.66138750000002
Sheldons Bakery,96.0,6.0,108.45,2025-03-12,2.42625,0.893,3.8795,2.42,263.1268125,96.84585,420.731775,262.449
Sheldons Bakery,96.0,6.0,108.45,2025-03-13,1.55775,0.63375,2.6415,1.5362500000000001,168.9379875,68.7301875,286.470675,166.60631250000003
Sheldons Bakery,96.0,6.0,108.45,2025-03-14,2.05225,0.882,3.29525,2.0285,222.5665125,95.6529,357.3698625,219.99082500000003
Sheldons Bakery,96.0,6.0,108.45,2025-03-15,2.39275,1.39175,3.41575,2.2215,259.4937375,150.93528750000002,370.4380875,240.921675
Sheldons Bakery,96.0,6.0,108.45,2025-03-16,2.49525,1.43475,3.51325,2.3095,270.6098625,155.5986375,381.01196250000004,250.465275
Sheldons Bakery,96.0,6.0,108.45,2025-03-17,1.322,0.66275,2.00225,1.3375,143.3709,71.8752375,217.1440125,145.051875
Sheldons Bakery,96.0,6.0,108.45,2025-03-18,4.45975,4.16875,4.7095,4.4075,483.65988749999997,452.10093750000004,510.74527500000005,477.99337499999996
Sheldons Bakery,96.0,6.0,108.45,2025-03-19,4.134,3.583,4.628,4.02575,448.33230000000003,388.57635000000005,501.9066,436.59258750000004
Sheldons Bakery,96.0,6.0,108.45,2025-03-20,4.161,3.775,4.514,4.069,451.26045,409.39875,489.54330000000004,441.28305
Sheldons Bakery,96.0,6.0,108.45,2025-03-21,2.0035,1.023,2.98,1.9545,217.279575,110.94435,323.181,211.96552499999999
Sheldons Bakery,96.0,6.0,108.45,2025-03-22,2.7359999999999998,1.87625,3.54675,2.6675,296.7192,203.4793125,384.6450375,289.290375
Sheldons Bakery,96.0,6.0,108.45,2025-03-23,1.71425,0.90025,2.65575,1.73325,185.9104125,97.6321125,288.01608749999997,187.9709625
Sheldons Bakery,96.0,6.0,108.45,2025-03-24,3.77075,3.31475,4.1955,3.75125,408.9378375,359.4846375,455.001975,406.82306250000005
Sheldons Bakery,96.0,6.0,108.45,2025-03-25,1.99,1.15775,2.8515,2.0955,215.81550000000001,125.55798750000001,309.245175,227.256975
Sheldons Bakery,96.0,6.0,108.45,2025-03-26,3.711,3.088,4.279,3.8695,402.45795,334.8936,464.05755,419.647275
Sheldons Bakery,96.0,6.0,108.45,2025-03-27,4.27025,3.60425,4.89075,4.205,463.1086125,390.8809125,530.4018374999999,456.03225000000003
