name,azimuth,slope,array_capacity,gti,gti_low,gti_high,ghi,time,gti_energy_kwh,gti_low_energy_kwh,gti_high_energy_kwh,ghi_energy_kwh
Sheldons Bakery,96.0,6.0,108.45,20.95,11.284,30.9625,20.63075,2025-01-01,2272.0275,1223.7498,3357.883125,2237.4048374999998
Sheldons Bakery,96.0,6.0,108.45,32.92125,19.184,48.26125,32.8545,2025-02-01,3570.3095625,2080.5048,5233.9325625,3563.070525
Sheldons Bakery,96.0,6.0,108.45,86.76225,63.864,109.5055,85.87975,2025-03-01,9409.366012499999,6926.0508,11875.871475,9313.6588875
Sheldons Bakery,96.0,6.0,108.45,141.32975,116.95275,165.563,140.0295,2025-04-01,15327.2113875,12683.5257375,17955.30735,15186.199275000003
Sheldons Bakery,96.0,6.0,108.45,174.9305,135.9445,214.5505,175.315,2025-05-01,18971.212725,14743.181025000002,23268.001725000002,19012.91175
Sheldons Bakery,96.0,6.0,108.45,144.93125,93.11325,199.71725,145.19075,2025-06-01,15717.794062500001,10098.1319625,21659.335762500003,15745.936837500001
Sheldons Bakery,96.0,6.0,108.45,136.6555,87.715,189.03175,137.04275,2025-07-01,14820.288975,9512.69175,20500.493287499998,14862.286237500002
Sheldons Bakery,96.0,6.0,108.45,120.1965,77.4855,164.7795,120.0285,2025-08-01,13035.310425,8403.302475,17870.336775000003,13017.090825
Sheldons Bakery,96.0,6.0,108.45,80.15375,47.205,115.01475,79.16625,2025-09-01,8692.6741875,5119.38225,12473.349637500001,8585.5798125
Sheldons Bakery,96.0,6.0,108.45,37.6445,18.3445,58.08525,37.80425,2025-10-01,4082.546025,1989.461025,6299.3453625,4099.8709125000005
Sheldons Bakery,96.0,6.0,108.45,24.79325,13.123,37.500750000000004,24.165,2025-11-01,2688.8279625,1423.1893499999999,4066.9563375000007,2620.69425
Sheldons Bakery,276.0,6.0,117.9,20.1935,10.816,29.95675,20.63075,2025-01-01,2380.81365,1275.2064000000003,3531.900825,2432.365425
Sheldons Bakery,276.0,6.0,117.9,32.5575,18.9075,47.84225,32.8545,2025-02-01,3838.52925,2229.19425,5640.601275,3873.5455500000003
Sheldons Bakery,276.0,6.0,117.9,84.56825,62.00125,106.9815,85.87975,2025-03-01,9970.596675,7309.947375000001,12613.11885,10125.222525000001
Sheldons Bakery,276.0,6.0,117.9,138.27825,114.178,162.26825,140.0295,2025-04-01,16303.005675000002,13461.5862,19131.426675,16509.47805
Sheldons Bakery,276.0,6.0,117.9,175.0195,135.91675,214.688,175.315,2025-05-01,20634.79905,16024.584825000002,25311.7152,20669.6385
Sheldons Bakery,276.0,6.0,117.9,144.51175,92.96575,199.07575,145.19075,2025-06-01,17037.935325000002,10960.661925,23471.030925000003,17117.989425000003
Sheldons Bakery,276.0,6.0,117.9,136.5625,87.524,189.00625,137.04275,2025-07-01,16100.71875,10319.079600000001,22283.836875,16157.340225000002
Sheldons Bakery,276.0,6.0,117.9,119.14875,76.53625,163.66175,120.0285,2025-08-01,14047.637625000001,9023.623875,19295.720325000002,14151.36015
Sheldons Bakery,276.0,6.0,117.9,77.748,44.87025,112.59224999999999,79.16625,2025-09-01,9166.489200000002,5290.202475,13274.626275,9333.700875
Sheldons Bakery,276.0,6.0,117.9,37.56675,18.515,57.87475,37.80425,2025-10-01,4429.119825,2182.9185,6823.433025,4457.121075000001
Sheldons Bakery,276.0,6.0,117.9,23.40825,12.2095,35.78675,24.165,2025-11-01,2759.832675,1439.50005,4219.257825,2849.0535
