name,time,total_capacity_kwp,gti,gti_low,gti_high,ghi,gti_energy_kwh,gti_low_energy_kwh,gti_high_energy_kwh,ghi_energy_kwh
Sheldons Bakery,2025-01-01,226.35000000000002,20.555958250497017,11.040230616302187,30.43863021868787,20.63075,4652.84115,2498.9562000000005,6889.78395,4669.7702625
Sheldons Bakery,2025-02-01,226.35000000000002,32.731781809145126,19.039978131212724,48.04300347912524,32.854499999999994,7408.8388125,4309.69905,10874.5338375,7436.616075
Sheldons Bakery,2025-03-01,226.35000000000002,85.61945079522862,62.893740556660035,108.19081212723657,85.87974999999999,19379.9626875,14235.998175,24488.990325,19438.8814125
Sheldons Bakery,2025-04-01,226.35000000000002,139.74030069582503,115.50745278330018,163.84684791252482,140.0295,31630.2170625,26145.111937499998,37086.734025,31695.677325000008
Sheldons Bakery,2025-05-01,226.35000000000002,174.97685785288272,135.93004572564612,214.62212027833,175.31499999999997,39606.011775000006,30767.765850000003,48579.716925,39682.55025
Sheldons Bakery,2025-06-01,226.35000000000002,144.7127430417495,93.03642097415506,199.3831088469185,145.19075,32755.7293875,21058.7938875,45130.366687500005,32863.926262500005
Sheldons Bakery,2025-07-01,226.35000000000002,136.60705864811132,87.61551292246521,189.01846769383698,137.04275,30921.007725,19831.771350000003,42784.3301625,31019.626462500008
Sheldons Bakery,2025-08-01,226.35000000000002,119.65075347912523,76.99105964214712,164.19729224652087,120.02849999999998,27082.94805,17426.92635,37166.057100000005,27168.450975
Sheldons Bakery,2025-09-01,226.35000000000002,78.9006555666004,45.98888767395626,113.75293091451292,79.16625,17859.163387500004,10409.584725,25747.975912500002,17919.280687500002
Sheldons Bakery,2025-10-01,226.35000000000002,37.604001988071566,18.433309145129225,57.97560586481113,37.80425,8511.66585,4172.379525,13122.7783875,8556.991987500001
Sheldons Bakery,2025-11-01,226.35000000000002,24.07183846918489,12.647180914512923,36.60797067594433,24.165,5448.6606375,2862.6894,8286.2141625,5469.74775
