name,month,total_capacity_kwp,gti,gti_low,gti_high,ghi
BAE Fylde,2025-01,,,,,
BAE Fylde,2025-02,,,,,
BAE Fylde,2025-03,,,,,
BAE Fylde,2025-04,,,,,
BAE Fylde,2025-05,,,,,
BAE Fylde,2025-06,1676.7,185.9505388888889,103.91412777777776,269.22487777777775,179.6689888888889
BAE Fylde,2025-07,1676.7,1749.800861111111,1211.9456555555555,2316.0623444444445,1693.1003222222223
BAE Fylde,2025-08,1676.7,1596.3624416666664,1119.187238888889,2087.117511111111,1467.7658722222222
BAE Fylde,2025-09,1676.7,1115.154638888889,729.3663666666666,1514.5170333333335,949.507838888889
BAE Fylde,2025-10,1676.7,500.8380055555556,266.12000555555557,742.2597722222223,421.7226444444444
BAE Fylde,2025-11,1676.7,459.74225,269.69017777777776,638.3341555555556,294.93701111111113
BAE Fylde,2025-12,1676.7,292.91783888888887,168.44434444444448,410.72777777777776,179.72643333333332
BAE Fylde,2026-01,1676.7,172.8431527777778,96.39608611111112,244.25665,110.01329166666667
Bannatynes Braintree,2025-01,,,,,
Bannatynes Braintree,2025-02,,,,,
Bannatynes Braintree,2025-03,,,,,
Bannatynes Braintree,2025-04,,,,,
Bannatynes Braintree,2025-05,,,,,
Bannatynes Braintree,2025-06,,,,,
Bannatynes Braintree,2025-07,80.545,147.74532872928177,97.18250276243091,201.84106491712703,147.4745
Bannatynes Braintree,2025-08,80.545,141.41643784530385,101.87968370165746,181.41897928176795,139.1895
Bannatynes Braintree,2025-09,80.545,101.67452900552485,66.40974723756906,136.27770580110496,98.10575
Bannatynes Braintree,2025-10,80.545,50.59145856353591,29.46810497237569,72.72265055248619,48.35575
Bannatynes Braintree,2025-11,117.48,29.656036931818186,17.01040340909091,42.15971212121212,26.331208333333336
Bannatynes Braintree,2025-12,117.48,31.655133522727276,19.206874053030305,43.89383428030304,27.16156628787879
Bannatynes Braintree,2026-01,80.545,26.383564917127067,14.786233425414366,37.93510497237569,23.372
Bannatynes Bury St Edmunds,2025-01,,,,,
Bannatynes Bury St Edmunds,2025-02,,,,,
Bannatynes Bury St Edmunds,2025-03,,,,,
Bannatynes Bury St Edmunds,2025-04,,,,,
Bannatynes Bury St Edmunds,2025-05,,,,,
Bannatynes Bury St Edmunds,2025-06,,,,,
Bannatynes Bury St Edmunds,2025-07,,,,,
Bannatynes Bury St Edmunds,2025-08,,,,,
Bannatynes Bury St Edmunds,2025-09,,,,,
Bannatynes Bury St Edmunds,2025-10,,,,,
Bannatynes Bury St Edmunds,2025-11,64.08,38.103125000000006,23.174736111111113,51.13256944444444,20.1065
