name,location,time,total_capacity_kwp,gti,gti_low,gti_high,ghi
Blachford,Midlands,01/01/2025,333.0,40.160362162162166,25.686813513513517,55.18584324324324,36.40050000000001
Blachford,Midlands,01/02/2025,333.0,70.84617567567568,44.88912432432433,99.6210972972973,67.043
Blachford,Midlands,01/03/2025,333.0,196.02684864864867,152.08799459459462,239.38236756756757,187.127
Blachford,Midlands,01/04/2025,333.0,290.0562405405405,237.1243648648649,342.0156297297297,282.4215
Blachford,Midlands,01/05/2025,333.0,335.2484972972973,253.8118054054054,416.5630621621622,331.6745
Blachford,Midlands,01/06/2025,333.0,339.91270270270275,239.83143783783788,443.25682162162167,337.6425
Blachford,Midlands,01/07/2025,333.0,299.0049027027027,199.26425135135136,402.73460810810815,297.2675
Blachford,Midlands,01/08/2025,333.0,246.95742162162162,162.31957702702704,332.8622797297297,243.7215
Blachford,Midlands,01/09/2025,333.0,180.01093243243247,110.16701891891894,252.87035675675676,174.45400000000004
Blachford,Midlands,01/10/2025,333.0,90.22088378378379,51.05392702702702,130.92891351351352,86.51050000000001
Blachford,Midlands,01/11/2025,333.0,54.194318918918924,30.23941351351351,78.8853864864865,49.58950000000001
Blachford,Midlands,01/12/2025,333.0,32.22248918918919,17.22125945945946,48.76513243243244,29.394000000000002
Blachford,Midlands,01/01/2026,333.0,20.044441891891893,10.994805405405407,30.106398648648653,18.2905
Cromwell Tools,Midlands,01/01/2025,999.8,46.68303110622124,27.300645979195842,66.25861292258452,46.8785
Cromwell Tools,Midlands,01/02/2025,999.8,67.0360224044809,41.03815803160632,96.03496919383878,67.6175
Cromwell Tools,Midlands,01/03/2025,999.8,179.41607856571315,135.28942008401683,223.41209456891377,180.99150000000003
Cromwell Tools,Midlands,01/04/2025,999.8,280.59382176435287,231.2701460792159,329.643526455291,283.51050000000004
Cromwell Tools,Midlands,01/05/2025,999.8,327.48526890378076,240.5747272454491,414.3456320764153,331.401
Cromwell Tools,Midlands,01/06/2025,999.8,340.2045545609122,244.03210437087418,437.6092350470094,344.5535
Cromwell Tools,Midlands,01/07/2025,999.8,296.2848485697139,198.95579505901182,400.36824839967994,300.10400000000004
